Time                         Bx(nT)         By(nT)         Bz(nT)         Btot(km/s)    Vx(km/s)        Vy(km/s)      Vz(km/s)       Vtot(km/s)      Density(cm^-3)Temp(eV)
          0.0000000         -0.0748        -1.4100         7.7027         7.8311      -463.4600       154.3328        -2.0969       488.4875         4.9697       206.6741
          3.0079556         -0.3314        -1.3288         9.0166         9.1200      -461.3816       152.3809        -4.6797       485.9254         5.0684       202.6209
          6.0159099         -1.2604        -0.3373        10.4339        10.5152      -454.6256       145.9274        -4.9830       477.5021         4.8942       199.6638
          9.0238643         -1.5421        -0.3691        10.0883        10.2122      -452.9963       147.5549        -3.0399       476.4501         4.8736       198.9050
          12.031820          0.1782        -1.0629         8.2896         8.3594      -449.8604       149.8302        -5.2799       474.1972         4.9397       198.0819
          15.039774          0.2047        -0.5828         7.9468         7.9707      -451.4697       146.0748        -5.0557       474.5578         5.0267       199.9960
          18.047728          0.0262        -0.7576         8.4742         8.5080      -449.4121       146.1624        -0.3170       472.5917         4.9610       202.5087
          21.055684          0.4247        -0.5543         8.4146         8.4435      -447.2448       150.6307        -1.0076       471.9344         4.9190       202.2734
          24.063638         -0.0784        -0.1297         9.3048         9.3060      -447.9140       151.2939        -1.3416       472.7828         4.9711       200.6388
          27.071592          0.3224        -0.3451         9.1070         9.1192      -453.4110       149.3238         0.1698       477.3690         4.8431       201.9594
          30.079548         -1.0766        -0.0281         9.3613         9.4230      -455.7150       150.5311         2.0065       479.9442         4.8935       196.8061
          33.087502         -3.3595         0.1910         9.5412        10.1172      -446.9644       149.7388         2.4716       471.3886         4.9558       190.8456
          36.095458         -3.1188         0.4568        10.9077        11.3540      -446.3330       147.3654         2.6614       470.0431         4.7722       189.5134
          39.103412         -3.2226        -0.4463        11.5658        12.0146      -447.4204       151.1426         4.1209       472.3083         4.6742       193.1330
          42.111366         -3.6430        -0.4539         9.8101        10.4745      -443.2043       152.7668         5.2620       468.8530         4.7561       189.3825
          45.119322         -3.1905         0.2181         8.7966         9.3598      -446.1268       147.7854         7.2364       470.0267         4.7666       192.4721
          48.127276         -2.7651        -0.3735        11.0264        11.3740      -452.0909       153.0318         2.8842       477.3227         4.8068       190.0547
          51.135230         -2.9569        -0.7811        12.1282        12.5079      -445.3713       155.2677        -1.5582       471.6651         4.7725       184.7363
          54.143186         -3.1707        -0.0775        11.9453        12.3592      -440.4645       147.8531        -1.5470       464.6571         4.4962       185.7934
          57.151140         -3.5366         0.5194        10.6291        11.2140      -445.5015       143.9608         2.7108       468.2030         4.5256       195.7466
          60.159094         -3.3700        -0.8849         8.2886         8.9912      -448.0843       149.3826         7.4618       472.3982         4.5886       204.5415
          63.167049         -3.0987         0.3793        10.5901        11.0407      -443.5977       151.1285         5.4184       468.6988         4.4850       202.6586
          66.175004         -3.4196         0.4383        11.7870        12.2808      -446.0869       149.8306        -1.2388       470.5872         4.5067       194.5953
          69.182959         -2.0444        -0.2184        10.1066        10.3136      -449.7345       147.9275         3.2290       473.4786         4.5151       199.5403
          72.190913         -1.9934        -0.4317         9.0703         9.2967      -450.0802       152.3914         9.9548       475.3013         4.7309       205.9465
          75.198868         -3.1199        -0.8211        10.8201        11.2908      -447.8465       157.0502         6.4970       474.6533         4.6543       197.6257
          78.206823         -3.1628        -0.0400        12.2562        12.6578      -448.7385       155.2609         1.1135       474.8479         4.5574       191.8963
          81.214777         -2.8227        -0.6006        10.3018        10.6984      -449.6150       155.0844         2.6005       475.6302         4.5616       196.9281
          84.222732         -3.0234         0.1849         8.9049         9.4060      -452.4773       156.6410         4.3044       478.8642         4.6644       200.3299
          87.230687         -1.8420         0.7997         9.2260         9.4420      -460.8827       150.6053         3.8611       484.8957         4.5728       206.0911
          90.238642         -1.7982         0.6268        10.5157        10.6867      -463.1613       156.2370        -0.0324       488.9371         4.5515       206.0123
          93.246597         -4.5149         0.3623        10.5452        11.4768      -445.3043       165.6188        -2.6381       475.1163         4.5578       195.1818
          96.254551         -4.6863         1.7577         9.0387        10.3319      -440.3663       160.5545         0.9836       468.7692         4.4242       192.7660
          99.262506         -2.7977        -0.5848        10.2206        10.6127      -454.6647       157.1501         3.6753       481.0738         4.4854       193.0377
          102.27046         -1.5416        -1.8516         8.9580         9.2763      -456.8156       160.1061         3.7605       484.0951         4.5214       199.2974
          105.27841         -2.7115        -1.5487         9.0469         9.5706      -451.6696       166.0037         7.5834       481.2821         4.5466       204.6276
