Time                         Bx(nT)         By(nT)         Bz(nT)         Btot(km/s)    Vx(km/s)        Vy(km/s)      Vz(km/s)       Vtot(km/s)      Density(cm^-3)Temp(eV)
          0.0000000          8.4892        -7.7298        16.8904        20.4230      -150.3418        69.7841        -9.9743       166.1862         1.3840       681.6338
          3.0095830          7.4300        -7.9769        17.5685        20.6758      -136.3419        46.4170       -27.1381       148.1285         1.4132       664.3041
          6.0191972          6.0195        -9.7929        15.6825        19.4442      -129.9365        31.4412       -56.1847       145.3488         1.6754       606.6651
          9.0287805          9.5545        -9.9850        13.4851        19.3090      -127.9352        47.3415       -64.6896       151.9733         1.8211       571.4676
          12.038395         11.9500       -11.3099        12.2836        20.5329      -128.7207        67.1261       -54.9715       155.3079         1.7045       572.9562
          15.047978         12.7077       -12.3211        11.4286        21.0691      -138.0228        65.7868       -45.7811       159.7803         1.4714       587.8437
          18.057561         13.3604        -9.9730        14.8410        22.3208      -148.3237        54.7745       -40.1225       163.6626         1.5006       582.4424
          21.067144         12.3059        -9.9107        16.8964        23.1332      -136.3517        32.0207       -40.0432       145.7662         1.2966       607.7902
          24.076758         12.1999        -7.3105        18.2445        23.1331      -123.6897        19.2209       -41.5597       132.1002         1.3257       607.2252
          27.086341         11.5611        -7.1910        15.9957        21.0055      -139.7419        23.0219       -32.5807       146.6990         1.6754       550.9821
          30.095955         13.6279       -11.8323        14.7139        23.2856      -168.9150        55.3148       -29.3783       180.9203         2.0542       443.5683
          33.105539         14.5706       -10.8295        15.4284        23.8247      -186.4078        82.5121       -53.9217       211.0160         1.4423       468.9129
          36.115153         13.0438        -9.7982        16.4318        23.1549      -196.1956        91.8301       -68.6774       227.3096         1.6463       436.5912
          39.124736         13.7951        -8.6296        15.7681        22.6585      -199.3418        86.9229       -68.2915       228.0860         1.4423       459.8007
          42.134319         14.6948        -9.6082        15.1326        23.1786      -202.9551        86.2010       -53.8327       227.0819         1.7337       449.9683
          45.143902         14.2667        -6.5939        15.7015        22.2161      -197.7792        91.5947       -33.5268       221.0756         1.7919       437.9522
          48.153516         15.1335        -5.6709        14.4865        21.7034      -182.1219        92.6202         6.8767       206.2004         1.9085       427.7104
          51.163100         13.0383        -8.6268        15.5151        22.0258      -159.3463        85.6435        44.4707       186.6159         1.6171       526.0173
          54.172714         13.2434       -10.6413        14.5191        22.3479      -137.4929        72.2323        41.8923       161.4418         1.4714       528.5956
          57.182297         15.3039       -11.9043        13.0242        23.3570      -129.6466        60.5931        28.5431       146.0458         1.2092       576.8692
          60.191911         15.8628       -12.5497        11.6266        23.3303      -124.7638        66.0505        35.5717       145.6244         1.1801       586.3823
          63.201494         15.0961       -10.8031        13.9224        23.2042      -135.7534        78.3143        39.0269       161.6659         1.1801       563.5966
          66.211077         12.2966       -10.7931        14.6315        21.9495      -161.5740        99.5087        33.6191       192.8172         1.4423       491.3231
          69.220691         10.7655        -8.6119        16.5044        21.5047      -188.0684       110.0250        19.3963       219.2322         1.7045       488.1202
          72.230275         11.6943        -9.6286        16.2253        22.1975      -186.1987       104.1310        -0.8467       213.3885         1.7919       486.8426
          75.239858          9.9259        -8.7838        17.0531        21.5983      -171.7160        96.6083         1.1050       197.2370         1.7919       501.1921
          78.249472         11.7161       -10.6525        15.8495        22.4042      -162.8282        78.5810        -1.6308       181.8812         1.7337       528.0942
          81.259055         10.2164        -9.2255        15.8477        20.9913      -159.0136        69.8720       -17.2247       174.8400         1.4132       665.7419
          84.268669         11.1618        -8.4274        16.1411        21.3574      -142.9921        70.6471        -9.5089       159.8224         1.5588       690.7463
          87.278252         10.7537        -6.7593        17.8963        21.9455      -122.2112        27.6699       -12.5417       131.4369         1.3257       811.8370
          90.287835         10.1836       -10.1292        15.2537        20.9519      -131.9777       -28.7276       -27.5845       138.0053         0.8595       944.4027
          93.297450         12.7092       -12.5214        13.1738        22.1779      -161.5533       -30.5358       -26.4854       167.8373         1.2092       738.2003
          96.307033         14.6472       -11.1042        14.5017        23.4125      -156.6374         1.0606        -5.0084       157.7443         1.3549       666.8857
          99.316616         15.2183       -11.1456        15.6820        24.5305      -155.8180        25.1874        -2.5632       157.9248         1.3257       581.9262
          102.32623         15.9781       -13.4472        15.1950        25.8267      -149.3185        33.8387        -4.3850       153.5410         1.0926       600.1115
          105.33581         14.1736       -12.3431        15.6825        24.4782      -160.2630        53.8930       -21.1192       170.6671         0.9761       655.1476
          108.34543         13.7313        -9.5166        15.8584        23.0348      -191.1834        59.8478       -48.3246       207.4612         1.5588       512.4107
          111.35501         14.2881        -9.9664        15.8728        23.5675      -199.9985        60.8432       -54.7887       218.3850         1.2675       587.7745
          114.36459         11.5723        -9.2080        15.5209        21.4384      -198.6730        90.0179       -31.6065       220.4211         1.3840       570.9364
          117.37421         11.4534       -10.6961        16.6760        22.8840      -192.4721        96.0346       -29.7701       217.5352         1.5588       573.5027
          120.38379         13.1824       -10.4704        15.6198        22.9648      -197.9236        95.7671       -28.2279       222.6270         1.2966       588.5085
          123.39337         13.4438        -9.8132        14.8763        22.3235      -231.8386        80.6129       -48.4087       250.3957         1.1801       610.8944
          126.40299         11.7516        -9.9329        13.2676        20.3173      -229.0848        74.4088       -53.2112       246.7576         1.2383       671.7825
          129.41257         10.0918        -8.1515        15.7327        20.3914      -215.6366        72.2646       -51.4270       233.3855         1.1509       762.8710
          132.42219         11.3027       -10.1713        15.6802        21.8421      -190.2404        57.7928       -58.6923       207.3597         0.7721      1015.1931
          135.43177         11.4177       -10.7112        14.8811        21.5996      -176.3274        49.9294       -45.1619       189.3185         0.5390      1321.3074
          138.44135         11.3862       -12.7148        15.0945        22.7850      -169.1360        59.6179       -29.6883       182.2723         0.7139      1022.0589
          141.45097         11.9367       -12.7040        14.8857        22.9229      -176.1494        97.5938       -22.6879       203.8446         0.4516      1428.7837
          144.46055         13.1542       -11.9645        14.1262        22.7097      -200.2047       122.0199        -4.1189       234.7453         1.0635       786.8095
          147.47013         10.4390        -9.9541        16.7879        22.1335      -182.2955        88.3711       -10.6632       203.6387         1.2966       656.3680
          150.47975         10.5174       -11.3406        17.0616        23.0288      -179.4279        78.1422       -33.3404       198.6742         1.5588       587.3820
          153.48933         12.0908        -7.8321        16.6848        22.0435      -163.3347        66.4008       -40.5590       181.2923         1.5588       569.8037
          156.49894         11.3058        -7.8392        16.5466        21.5189      -155.7934        46.3655       -48.8288       170.0436         2.6661       389.7164
          159.50853          9.6976        -7.3183        18.1746        21.8613      -145.2777        32.5318       -61.9975       161.5532         2.4038       393.1204
          162.51811         11.6825        -8.1810        16.6138        21.8958      -154.3015        32.9395       -64.6967       171.0722         2.3164       388.2393
          165.52772         12.8076       -10.5751        13.2404        21.2409      -176.4616        54.2241       -44.9159       191.0650         2.0250       486.0731
          168.53731         15.1031       -11.8568        14.4655        24.0403      -185.1354        68.7312       -14.8115       198.4150         1.3549       558.5374
          171.54689         14.3811       -11.7184        15.9924        24.4927      -180.3193        68.2642       -14.8880       194.2424         1.2383       569.0330
          174.55650         15.0910        -9.2274        16.0153        23.8615      -185.0971        65.5001       -25.8835       198.5842         1.2675       546.2431
          177.56609         14.5521       -10.4385        14.0522        22.7638      -203.2481       104.2630       -23.4893       230.5971         1.7919       484.5197
          180.57570         13.9524        -9.0661        15.2618        22.5785      -203.1501       130.6218       -34.0953       243.9157         1.5880       474.8963
          183.58529         14.2621        -8.1836        15.1124        22.3330      -203.7448       123.8702       -27.3913       240.2044         1.7628       423.3184
          186.59487         13.7702        -8.6396        14.7471        21.9485      -216.1814       117.2541       -21.6440       246.9438         2.0833       398.5448
          189.60448         14.1688        -8.2159        15.1122        22.2853      -213.9846       109.4819       -29.8867       242.3221         1.9376       413.3416
          192.61407         15.0237        -7.4326        14.9706        22.4739      -203.1039       103.8098       -36.9771       231.0736         1.8211       414.3303
          195.62365         12.6413        -6.6774        17.1590        22.3343      -195.3477       103.4638       -37.9097       224.3399         1.8502       433.0946
          198.63326         11.5024        -7.5871        17.7549        22.4746      -192.9422       105.1257       -44.3649       224.2102         1.7045       444.4556
          201.64285         13.1558        -7.6091        17.6092        23.2606      -211.5594       104.8889       -44.4345       240.5291         1.7919       431.9489
          204.65246         13.7879        -8.4460        16.8831        23.3769      -219.0110       101.7552       -37.4112       244.4160         1.5006       483.0744
          207.66204         14.3365        -8.5328        16.6616        23.5787      -209.7581        96.6761       -37.6851       234.0698         1.2966       531.5673
          210.67163         13.1871        -7.9523        15.7737        22.0442      -205.2941        96.8203       -30.9267       229.1739         1.6463       508.3359
          213.68124         11.5183        -8.5964        16.0073        21.5129      -187.5394       101.5945       -27.6138       215.1330         1.7045       507.1672
          216.69082         10.1958        -8.0754        15.4491        20.1951      -182.4666        99.4736       -32.6746       210.5953         1.6463       583.1591
          219.70041         10.0909        -8.0206        15.7230        20.3314      -183.1693        88.8296       -36.9141       206.9309         1.3257       712.1486
          222.71002          9.9563        -7.5027        13.3068        18.2343      -173.2784        81.8039       -21.7031       193.1238         1.1509       844.4781
          225.71960          8.4377       -10.8654        12.6424        18.6838      -166.9037        71.3933       -10.9438       182.0867         1.5297       751.9899
          228.72922         11.4934        -7.5380        14.5763        20.0347      -155.2468        52.5800        -0.6799       164.8271         0.8887      1025.4199
          231.73880         10.0980        -8.8140        13.8095        19.2447      -148.1106        45.9315        21.5979       156.5815         0.6556      1466.4501
          234.74842          9.9665        -8.5540        13.8064        19.0557      -140.8656        44.1773        23.3429       149.4648         0.6847      1426.3369
          237.75800          8.9089        -8.8267        12.9620        18.0359      -135.5185        42.6584        22.0996       143.7852         0.5682      1652.5695
          240.76758          9.1374       -11.9180        11.4829        18.9047      -136.0275        48.5822        18.1765       145.7699         0.7430      1367.1032
          243.77717         11.6899       -10.9038        12.7329        20.4370      -138.5452        51.2327        18.1716       149.1161         0.5099      1706.9929
          246.78678         11.6779       -11.4417        11.2047        19.8200      -173.9546        63.5909        20.1952       186.9169         0.5973      1437.5954
          249.79636         12.4276       -13.1374         9.2664        20.3200      -219.0984        97.1730        10.4731       239.9407         1.3549       786.0632
          252.80598         14.7243       -15.3594         9.6465        23.3617      -210.2978        90.0801        10.1656       229.2121         1.5006       672.8498
          255.81556         15.8475       -15.0300        11.1366        24.5167      -192.2560        69.0797        -3.1947       205.2807         1.1801       658.1464
          258.82517         16.3261       -13.7213        11.1822        24.0802      -204.4067        64.7531       -28.2127       216.3987         1.7919       483.9334
          261.83476         16.4565       -13.5664        12.5939        24.7684      -218.7786        58.5895       -34.3143       229.1807         1.7628       466.3788
          264.84434         16.2862       -15.0562         9.8258        24.2585      -195.2470        52.2284       -71.8588       218.8234         2.1707       355.6036
          267.85392         20.5278       -11.7116         8.6961        25.1828      -160.8473        51.8947      -116.0857       205.1985         2.0833       362.3837
          270.86354         20.0650        -9.8144         9.2530        24.1774      -150.9723        65.2601      -117.0667       202.0443         2.4621       332.9156
          273.87312         19.9954        -5.0989        11.1447        23.4525      -149.4182        77.6795      -107.7793       200.6746         2.1999       342.3259
