Time                         Bx(nT)         By(nT)         Bz(nT)         Btot(km/s)    Vx(km/s)        Vy(km/s)      Vz(km/s)       Vtot(km/s)      Density(cm^-3)Temp(K)
          0.0000000         10.8569       -10.4971        28.3735        32.1421      -112.8577        98.6735       -25.9191       152.1353        33.6615       117.7180
          3.0073087          7.9617        -6.2550        26.1296        28.0227      -111.6051       101.8542       -28.0246       153.7368        33.0713       119.0210
          6.0146174          8.2457        -8.3471        28.3326        30.6660      -113.9554       106.3058       -27.1926       158.3437        34.4046       126.1857
          9.0219262          7.0561        -6.1339        28.8087        30.2878      -121.4877       106.5598       -22.1116       163.1149        30.0698       122.1330
          12.029235         10.1278       -11.9215        27.6420        31.7613      -122.9473       104.0869       -26.2833       163.2735        35.5498       121.6389
          15.036544         10.2519       -10.7612        27.5194        31.2766      -113.9324        94.6220       -27.2902       150.6206        32.6803       115.9130
          18.043853          8.7227        -6.5735        27.7184        29.7928      -115.4084       104.8711       -26.4769       158.2348        34.5264       110.7733
          21.051161          8.5789        -7.5532        25.8703        28.2829      -121.8015       111.0942       -22.9137       166.5762        34.1917       115.7963
          24.058470          9.8734        -9.1523        28.8051        31.7959      -125.0055       105.3355       -21.4269       164.9037        32.2299       115.4746
          27.065779          9.1514        -8.3160        29.5288        32.0133      -116.1388        99.7290       -23.5934       154.8925        34.6602       109.6946
          30.073088         10.4731        -9.8322        29.3915        32.7142      -114.8574       100.0713       -21.6676       153.8739        34.5449       106.2289
          33.080397          8.7473        -9.7573        29.1367        31.9479      -118.4310       102.2980       -21.9286       158.0347        32.4940       111.9819
          36.087706         10.1007        -7.7810        26.0122        28.9690      -115.7458       102.3132       -24.9984       156.5713        33.5752       120.0280
          39.095015          8.1855        -6.1823        29.4297        31.1662      -107.2007       104.7121       -25.1669       151.9969        32.7415       117.7823
          42.102323          7.4431        -8.5037        30.4215        32.4527      -109.8181       105.8424       -20.9307       154.0498        32.1395       114.1646
          45.109632          8.1403        -8.9758        27.3921        29.9526      -118.8728       105.0974       -21.4470       160.1319        29.9751       128.6214
          48.116941          8.5792        -6.8186        28.5527        30.5836      -118.9329       107.0959       -24.1224       161.8720        32.9280       123.3779
          51.124250         10.0641        -9.7316        26.1778        29.6862      -118.2620       106.1608       -24.0240       160.7779        32.4711       124.6253
          54.131559          8.6895        -6.7295        29.1814        31.1825      -120.3928       103.6943       -22.4580       160.5217        31.0000       128.2018
          57.138868          9.4623       -10.9935        30.0713        33.3867      -118.0651       103.7609       -17.9139       158.2008        33.0707       118.4355
          60.146177         11.0477        -8.2544        27.9807        31.1947      -117.3785       102.4477       -18.4084       156.8862        31.3308       119.6192
