Time                        Bx(nT)         By(nT)         Bz(nT)
          3943.4213          4.5672        -1.4389         9.4180
          3946.4292          4.4752        -1.0561         9.8391
          3949.4372          5.4870        -0.6053        10.5139
          3952.4451          4.1850        -0.4404        10.0235
          3955.4531          2.6759        -0.4765         9.3031
          3958.4610          2.6535        -0.8191         9.4155
          3961.4690          3.1818        -1.0584         9.6787
          3964.4769          2.5666        -1.7738         8.7567
          3967.4849          2.7878        -1.2894         9.6699
          3970.4928          2.7518        -0.1579         9.9186
          3973.5008          3.2425        -0.8288        10.3478
          3976.5087          4.1540        -0.4099        11.0675
          3979.5167          4.3922        -1.1274        11.9890
          3982.5246          2.9925        -0.2637         9.1907
          3985.5326          3.1768        -0.0077        10.3323
          3988.5405          3.1820         1.1045        10.8823
          3991.5485          3.6026         1.1375        10.7373
          3994.5564          2.1251        -1.0446        10.8117
          3997.5644          2.6068        -1.8328         9.6788
          4000.5723          3.3029        -0.2103        10.4170
          4003.5803          3.1058        -0.3230        11.2804
          4006.5882          1.8139        -0.2284        11.5926
          4009.5962          1.7570        -0.5848         9.0823
          4012.6041          2.6132        -0.4994         9.4386
          4015.6121          3.2360        -0.2087        11.2816
          4018.6200          3.3533        -0.1285        10.8262
          4021.6280          2.1390        -0.2739        10.0251
          4024.6359          2.0741        -0.1442        10.4639
          4027.6439          2.5695        -0.2449        10.6334
          4030.6518          2.7904        -0.5395        10.6200
          4033.6598          2.2820        -0.5236        11.7562
          4036.6677          2.9460        -0.1298        10.8006
          4039.6757          3.4459        -0.6029        10.7034
          4042.6836          3.4955        -0.5489        10.0849
          4045.6916          3.7339        -0.9215        12.1340
          4048.6995          2.0075        -0.4605        10.2774
          4051.7075          2.1181        -1.2412         8.9525
          4054.7154          3.1338        -0.8288         9.5704
          4057.7234          2.6788        -0.9133         9.6038
          4060.7313          3.1993        -1.4840         7.6259
          4063.7393          4.0896        -0.3772        10.0920
          4066.7472          3.7074        -0.6849         9.4630
          4069.7552          4.3031         0.2508        10.8325
          4072.7631          3.1899         0.0857         8.8698
          4075.7711          2.9905        -0.3837         9.6169
          4078.7790          3.5780         0.3640        12.1165
          4081.7870          3.6833        -0.6286         9.9055
          4084.7949          3.7527        -1.5843        10.6571
          4087.8029          2.1333        -0.7173         9.9079
          4090.8108          2.3015         0.6419        10.3183
          4093.8188          2.9898        -0.2028        10.8022
          4096.8267          3.2608        -0.2758         9.7878
          4099.8347          1.1832         1.3422         9.2793
          4102.8426          0.9606         2.3895         8.6428
          4105.8506          0.8462         2.0076         9.7348
          4108.8585          0.2729         2.5472         8.9275
          4111.8665         -0.4882         2.4114         7.9436
          4114.8744         -0.4540         2.8989         9.4555
          4117.8824          0.1816         1.7141         8.7011
          4120.8903          0.2563         1.9094         8.5203
          4123.8983          0.2404         1.3825         8.7089
          4126.9062          0.2060         1.7450         8.5431
          4129.9142          0.7840         3.2066         9.1254
          4132.9221          2.4454         1.6416         9.3210
          4135.9301          2.9737         0.0138         9.2545
          4138.9380          3.0245         0.4626         9.2765
          4141.9460          2.9833         0.3554         9.7015
          4144.9539          2.6222         0.6017         9.8852
          4147.9619          2.7318         0.5308         9.6384
          4150.9698          1.7263         0.5690         9.1117
          4153.9778          1.5728         0.3335         9.2412
          4156.9857          1.8740         0.3412         8.9893
          4159.9937          1.8741         1.4304         9.6445
          4163.0016          2.4611         1.7166         9.6372
          4166.0096          2.0126         0.7733         9.0368
          4169.0175          1.5486         1.1602         8.8849
          4172.0255          1.4028         1.3510         9.7588
          4175.0334          1.0327         0.7505         9.1197
          4178.0414          0.7710         0.0894         9.0069
          4181.0493          1.7903         0.7648         9.3992
          4184.0573          1.8305         0.6561        10.6381
          4187.0652          1.6966         0.6789         9.9019
          4190.0732          1.9073         1.0811        10.4263
          4193.0811          2.0890         2.1228        10.0193
          4196.0891          1.5320         1.9310         9.8699
          4199.0970          1.6690         1.0270         9.5854
          4202.1050          1.8412         0.9569         9.4519
          4205.1129          1.8413         1.8177        10.2026
          4208.1209          0.6136         2.1290         9.4451
          4211.1288          0.6384         2.6566         9.2033
          4214.1368          0.6656         2.3097         8.8816
          4217.1447          0.5965         2.8379         9.0240
          4220.1527          0.8481         2.2934         9.7990
          4223.1606          1.2150         2.0079         8.9078
          4226.1686          0.9362         2.5301         9.1661
          4229.1765          1.0213         3.6759         9.3051
          4232.1845         -0.7035         1.7978         8.9607
          4235.1924          0.6158         1.0132         8.7905
          4238.2004          0.5600         1.5281         8.9782
          4241.2083         -0.0809         3.5151         8.6201
          4244.2163          0.6475         3.2293         8.9148
          4247.2242          0.8624         2.4290         8.6443
          4250.2322          0.5788         3.2951         8.6221
          4253.2401          0.6303         1.7920         8.2017
          4256.2481          0.9305         1.5091         8.8134
          4259.2560          1.8496         0.0937         9.4000
          4262.2640          3.3562        -0.2135         9.0855
          4265.2719          2.3865         0.5993         9.2173
          4268.2799          2.2270         1.8746         9.0773
          4271.2878          1.9845         1.9929         9.1449
          4274.2958          2.3441         1.7848         8.8479
          4277.3037          2.4302         2.8093         9.0509
          4280.3117          2.3950         2.9775         9.0348
          4283.3196          2.6004         2.3840         9.5966
          4286.3276          2.1252         1.6408         9.3074
          4289.3355          1.8556         1.5858         8.8074
          4292.3435          2.5374         1.7824         8.8586
          4295.3514          2.8116         1.4066         9.1195
          4298.3594          2.5936         2.1117         9.0748
          4301.3673          3.0396         1.2385         8.9788
          4304.3753          2.7399         1.9486         8.5905
          4307.3832          1.1389         1.7317         9.4651
          4310.3912          0.3119         1.7795        10.1149
          4313.3991         -0.5966         1.1452        10.5534
          4316.4071          0.0137         1.6366         9.8259
          4319.4150          0.4665         1.3971        10.6151
          4322.4230         -0.8415         1.6666        10.8600
          4325.4309         -0.2936         1.2560        10.2805
          4328.4389          1.1604         1.1158        10.5365
          4331.4468          1.0569         1.4879         9.9365
          4334.4548          1.3561         0.3786         9.8529
          4337.4627          0.8682         0.3215        10.4730
          4340.4707         -0.1888         0.4450        10.2083
          4343.4786          0.5815        -0.7603        11.4693
          4346.4866          0.6968         1.0826        12.2312
          4349.4945          0.8468         2.0425        12.2710
          4352.5025          2.0091         1.3415        11.4591
          4355.5104          1.5677        -0.4594         9.0852
          4358.5184          1.3876        -0.4399         9.0278
          4361.5263          1.7984         1.8240        10.4843
          4364.5343          1.9651         1.6181        10.5009
          4367.5422          1.9745         1.4108         9.6690
          4370.5502          2.5801         0.5248        10.4548
          4373.5581          1.8263         0.5007        10.1056
          4376.5661          1.9085         1.2967        10.9117
          4379.5740          0.7814         0.4087        10.6315
          4382.5820          1.9050         1.1508        11.4080
          4385.5899          1.6352         0.6636        10.2144
          4388.5979          1.0954         1.0605         9.7460
          4391.6058          1.2634         1.4431        11.4734
          4394.6138          0.8068         1.1491        10.5842
          4397.6217          0.9396         1.7823         9.3651
          4400.6297          1.0215         1.7464         9.4869
          4403.6376          2.2861         2.5523        11.0873
          4406.6456          1.6017         1.5463        11.5847
          4409.6535          1.9586         1.5520        10.7691
          4412.6615          1.8179         1.8037        12.5520
          4415.6694          1.5488         1.6850        11.6085
          4418.6774          1.9532         1.3875        10.8541
          4421.6853          1.1953         0.6528        11.7077
          4424.6933          0.7502         0.9751        11.3306
          4427.7012          2.0527         1.5094        12.7852
          4430.7092          0.6781         1.1824         9.7078
          4433.7171          1.0879         1.8658         8.8815
          4436.7251          1.4544         0.6028         9.4696
          4439.7330          0.7091         0.6603        10.3386
          4442.7410          1.3510         0.8281        10.7179
          4445.7489         -0.0690         0.6616         9.8069
          4448.7569          1.1891         0.3032        10.7107
          4451.7648          1.6310         0.5290        10.6995
          4454.7728          1.4446         1.1995         9.9344
          4457.7807          0.7839         1.5739        10.5698
          4460.7887          0.9223         1.1998         9.6838
          4463.7966          1.0060         0.3623         9.2524
          4466.8046          0.7438         1.9913        10.9857
          4469.8125          2.3049         2.0242         8.8382
          4472.8205          2.2706         2.5369         9.9582
          4475.8284          1.6199         1.3671         9.4992
          4478.8364          2.2633         0.8139        10.4392
          4481.8443          2.7255         1.1527        10.3451
          4484.8523          2.5729         2.0173        11.0134
          4487.8602          1.8192         0.0146        10.1513
          4490.8682          1.4235        -0.2246         9.4513
          4493.8761          1.4817         1.2719        12.7303
          4496.8841          0.5525         1.5105        10.5299
          4499.8920          1.1471         0.2076        11.1249
          4502.9000          1.7049         0.1389         9.2888
          4505.9079          0.4693         0.3076        10.0049
          4508.9159         -0.0647         1.3815         9.3978
          4511.9238          0.3152         1.6749        11.4740
          4514.9318          1.6752         1.6254        10.4493
          4517.9397          2.0340         3.0319        11.3671
          4520.9477          2.5935         1.8874        10.6807
          4523.9556          3.2750         0.7134        10.8314
          4526.9636          2.1536         0.4364        11.0359
          4529.9715          2.5890         1.2254         9.9539
          4532.9795          3.1280         0.1302         9.8753
          4535.9874          2.2910         0.5634        11.2756
          4538.9954          1.9149         0.7307        10.9961
          4542.0033          1.2109         1.0819        11.5589
          4545.0113          1.8447         1.8076        10.8130
          4548.0192          1.5641         2.2018        11.3393
          4551.0272          1.3657         2.0898        10.6026
          4554.0351          1.3245         1.8389        10.6925
          4557.0431          1.7659         0.6480        10.2028
          4560.0510          1.1690         0.5577        10.6857
          4563.0590          0.7860         0.0746        11.1933
          4566.0669          0.6270         0.4701        10.5939
          4569.0749          0.1548         1.2143        11.0234
          4572.0828          0.0330         1.0200        11.0782
          4575.0908          0.0963         0.3388        10.4174
          4578.0987          0.5131         0.0505        10.0441
          4581.1067          1.2821         0.5788        10.2830
          4584.1146          3.2977         1.8413        11.7392
          4587.1226          2.6810         1.6569        11.4292
          4590.1305          1.8836         1.7707        11.5324
          4593.1385          1.1672         2.1380        11.4658
          4596.1464          0.9132         2.9893        11.6401
          4599.1544          0.2607         1.7322         9.6899
          4602.1623          1.4419         1.4909        10.1812
          4605.1703          0.9793         2.1524         9.7685
          4608.1782          0.5950         2.2360        10.2983
          4611.1862         -0.0098         2.2680        10.8340
          4614.1941          0.4178         1.9802        12.0197
          4617.2021          0.0404         1.8763        10.7662
          4620.2100         -0.1292         2.0977        10.3917
          4623.2180          0.1233         2.3565         9.9263
          4626.2259          1.1712         2.3428        11.1091
          4629.2339          1.2737         2.6556        10.4562
          4632.2418          0.9922         2.1911        10.2242
          4635.2498          1.2995         1.8344        10.5570
          4638.2577          0.7713         1.6019        10.5323
          4641.2657          0.3029         2.1621        10.6482
          4644.2736          0.0625         2.4464         9.9156
          4647.2816         -0.1912         2.8745         9.4404
          4650.2895          0.6316         3.1409         9.0822
          4653.2975          1.3819         2.3387        10.3763
          4656.3054          2.1827         1.3533        11.1598
          4659.3134          2.1845        -0.2553        11.7052
          4662.3213          1.4158        -0.1721         9.6234
          4665.3293          1.7290        -0.5325         8.8759
          4668.3372          2.8052        -0.9297         8.1385
          4671.3452          3.5784        -1.2001         9.9966
          4674.3531          2.8845        -0.8088         9.3929
          4677.3611          3.3971        -1.0466        11.2178
          4680.3690          2.3426        -1.0113        10.9801
          4683.3770          1.4887         0.3184        10.6849
          4686.3849          1.8251        -0.3222         9.6602
          4689.3929          2.4963        -0.1379        10.3036
          4692.4008          2.2497        -0.4819        10.1212
          4695.4088          3.4102        -0.8781        10.4309
          4698.4167          2.6049         0.5098         9.8192
          4701.4247          3.1610         0.7019         9.1617
          4704.4326          3.3924        -0.1667         9.9955
          4707.4406          3.4574         0.0473         9.8875
          4710.4485          3.3879         0.0521         8.8161
          4713.4565          3.1071         0.0491         9.5093
          4716.4644          3.3991        -0.8740         9.1856
          4719.4724          3.4255        -0.3211         9.8227
          4722.4803          1.5888         0.6556         9.0796
          4725.4883          2.9066        -0.2954        10.0378
          4728.4962          2.6743        -0.5180        11.1664
          4731.5042          2.9998        -1.6175        10.2457
          4734.5121          4.0931        -1.8411        10.7118
          4737.5201          3.9844         0.2861         9.4197
          4740.5280          2.8616         0.9353         9.8515
          4743.5360          4.0664        -0.3131        10.4177
          4746.5439          3.7831        -0.7222        10.3402
          4749.5519          3.3685         0.6647        11.6620
          4752.5598          2.8050        -0.6693        10.5723
          4755.5678          3.4174        -0.5502         9.9837
          4758.5757          3.0592        -1.0645         8.7366
          4761.5837          3.3995        -1.0260         9.5349
          4764.5916          4.3729        -0.3948        10.3480
          4767.5996          4.1578        -0.8919         9.1765
          4770.6075          3.4285        -1.3374         9.7374
          4773.6155          2.8525        -0.3781         9.6666
          4776.6234          2.7686        -0.3885         9.3820
          4779.6314          2.7029         0.0311         9.3707
          4782.6393          2.5985        -0.8386        10.2403
          4785.6473          3.1034        -1.0836         9.0364
          4788.6552          1.8183        -1.1632         8.9084
          4791.6632          1.5561        -1.3836         8.2479
          4794.6711          2.5193        -1.1055         8.6512
          4797.6791          3.7944        -1.0818         9.6778
          4800.6870          3.4311        -1.0056         8.4755
          4803.6950          2.8776        -0.8052         8.4818
          4806.7029          3.1851        -1.1706         8.6815
          4809.7109          2.7537         0.1618         8.8114
          4812.7188          2.3857        -0.3211         8.8254
          4815.7268          3.5872        -1.2391        10.2865
          4818.7347          3.9396        -1.2812         9.9717
          4821.7427          3.8263        -0.5655         9.9208
          4824.7506          3.3329        -1.1006         9.0513
          4827.7586          3.7706        -1.8538         9.1029
          4830.7665          3.6642        -1.4265         9.7985
          4833.7745          2.6032        -1.4544         9.8071
          4836.7824          3.2590        -2.4763         9.0413
          4839.7904          3.8969        -2.7979         9.0165
          4842.7983          3.1520        -2.5214         9.1721
          4845.8063          3.4435        -1.4538         8.2566
          4848.8142          3.4449        -1.5914         8.7042
          4851.8222          3.4759        -1.4275        10.1089
          4854.8301          3.8032        -1.6370        10.6593
          4857.8381          2.8434        -1.6670         9.3360
          4860.8460          2.5882        -2.1532         9.5099
          4863.8540          3.0631        -1.6113         9.2407
          4866.8619          3.5395        -0.8309         8.7483
          4869.8699          3.5167        -2.6675         8.6433
          4872.8778          3.9349        -1.9937         8.6028
          4875.8858          6.1856        -1.8479        11.1331
          4878.8937          4.9154        -1.5333        10.9253
          4881.9017          2.5846        -2.0578         8.2394
          4884.9096          2.6357        -2.1171         8.1327
          4887.9176          3.2075        -1.7917         9.4781
          4890.9255          3.8645        -2.5883         8.8607
          4893.9335          3.0140        -2.8055         8.4889
          4896.9414          2.9550        -2.5338         8.0244
          4899.9494          3.5689        -2.4199         8.5890
          4902.9573          4.1018        -2.1481         9.2781
          4905.9653          3.7584        -2.2839         7.9977
          4908.9732          4.1535        -2.3679         9.2070
          4911.9812          5.2157        -2.1789        11.1225
          4914.9891          3.7119        -1.7325         9.0788
          4917.9971          4.1871        -1.8199        10.1512
          4921.0050          4.8692        -1.9023        10.7963
          4924.0130          5.5254        -2.2170        11.7078
          4927.0209          6.0117        -1.4639        10.9173
          4930.0289          5.6666        -1.3350        10.9047
          4933.0368          5.7287        -1.6929        11.7216
          4936.0448          5.7795        -2.3523        12.1258
          4939.0527          5.4014        -2.2857        11.0378
          4942.0607          3.1397         0.4871         9.0866
          4945.0686          3.2060         0.8963        11.7733
          4948.0765          2.8271        -0.4334        11.7015
          4951.0845          3.0479         0.1051         9.4234
          4954.0924          3.2384         0.8115         9.8919
          4957.1004          1.7583        -0.3328         9.1957
          4960.1083          0.9235         0.7635         9.2248
          4963.1163          1.7315         1.4359         8.7542
          4966.1242          3.2367         0.2114         8.9360
          4969.1322          3.7083         0.2053         8.9400
          4972.1401          3.4301         0.2333         8.6983
          4975.1481          3.5324        -0.7590        10.2294
          4978.1560          3.6768        -0.4114         9.8609
          4981.1640          3.8508        -0.2993         9.2737
          4984.1719          5.0065        -1.5066        11.4850
          4987.1799          4.0401        -1.0591        10.8325
          4990.1878          2.9079        -1.2636         8.8899
          4993.1958          2.9883        -1.6344         8.5713
          4996.2037          3.5003        -1.5210         9.3369
          4999.2117          3.2456        -1.6909         9.2822
          5002.2196          2.7040         0.3196        10.7812
          5005.2276          3.1496        -0.5598        10.0535
          5008.2355          3.4779        -0.5391        10.0008
          5011.2435          3.8729        -0.3864         9.9347
          5014.2514          3.0933         0.5166        10.1111
          5017.2594          1.9916         1.7020         9.1318
          5020.2673          2.1839         1.3492        10.4738
          5023.2753          2.2771         0.7223        10.1887
          5026.2832          1.7296         0.8744        10.4849
          5029.2912          2.9966         0.6547        10.5646
          5032.2991          3.1246         0.0040        10.1504
          5035.3071          3.5373        -0.7911         9.6685
          5038.3150          3.1659        -0.2003        10.2553
          5041.3230          3.1117         0.2892        10.2716
          5044.3309          3.4101         0.4426        10.1215
          5047.3389          1.8424         0.3791         9.9810
          5050.3468          1.6683         1.4296         9.6723
          5053.3548          1.3142         1.8143         8.3675
          5056.3627          1.6224         1.1710         8.9949
          5059.3707          1.4648         1.5192         8.9453
          5062.3786          2.9670         0.7803         9.8399
          5065.3866          3.5128         0.9379        10.5047
          5068.3945          4.1690         0.2421        10.7100
          5071.4025          3.8697        -0.0480        10.8280
          5074.4104          3.9703        -0.3185        10.7974
          5077.4184          3.0443         0.2321         9.8872
          5080.4263          2.7474        -0.7857        10.2679
          5083.4343          3.6069        -0.3756        10.5253
          5086.4422          5.0333        -1.0697         9.7451
          5089.4502          4.8014        -0.3620         9.4377
          5092.4581          4.7096        -0.0491        10.4321
          5095.4661          4.4438        -0.1282        11.2985
          5098.4740          3.6029         0.6051        11.2508
          5101.4820          3.1933        -0.9351        10.7442
          5104.4899          3.1589        -1.1745        10.5934
          5107.4979          3.2275        -0.7286        10.3491
          5110.5058          4.0858        -1.1309        11.3393
          5113.5138          2.8609        -0.3053        12.4591
          5116.5217          3.4068        -1.1684        10.5786
          5119.5297          3.6385        -2.0562         9.8374
          5122.5376          4.3497        -0.4133        11.1703
          5125.5456          4.0232         0.0546        10.0804
          5128.5535          3.9615        -0.6766        10.4110
          5131.5615          3.9217         0.2283        10.9385
          5134.5694          3.5054         0.6688         9.8173
          5137.5774          3.9855         0.2430        10.3436
          5140.5853          3.7771         0.1148        10.3684
          5143.5933          2.5227         0.6096        11.1166
          5146.6012          1.9757         1.1382        11.9734
          5149.6092          2.0542         0.8130        12.2584
          5152.6171          2.3213         0.8500        12.0223
          5155.6251          2.3521         0.5876        11.3906
          5158.6330          1.8641         0.1234        11.0722
          5161.6410          1.9375        -0.6580        10.1798
          5164.6489          2.7158         0.3184        10.7720
          5167.6569          2.4602         0.3670        12.1451
          5170.6648          2.4324        -0.8621        11.7838
          5173.6728          3.2914        -0.4955        10.7000
          5176.6807          4.0381         0.7332        11.8803
          5179.6887          3.5862         1.0265        10.6346
          5182.6966          3.1269         0.5533        10.5051
          5185.7046          2.6000         0.8650        11.1390
          5188.7125          1.7152         1.3851        10.5760
          5191.7205          2.6588         0.5278         9.7610
          5194.7284          2.6390         0.0318        10.2142
          5197.7364          3.2513         0.7668        10.8711
          5200.7443          3.0295         0.5096        11.9054
          5203.7522          2.0592        -1.0290        11.2839
          5206.7602          2.7545        -0.1302        10.3967
          5209.7681          2.9018         0.3074        10.7006
          5212.7761          2.0813         0.4329        11.2371
          5215.7840          2.6148        -0.5201        10.7211
          5218.7920          3.4956         0.1801        10.7097
          5221.7999          3.5899        -0.1927        10.7276
          5224.8079          3.4672        -0.4627         9.0537
          5227.8158          3.4729         0.0573         9.9333
          5230.8238          2.6926         0.2685        10.4383
          5233.8317          3.1397        -0.5695         9.3936
          5236.8397          3.4192        -0.3632         8.5152
          5239.8476          3.5518        -0.4156         9.0543
          5242.8556          2.5471        -0.7612         9.4567
          5245.8635          3.1954        -0.6804         9.4334
          5248.8715          3.1578        -0.7297        12.1498
          5251.8794          1.8341        -0.2659        11.7613
          5254.8874          1.6821        -0.4294        11.4824
          5257.8953          1.7847        -1.3480        12.0346
          5260.9033          3.1618        -1.4808        11.3274
          5263.9112          2.2848        -1.6032        11.3745
          5266.9192          4.2030        -1.4863        12.5498
          5269.9271          4.4337        -1.7068        13.0632
          5272.9351          4.5655        -1.2055        12.9151
          5275.9430          4.7982        -1.5405        13.3024
          5278.9510          4.6042        -2.0238        12.4384
          5281.9589          3.4445        -1.7637        11.5772
          5284.9669          2.8217        -1.4030        10.7994
          5287.9748          3.0997        -2.0299        11.0609
          5290.9828          2.6781        -2.3947        11.3379
          5293.9907          3.6393        -2.2716        10.9482
          5296.9987          3.5904        -2.1346        10.4519
          5300.0066          3.6680        -1.6244        10.9332
          5303.0146          4.1379        -1.1219        11.7343
          5306.0225          4.8831        -1.1515        12.1633
          5309.0305          5.5542        -1.4594        12.1434
          5312.0384          4.2621        -1.5271        12.6824
          5315.0464          5.2228        -3.0573        12.0255
          5318.0543          5.9129        -3.0795        11.9301
          5321.0623          4.0493        -2.2460        10.0623
          5324.0702          3.9563        -2.6616         9.0259
          5327.0782          4.3038        -2.6891         9.1850
          5330.0861          4.0573        -2.0879         9.9855
          5333.0941          1.7536        -0.2476        10.5529
          5336.1020          4.1728        -2.3280        10.0969
          5339.1100          4.0170        -1.3481         8.7442
          5342.1179          2.2000        -1.1997         6.4818
          5345.1259          2.7541        -1.2355         6.7529
          5348.1338          2.7131        -0.3642         5.9037
          5351.1418          2.3320         0.0058         6.6291
          5354.1497          1.7974        -0.1396         4.5187
          5357.1577          2.4752         0.1245         5.8658
          5360.1656          1.7551         0.9448         5.7928
          5363.1736          1.2129         1.3467         6.8015
          5366.1815          1.2760         0.7730         5.9346
          5369.1895          1.3912         1.1335         4.6918
          5372.1974         -0.0146         1.2224         4.4752
          5375.2054          0.6298         0.4247         3.8891
          5378.2133          0.9947        -0.5077         4.0300
          5381.2213          0.6260        -0.4611         3.3104
          5384.2292          1.6641         0.7100         3.8863
          5387.2372          2.2584         0.8771         4.7318
          5390.2451          1.9266         1.0197         2.3403
          5393.2531          1.3221         0.6705         3.5043
          5396.2610          0.9002         1.1672         3.8838
          5399.2690         -0.1336         1.0878         3.0660
          5402.2769          0.6561         1.4293         3.3107
          5405.2849          1.6607         0.6193         3.9646
          5408.2928          2.0713         0.5746         3.6329
          5411.3008         -0.1491         0.7068         2.9848
          5414.3087         -1.1538         0.3276         2.8555
          5417.3167          0.2179         3.1433         2.6080
          5420.3246         -0.7771         3.7422         1.9813
          5423.3326          0.9460         2.9579         5.2519
          5426.3405          0.3566         1.7804         2.2732
          5429.3485          2.5270         4.8091        -1.7990
          5432.3564         -1.2239         2.4330         1.5146
          5435.3644          1.0579         4.8322         1.6776
          5438.3723         -3.4650         6.4916         2.7066
          5441.3803         -3.9327         4.4429        -0.5155
          5444.3882          0.8750         0.6854         0.2378
          5447.3962          0.0374         1.7657        -0.7549
          5450.4041         -6.1817         2.0340         2.8632
          5453.4121         -0.1513         0.0824        -2.5993
          5456.4200         -1.7519         6.0636        -0.9056
          5459.4280         -2.0092         1.5848        -3.8249
          5462.4359         -3.5922         0.1534        -2.1408
          5465.4439         -0.8867         1.0686        -4.7520
          5468.4518         -1.5045         2.6497        -3.4395
          5471.4598         -4.0708         3.0271        -2.7571
          5474.4677         -4.5387         3.6597        -1.5542
          5477.4757         -3.7280         2.3344        -3.0834
          5480.4836         -0.4979         0.7117        -2.4158
          5483.4915         -1.0476         1.8054         0.6558
          5486.4995         -3.0783         3.4523        -1.7279
          5489.5074         -1.7159         1.9896        -3.1706
          5492.5154         -3.0191         2.3690        -1.5637
          5495.5233         -2.7966         1.0664        -3.0300
          5498.5313         -2.0944         1.0029        -4.7357
          5501.5392         -1.2444         1.8564        -4.7474
          5504.5472         -2.2588         2.0669        -3.9041
          5507.5551         -2.8098         0.9795        -3.8292
          5510.5631         -1.5228         0.9846        -2.7885
          5513.5710         -1.0844         0.7509        -1.6473
          5516.5790         -1.4089         1.0805        -2.7173
          5519.5869         -2.3472         1.6007        -3.8859
          5522.5949         -2.1152         2.2324        -4.5439
          5525.6028         -3.4697         0.9910        -3.5463
          5528.6108         -2.1710         1.1667        -4.6617
          5531.6187         -2.4662         1.1689        -3.2944
          5534.6267         -3.2504         1.4223        -5.1674
          5537.6346         -3.6476         1.3077        -5.3824
          5540.6426         -3.2349         0.3191        -5.2150
          5543.6505         -2.8907         0.9192        -5.2337
          5546.6585         -2.0291         1.0953        -5.7884
          5549.6664         -0.6944         1.2571        -4.7503
          5552.6744         -1.1796        -0.2469        -5.4876
          5555.6823         -1.3996        -0.0384        -5.1913
          5558.6903         -1.9304         0.8971        -4.8810
          5561.6982         -1.5116         1.2824        -3.6615
          5564.7062         -1.8781         0.5414        -3.3245
          5567.7141         -0.2869         0.8067        -2.5714
          5570.7221          0.0437         0.0868        -2.9721
          5573.7300         -0.6689         1.6415        -2.2488
          5576.7380         -1.7935         1.2024        -3.1449
          5579.7459         -2.4332         3.1154        -2.5491
          5582.7539         -3.7417         2.9928        -3.8184
          5585.7618         -2.9233         3.4131        -2.8835
          5588.7698         -2.9564         1.8686        -2.2701
          5591.7777         -3.0385         4.2751        -3.0080
          5594.7857         -3.9531         4.1256        -1.5069
          5597.7936         -3.4207         3.1690        -2.5116
          5600.8016         -4.0974         3.3786        -1.2005
          5603.8095         -3.0703         3.0697        -1.7488
          5606.8175         -4.8672         3.9664        -0.7738
          5609.8254         -4.0160         2.9332        -2.6214
          5612.8334         -3.9039         4.5668        -2.4657
          5615.8413         -4.6471         1.9772        -1.4112
          5618.8493         -3.7493         3.2098        -2.3303
          5621.8572         -2.5976         5.0498        -0.9303
          5624.8652         -3.3297         2.6952        -1.2924
          5627.8731         -4.2069         5.4378        -0.7628
          5630.8811         -3.1185         3.0904        -1.4011
          5633.8890         -3.2856         3.2436        -1.7012
          5636.8970         -3.8135         4.0671        -1.3222
          5639.9049         -3.9911         3.6765        -1.7706
          5642.9129         -4.2517         3.5204        -1.9214
          5645.9208         -3.8368         4.7693        -1.1708
          5648.9288         -4.6902         4.5578        -0.5022
          5651.9367         -3.7379         3.3370        -2.3306
          5654.9447         -4.9477         3.6305        -1.0781
          5657.9526         -4.3655         4.0577        -3.6440
          5660.9606         -3.5773         3.1524        -0.9178
          5663.9685         -2.5140         3.5673        -1.4774
          5666.9765         -3.7605         4.8231         1.1873
          5669.9844         -2.6008         3.6565         0.0533
          5672.9924         -4.6300         4.0915         0.4630
          5676.0003         -3.2689         1.8001        -0.0529
          5679.0083         -3.6404         3.9548        -1.3693
          5682.0162         -2.7069         3.6121         0.6626
          5685.0242         -3.4918         3.8591        -0.0998
          5688.0321         -3.6519         4.3355        -1.7537
          5691.0401         -3.1688         2.8381        -2.1767
          5694.0480         -2.0694         3.2992        -0.5463
          5697.0560         -4.0395         3.1524        -0.3698
          5700.0639         -3.8512         3.6512        -1.1973
          5703.0719         -3.4568         3.5412         0.1789
          5706.0798         -2.9358         4.0766         0.5212
          5709.0878         -4.0822         3.5713         0.5701
          5712.0957         -3.5728         3.5298         0.5052
          5715.1037         -2.8039         2.8080        -0.0931
          5718.1116         -4.4150         3.9942         0.5742
          5721.1196         -4.8242         3.8260         1.0365
          5724.1275         -4.0087         3.6333         0.6679
          5727.1355         -2.6153         3.2494         0.8532
          5730.1434         -4.4098         2.6067         1.5619
          5733.1514         -3.3927         3.2143         1.1112
          5736.1593         -3.8638         3.4854         1.2558
          5739.1673         -2.0420         2.9208         0.9747
          5742.1752         -3.9459         3.5160         1.2739
          5745.1832         -3.1919         3.6427         0.7836
          5748.1911         -3.6592         4.6136         1.3866
          5751.1991         -4.1196         3.9647         0.3853
          5754.2070         -1.9809         3.1657         0.7226
          5757.2150         -3.0817         3.8278         1.0594
          5760.2229         -3.1369         2.5667         1.7551
          5763.2309         -2.6014         3.7543         2.8066
          5766.2388         -2.7169         2.6272         2.2688
          5769.2467         -2.6049         2.6454         2.4497
          5772.2547         -3.1525         4.3749         3.3987
          5775.2626         -1.7804         2.0876         2.6921
          5778.2706         -2.8521         3.7413         0.2440
          5781.2785         -3.0155         5.3410         0.6861
          5784.2865         -2.2735         3.2898         1.6982
          5787.2944         -2.8091         4.0112         2.4218
          5790.3024         -1.8993         2.8156         3.7129
