Time                      Vx(km/s)         Vy(km/s)       Vz(km/s)       Density(cm^-3)Temp(eV)
          285.75513       -252.8079       118.4048       -29.4710         9.0856       101.0852
          288.76308       -253.6515       116.0951       -31.4961         9.2287        98.1964
          291.77103       -253.1213       115.5901       -33.3726         9.4070        93.0754
          294.77897       -252.4432       116.0574       -34.6521         9.5102        94.2661
          297.78694       -252.5298       116.0294       -35.0231         9.2811        98.0804
          300.79489       -254.7931       116.4298       -36.4339         9.0706        98.2764
          303.80283       -255.6383       116.4893       -37.4036         9.1521        94.2108
          306.81078       -255.5048       115.6680       -37.5701         8.9856        94.7032
          309.81873       -256.0135       116.0585       -36.8390         8.7887        98.4459
          312.82667       -256.0467       116.2137       -35.0725         9.0605        99.1314
          315.83462       -258.4984       113.4030       -34.3620         9.1265        98.4929
          318.84257       -257.9925       118.0102       -34.2541         9.1629        99.9060
          321.85052       -257.2010       121.9284       -32.6675         9.4259       100.2068
          324.85846       -257.5896       121.0929       -32.8322         9.7865        96.2574
          327.86641       -258.1368       121.3861       -32.7425         9.5560        96.1550
          330.87436       -256.2198       123.8636       -33.9918         9.4287       100.2484
          333.88232       -253.6817       125.7083       -37.3369         9.1636       103.4843
          336.89027       -255.3956       123.2182       -35.3513         9.1510       104.5921
          339.89822       -255.5358       119.0889       -33.3159         9.4081       101.2213
          342.90616       -253.8045       118.1253       -33.7057         9.3311        99.7610
          345.91411       -254.1985       118.6546       -36.4699         9.3413        98.5202
          348.92206       -256.2065       116.7889       -35.1589         9.3465        98.4096
          351.93001       -256.2451       117.5728       -34.7151         9.3616        98.2007
          354.93795       -258.9026       120.5643       -30.4615         9.4584       101.4603
          357.94590       -261.0146       118.4657       -30.5705         9.4847       100.6618
          360.95385       -260.5364       117.5244       -34.0721         9.4483        98.5517
          363.96180       -263.1285       117.7118       -35.4080         9.5707        97.4419
          366.96974       -264.2176       120.1448       -34.7195         9.5312       101.4694
          369.97771       -258.5595       119.0841       -32.8890         9.4731       100.8029
          372.98566       -256.5016       120.6416       -29.2961         9.5263        99.0306
          375.99360       -261.7805       120.3096       -29.5431         9.3105        98.4855
          379.00155       -263.5747       120.9517       -31.4097         9.3060        98.9393
          382.00950       -261.7203       124.0284       -32.5093         9.3507       102.0557
          385.01744       -257.8262       124.9859       -31.5098         9.6976       100.9388
          388.02539       -251.7131       122.9037       -28.8730         9.9540       101.4554
          391.03334       -252.1538       120.2473       -25.5179         9.8781       102.5948
