Time                      Vx(km/s)         Vy(km/s)       Vz(km/s)       Density(cm^-3)Temp(eV)
          2063.4529       -273.4693       120.8227       -30.8089         9.3923       104.1178
          2066.4609       -267.5279       119.6336       -30.9166         9.5903       103.7598
          2069.4688       -264.4630       114.6426       -29.2451         9.8875       100.1204
          2072.4767       -267.6438       114.5207       -29.7264         9.8068        99.3707
          2075.4847       -273.0320       119.3763       -30.0250         9.5564       101.9076
          2078.4926       -273.3919       121.8777       -26.8132         9.5347       103.3716
          2081.5006       -270.9116       121.5314       -25.3399         9.6784       102.3699
          2084.5085       -269.9142       116.7517       -27.6374         9.6935        99.7193
          2087.5165       -270.6198       117.9838       -27.5694         9.6585       101.9608
          2090.5244       -264.5581       119.4158       -21.9242         9.6672       105.0389
          2093.5324       -261.3340       113.0914       -17.6859         9.5022       104.2580
          2096.5403       -262.2995       118.3993       -23.4010         9.1612       104.5672
          2099.5483       -262.4088       121.2518       -22.9087         9.4235       107.4553
          2102.5562       -265.7063       124.9444       -22.5240         9.3717       110.2108
          2105.5642       -267.0149       126.0867       -21.1669         9.2913       107.4566
          2108.5721       -264.0495       119.0251       -19.1706         9.4916       103.2511
          2111.5801       -263.1458       116.3596       -17.0633        10.0313       102.3489
          2114.5880       -264.7361       116.8570       -19.6938         9.8827       101.8997
          2117.5960       -261.3824       120.8274       -19.1984         9.7861       105.8774
          2120.6039       -258.6642       122.3596       -18.5441         9.6225       109.2654
          2123.6119       -258.0274       120.0305       -17.2132         9.5812       107.5567
          2126.6198       -259.4014       116.2455       -15.0499         9.6728       103.7425
          2129.6278       -264.1559       114.2977       -18.6306         9.8666       100.8920
          2132.6357       -270.7824       113.9935       -20.3845         9.9900       106.2469
          2135.6437       -271.8325       118.5475       -20.2118         9.9641       109.4868
          2138.6516       -263.3090       123.1872       -20.7975         9.7921       105.9545
          2141.6596       -260.6921       120.8735       -20.2600         9.7480       104.9672
          2144.6675       -259.0607       120.5862       -19.9018        10.1684       102.5463
          2147.6755       -252.9028       117.3288       -17.6216        10.1282       102.1369
          2150.6834       -254.6955       115.1161       -16.2719         9.9190       103.0747
          2153.6914       -261.5628       114.7286       -16.7230         9.9071       102.3166
          2156.6993       -266.2459       118.1649       -17.9935        10.1631       102.5455
          2159.7073       -265.0997       123.6539       -20.0536        10.0827       105.3915
          2162.7152       -258.7789       125.6747       -18.6635         9.9383       105.8584
          2165.7232       -253.4575       118.7915       -15.4413        10.1575       103.1885
          2168.7311       -252.1710       112.5745       -16.2312        10.2660       103.6717
          2171.7391       -254.9528       117.9504       -18.4173        10.0824       108.1498
          2174.7470       -262.8665       121.5353       -20.4169        10.0047       107.1326
          2177.7550       -263.2025       123.6218       -18.6352         9.9855       105.8620
          2180.7629       -262.5978       122.4152       -19.3053         9.8872       107.4301
          2183.7709       -258.3474       118.8066       -17.2281        10.1572       108.1579
          2186.7788       -252.6701       113.0161       -13.5887        10.2513       107.0720
          2189.7868       -256.9990       112.5618       -15.1809         9.8785       106.0101
          2192.7947       -262.3762       113.3064       -18.2524         9.7543       106.1092
          2195.8026       -258.8831       115.2137       -15.2844        10.1463       104.7283
          2198.8106       -251.6633       118.1549       -14.6199        10.2674       100.5916
          2201.8185       -251.7483       116.1480       -16.4716         9.6847       102.1024
          2204.8265       -255.9709       114.4183       -16.3510         9.5598       107.0401
          2207.8344       -253.6058       117.2486       -17.0538         9.8515       108.0202
          2210.8424       -247.8735       116.1024       -15.1750         9.6599       105.4560
          2213.8503       -250.7827       110.9517       -14.0122         9.2594       104.1998
          2216.8583       -260.4286       115.5459       -18.6110         9.4881       104.6461
          2219.8662       -260.4847       119.6506       -18.0018         9.7347       102.7149
          2222.8742       -256.6909       117.4323       -14.0693         9.9319       100.8678
          2225.8821       -257.3182       118.9527       -14.9612        10.2404       103.5099
          2228.8901       -256.4057       114.2127       -13.5274        10.1988       107.3531
          2231.8980       -254.5715       118.7630       -14.1328        10.0932       107.3540
          2234.9060       -251.8409       119.7385       -16.3064         9.7249       101.2189
          2237.9139       -253.2625       111.7497       -13.6753         9.6473        98.3291
          2240.9219       -259.6966       111.8422       -14.0215         9.8816       101.9354
          2243.9298       -262.3291       116.4732       -15.4903        10.1579       108.7006
          2246.9378       -254.1782       123.4751       -15.5089        10.0677       110.0578
          2249.9457       -251.4525       123.9969       -13.3549         9.9935       106.4869
          2252.9537       -258.1862       118.0926       -11.1408        10.2506       102.4673
          2255.9616       -262.4168       117.6071       -16.4722        10.0824       100.5717
          2258.9696       -258.8657       119.8774       -17.0055        10.0858       101.6873
          2261.9775       -253.2091       121.6203       -14.4932        10.0782       104.5340
          2264.9855       -256.4723       118.9428       -15.4463         9.6788       104.4169
          2267.9934       -255.7786       118.9503       -14.8069         9.8095       105.1445
          2271.0014       -256.1736       118.5734       -11.4491        10.2089       107.3680
          2274.0093       -259.0098       120.3274       -14.7714        10.1086       108.8912
          2277.0173       -264.3328       120.0559       -19.9024         9.7655       109.3166
          2280.0252       -262.1354       123.5360       -19.3307         9.6074       104.8831
          2283.0332       -250.8138       126.1328       -16.8282         9.7176       100.3342
          2286.0411       -250.1411       121.8427       -14.4259        10.0512       102.9685
          2289.0491       -255.1219       119.8309       -14.7041        10.0712       107.6948
          2292.0570       -259.5256       116.0667       -16.6115         9.9047       106.6843
          2295.0650       -261.9622       118.5711       -19.6292         9.9207       105.2034
          2298.0729       -259.1405       118.8593       -17.5606        10.3230       104.9056
          2301.0809       -256.5350       113.7311       -15.5702         9.9243       105.9326
          2304.0888       -255.8779       112.4921       -12.7774         9.8816       106.8003
          2307.0968       -253.9509       114.9901       -12.0341        10.1883       107.2597
          2310.1047       -251.9174       120.2070       -12.9039        10.2964       105.5401
          2313.1127       -255.0100       120.3806       -15.0763        10.2401       100.9583
          2316.1206       -258.9466       119.1920       -16.9314        10.1537        99.9543
          2319.1286       -263.0004       120.2825       -17.9938        10.1372       100.5097
          2322.1365       -263.6379       122.1147       -16.1529        10.2960       102.9602
          2325.1445       -263.3254       118.1264       -15.3320        10.3268       102.0264
          2328.1524       -263.5466       112.9738       -16.7616        10.1138        99.9163
          2331.1604       -263.1507       116.1699       -18.9559         9.7907       100.3895
          2334.1683       -259.8105       119.9466       -18.2400         9.8414       105.3111
          2337.1762       -255.6580       117.0479       -14.1235         9.9183       107.2158
          2340.1842       -257.3427       112.6447       -11.8538        10.0603       107.5419
          2343.1921       -257.1647       117.5089       -14.3863        10.1541       110.0289
          2346.2001       -255.0167       122.3457       -13.8719         9.9491       112.6139
          2349.2080       -257.8401       120.6257       -12.8714         9.9995       111.4627
          2352.2160       -261.8225       123.6903       -15.1829         9.9907       110.8807
          2355.2239       -260.5736       123.6234       -16.0127         9.7400       110.5992
          2358.2319       -259.8029       117.4290       -15.1746         9.7644       108.8720
          2361.2398       -258.7394       117.7529       -16.5261         9.8575       106.3255
          2364.2478       -256.4814       121.3949       -18.8940         9.6637       102.9046
          2367.2557       -257.0956       124.8808       -18.3559         9.8546       103.2517
          2370.2637       -256.9319       122.8671       -14.0521        10.5097       105.2243
          2373.2716       -254.1733       116.3412       -13.0112        10.7402       104.4995
          2376.2796       -256.9857       113.2055       -13.8421        10.6647        98.7632
          2379.2875       -264.4914       114.6558       -18.4755        10.3989        97.0593
          2382.2955       -267.9305       121.0638       -19.3926        10.0932       100.0808
          2385.3034       -262.2365       127.1647       -20.3363         9.6742       101.9402
          2388.3114       -255.2862       126.6927       -19.8290         9.4588       103.0685
          2391.3193       -254.7907       122.3148       -14.6755         9.7123       103.7289
          2394.3273       -258.4526       123.5627       -12.5947        10.2187       106.5058
          2397.3352       -257.7835       127.1646       -14.5899        10.3628       105.5347
          2400.3432       -256.5303       124.9523       -15.9323        10.1289       101.9471
          2403.3511       -257.9734       120.1729       -14.7460         9.8368        99.0196
          2406.3591       -258.4076       120.8259       -14.1310         9.9225       100.5804
          2409.3670       -260.6110       124.0015       -14.8495        10.1428       104.4893
          2412.3750       -261.4535       125.9301       -15.7592        10.2142       104.7022
          2415.3829       -256.9377       122.7553       -17.1908        10.2352       100.3283
          2418.3909       -255.7583       118.2237       -18.2240        10.1838        97.3162
          2421.3988       -260.3606       119.2045       -18.4492        10.2701        99.2644
          2424.4068       -261.4900       122.1803       -18.7580        10.2156       105.7222
          2427.4147       -257.5149       123.0421       -19.8876         9.8680       109.4020
          2430.4227       -256.0857       117.7500       -19.9984         9.8054       104.9529
          2433.4306       -262.3778       113.3626       -20.3671         9.8932       104.8903
          2436.4386       -265.6519       115.1607       -19.0268         9.7249       110.3567
          2439.4465       -266.3440       117.3353       -16.1137         9.4140       107.6528
          2442.4545       -263.9528       122.8567       -17.3156         9.3350       103.1138
          2445.4624       -258.1700       123.6819       -15.9517         9.9061       102.7402
          2448.4704       -256.3798       117.3404       -15.4265        10.2813       105.5399
          2451.4783       -256.3820       115.3064       -15.3557        10.2142       108.5447
          2454.4863       -261.4125       113.8551       -15.1091        10.1439       108.3754
          2457.4942       -266.3227       115.3378       -18.6673         9.8323       104.5598
          2460.5021       -268.0865       121.9546       -22.0656         9.7746        99.5489
          2463.5101       -265.5727       124.7801       -20.2726         9.8222        99.6875
          2466.5181       -260.1827       126.1188       -19.3938         9.6578       104.6666
          2469.5260       -258.8252       128.6002       -16.9013         9.8407       111.5284
          2472.5340       -257.8561       126.1759       -14.3877        10.1121       111.1958
          2475.5419       -254.6730       121.5977       -15.2341        10.2040       109.9247
          2478.5499       -258.5599       117.2608       -16.9615        10.3415       105.8430
          2481.5578       -263.9506       115.6208       -21.0739        10.1758       104.9791
          2484.5657       -263.5529       117.2055       -27.2610         9.7445       105.5529
          2487.5737       -263.0414       115.4593       -25.7876        10.0341       104.0600
          2490.5816       -262.7367       113.5631       -22.0631        10.4440       100.2386
          2493.5896       -263.4241       114.3701       -24.0649        10.5055        97.1625
          2496.5975       -262.0067       118.8582       -24.2533        10.5562        97.0398
          2499.6055       -256.3291       118.6210       -20.5223        10.6129        99.3002
          2502.6134       -254.6179       110.9830       -19.4450        10.6734       100.7857
          2505.6214       -258.2873       109.9121       -21.4984        10.7003       100.2215
          2508.6293       -260.8308       111.6457       -21.9174        10.5817        99.2164
          2511.6373       -264.7418       111.7558       -23.8462        10.3342        97.1729
          2514.6452       -272.9417       115.2844       -25.5256         9.8417        98.1024
          2517.6532       -281.6830       123.4975       -23.0509        10.0344       101.5565
          2520.6611       -275.8579       130.1126       -20.2807        10.6108       101.5658
          2523.6691       -264.0825       128.9644       -18.3629        10.8692       103.2636
          2526.6770       -257.6085       124.8692       -17.9710        10.6381       103.5273
          2529.6850       -258.7493       119.3008       -17.8099        10.7755       100.2470
          2532.6929       -262.9130       120.4530       -16.5835        10.7720        98.4749
          2535.7009       -266.3500       121.8501       -18.2197        10.5971       103.8756
          2538.7088       -263.5147       119.1164       -19.6173        10.6486       104.8136
          2541.7168       -259.3414       117.0148       -22.2843        10.6129       101.5995
          2544.7247       -263.8521       114.7250       -23.8677        10.5111       100.0172
          2547.7327       -264.8821       119.3008       -20.7411        10.5555       101.5923
          2550.7406       -266.4296       124.0178       -19.7425        10.6545       105.2508
          2553.7486       -263.7482       123.0746       -20.4350        10.5254       105.5293
          2556.7565       -260.6729       119.7686       -20.1598        10.6027       104.2928
          2559.7645       -264.3236       122.5189       -22.5524        10.6681       105.0096
          2562.7724       -264.0692       122.6726       -23.3441        10.7968        98.2239
          2565.7804       -263.6486       118.3629       -22.7036        10.7860        96.9677
          2568.7883       -261.2295       121.1049       -24.2567        10.7007        97.1995
          2571.7963       -254.1629       125.5718       -24.7314        10.5863        97.8458
          2574.8042       -253.4197       123.0362       -23.1062        10.6241       101.3839
          2577.8122       -259.2327       117.4801       -23.5162        10.5097       101.1655
          2580.8201       -262.5800       115.2770       -25.9824        10.6489        96.1006
          2583.8281       -264.1963       113.9036       -28.2355        10.7087        94.2570
          2586.8360       -268.2195       112.2618       -26.1179        10.8178        97.3914
          2589.8440       -273.9673       111.9396       -25.6362        10.6737       101.8280
          2592.8519       -272.1453       114.6551       -28.3950        10.4716       102.0017
          2595.8599       -269.4021       117.9381       -25.8212        10.1324        99.6269
          2598.8678       -268.2982       117.9788       -24.4242        10.3160        97.9499
          2601.8758       -264.7366       118.6619       -22.5808        10.3835       100.2328
          2604.8837       -261.6157       120.1778       -21.2077        10.3366       105.2111
          2607.8916       -258.9124       119.4372       -21.1292        10.6926       105.6299
          2610.8996       -255.3276       114.0623       -20.2912        10.9507       100.3652
          2613.9075       -256.4759       109.9138       -20.6334        10.4716       101.5569
          2616.9155       -265.1872       110.3541       -22.0424        10.2946       103.7542
          2619.9234       -268.4732       112.1002       -24.8910        10.3188        98.9254
          2622.9314       -265.2303       116.6406       -24.4165        10.1865        99.3597
          2625.9393       -261.3934       122.0136       -21.7506        10.7300        99.7798
          2628.9473       -256.6246       123.4603       -21.0545        10.7912        99.2192
          2631.9552       -256.0744       115.5241       -22.9012        10.6853        95.2197
          2634.9632       -257.9192       116.0032       -25.3782        10.2111        98.0094
          2637.9711       -260.2371       117.4090       -26.0744         9.9939       104.4536
          2640.9791       -261.3596       117.3622       -25.6303        10.2450       104.0944
          2643.9870       -258.6341       119.7713       -24.5698        10.4177       100.0939
          2646.9950       -257.2209       116.7169       -25.1316        10.8258        97.7296
          2650.0029       -258.3357       111.7104       -23.8189        10.8140        98.2381
          2653.0109       -262.5943       110.7486       -22.3537        10.2408       105.6654
          2656.0188       -268.4379       114.0071       -23.6261        10.1425       108.1935
          2659.0268       -265.9198       118.2035       -23.7232        10.1184       108.7672
          2662.0347       -261.0231       116.6721       -24.4339        10.0603       107.1763
          2665.0427       -259.5116       115.1825       -23.9577        10.4279       102.3647
          2668.0506       -259.6253       112.4640       -23.2200        10.3038        97.6726
          2671.0586       -263.0517       115.1747       -24.0027         9.8767       100.8500
          2674.0665       -261.4489       118.6175       -21.3490        10.0865       100.9367
          2677.0745       -257.7316       113.1324       -22.1578        10.1380        98.5661
          2680.0824       -259.6482       111.8373       -25.6815        10.1428        99.6798
          2683.0904       -263.2904       117.8401       -29.2887         9.9302       104.8200
          2686.0983       -260.3162       121.7213       -27.3139         9.7029       107.7435
          2689.1063       -256.6668       119.4429       -24.4969        10.0400       105.6893
          2692.1142       -259.8316       118.2918       -26.7437        10.1334       105.4768
          2695.1222       -260.0107       118.4077       -27.7532        10.0355       106.0074
          2698.1301       -255.2285       112.9311       -20.5178        10.1883       103.2981
          2701.1381       -258.9044       111.7299       -18.7804        10.1443       103.9645
          2704.1460       -260.4862       117.8860       -23.6676        10.0599       102.6822
          2707.1540       -257.8814       118.6999       -25.9322        10.2306       100.6354
          2710.1619       -256.7081       112.4978       -22.7473        10.1778       101.8834
          2713.1699       -256.5080       111.5198       -21.2318        10.2359       102.5859
          2716.1778       -255.1474       112.2645       -23.7884        10.1523       105.0656
          2719.1858       -254.2333       110.1901       -24.4002        10.4639       103.1055
          2722.1937       -260.8443       105.7031       -25.5583        10.4608       100.8649
          2725.2017       -268.0639       105.2405       -24.2780        10.4020       102.8533
          2728.2096       -273.7410       114.0535       -24.5592        10.5069       104.1170
          2731.2176       -274.9163       123.9349       -27.2508        10.1383       105.8646
          2734.2255       -270.4619       120.4718       -23.9048        10.2589       105.7683
          2737.2335       -262.6788       121.2755       -28.2409        10.3590       101.3417
          2740.2414       -259.7682       125.0239       -30.1805        10.1523        99.1635
          2743.2493       -265.7428       121.9251       -24.5897        10.2509        99.9040
          2746.2573       -266.1957       117.4924       -24.6034         9.9348       104.9195
          2749.2652       -264.6182       111.3850       -24.5277        10.0536       106.6073
          2752.2732       -270.5512       117.1304       -23.4011        10.6381       104.3787
          2755.2811       -267.0578       126.6329       -25.9520        10.4510        99.0210
          2758.2891       -259.6128       127.8870       -27.3496        10.0869       104.1511
          2761.2970       -258.2460       125.8506       -25.7374         9.9093       109.6252
          2764.3050       -257.0539       119.4750       -24.6100         9.7644       108.5824
          2767.3129       -257.7462       117.5055       -27.8818         9.9082       106.3456
          2770.3209       -263.0884       118.5113       -28.7495         9.8928       107.2396
          2773.3288       -267.9679       116.9551       -28.3561         9.8928       105.6106
          2776.3368       -269.3472       115.6157       -29.7759         9.9942       102.4427
          2779.3447       -270.4499       118.0389       -26.8463        10.1278       101.9287
          2782.3527       -274.6897       121.6938       -25.1690        10.1680       102.7468
          2785.3606       -278.1955       123.9838       -25.4220        10.1541       102.5486
          2788.3686       -276.3645       127.9416       -24.7308        10.0911       102.8538
          2791.3765       -271.1330       129.7000       -24.6190        10.2048       104.0243
          2794.3845       -266.5221       127.4409       -27.2558         9.9753       101.7702
          2797.3924       -262.5281       126.0510       -28.7138         9.8008        98.9446
          2800.4004       -261.9372       122.0471       -26.4560         9.8061       100.9775
          2803.4083       -267.7643       120.0396       -23.3635         9.8008       104.8923
          2806.4163       -274.4527       119.9115       -21.4458         9.7959       107.1568
          2809.4242       -274.9761       118.5494       -25.5845         9.7956       107.7869
          2812.4322       -269.6012       126.0792       -28.9320         9.6288       103.5981
          2815.4401       -263.5453       129.8034       -26.9457         9.3056       100.7588
          2818.4481       -264.8243       127.8006       -24.8356         9.4780       102.3952
          2821.4560       -264.4758       128.9529       -24.2936         9.5672       101.2701
          2824.4640       -267.1241       125.1875       -23.1564         9.5490       101.5428
          2827.4719       -268.7405       122.0929       -20.7265        10.1516        98.1134
          2830.4799       -268.9000       128.9213       -20.5613        10.2418        97.8979
          2833.4878       -269.7878       129.7744       -20.5517         9.9736       100.3113
          2836.4958       -268.9101       129.3773       -19.8150        10.2649        99.0944
          2839.5037       -272.1127       128.4347       -20.2903        10.1904        98.5599
          2842.5117       -272.9272       131.8211       -22.4506         9.7354       100.9892
          2845.5196       -275.7814       132.7486       -23.9196         9.7585       103.8665
          2848.5276       -278.1817       130.4893       -22.8395        10.2086       105.0207
          2851.5355       -268.4309       131.8015       -21.1669        10.3576       104.2268
          2854.5435       -260.4499       129.4457       -19.2579        10.2051       102.0264
          2857.5514       -259.9473       128.3224       -18.2830        10.0002        99.3795
          2860.5594       -257.8649       126.1201       -15.2504        10.0708       101.1643
          2863.5673       -262.2938       122.5359       -13.8832        10.2652       105.1022
          2866.5753       -269.0085       121.1213       -15.0136        10.2761       105.8233
          2869.5832       -271.6799       121.7377       -15.8514        10.1485       103.9552
          2872.5912       -272.6533       125.8726       -17.9420        10.0107       103.1245
          2875.5991       -270.4678       131.6138       -17.7126        10.1921       103.2227
          2878.6071       -269.5930       129.3370       -15.9231        10.6482       103.7426
          2881.6150       -267.8260       131.5260       -15.5358        10.6286       106.1229
          2884.6230       -254.9709       130.5683       -15.3714        10.3331       103.2918
          2887.6309       -249.7625       123.2108       -15.1048         9.8281        99.1700
          2890.6389       -253.4082       119.1483       -17.7663         9.8543        97.3543
          2893.6468       -253.7817       120.9699       -17.7329        10.4037       101.2521
          2896.6548       -257.8498       121.9642       -18.1216        10.1950       104.8744
          2899.6627       -261.8583       120.2638       -20.5076         9.9442       103.4349
          2902.6707       -256.0515       116.2367       -19.5682         9.7253       101.2488
          2905.6786       -254.0278       114.4143       -19.2744         9.4997       105.5826
          2908.6865       -260.0189       115.9382       -20.0489         9.4438       113.8767
          2911.6945       -260.1230       116.5121       -22.4261         9.3518       113.3028
          2914.7024       -258.7638       114.6082       -22.7031         9.3766       107.2037
          2917.7104       -261.9406       115.1060       -23.5125         9.2916       108.4656
          2920.7183       -258.9344       122.7004       -22.6269         9.1717       113.6405
          2923.7263       -254.3259       120.0275       -14.3929         9.7781       107.4899
          2926.7342       -256.8595       108.0767       -11.2054        10.0072        99.6730
          2929.7422       -263.5679       110.2498       -18.8247         9.6522       102.1965
          2932.7501       -264.2705       119.8757       -20.3901         9.5169       102.3560
          2935.7581       -258.6205       116.0371       -19.1268         9.1014        98.5821
          2938.7660       -259.4151       111.6262       -16.7648         8.8478        99.7454
          2941.7740       -269.4719       117.3943       -19.6971         8.7978        98.8042
          2944.7819       -269.3712       124.8670       -18.9471         9.4374       100.4900
          2947.7899       -263.7156       124.0005       -12.7331         9.8200       105.7493
          2950.7978       -263.6885       119.3224        -8.1891        10.2593       104.1266
          2953.8058       -265.0511       116.9913       -11.6348        10.4447       103.5182
          2956.8137       -262.7252       117.4889       -19.1184         9.9568       105.1490
          2959.8217       -264.3392       116.9361       -22.0617         9.6508       106.4899
          2962.8296       -270.3789       117.9028       -17.6076        10.1275       107.2399
          2965.8376       -275.3742       122.1163       -12.9460        10.0418       109.4131
          2968.8455       -278.6352       128.1431       -11.4951         9.8620       109.8807
          2971.8535       -276.8837       128.1501       -11.4487         9.7204       112.0966
          2974.8614       -275.7648       131.3316        -6.3173         9.7123       106.6288
          2977.8694       -272.9751       136.0514        -4.5045        10.2492        98.4346
          2980.8773       -270.5661       128.1570        -9.8424        10.1352       100.6158
          2983.8853       -272.2605       125.9392       -16.4289         9.7235       103.5853
          2986.8932       -268.5100       123.8853       -24.9151         9.7305       101.6946
          2989.9012       -260.8646       117.4249       -28.3107         9.8291       101.7685
          2992.9091       -258.2734       113.6205       -26.2222        10.2408       100.4375
          2995.9171       -260.3176       117.2194       -23.6730         9.9194       105.1060
          2998.9250       -259.0829       121.7037       -23.9817         9.7190       108.6001
          3001.9330       -262.3257       120.3266       -22.0111         9.7753       105.4689
          3004.9409       -266.8705       115.2960       -19.6917         9.7704       105.3039
          3007.9489       -268.4159       113.7505       -14.7905         9.3644       110.0897
          3010.9568       -267.9246       123.3840       -15.1772         8.9268       107.3194
          3013.9648       -270.6837       131.9311       -15.9603         9.3094       101.4574
          3016.9727       -277.3896       134.5484       -15.2283         9.5560       103.3906
          3019.9807       -279.4019       140.3385       -14.1194         9.3070       106.5714
          3022.9886       -279.3396       138.3703       -12.7469         9.1007       107.6667
          3025.9966       -279.1068       138.4872       -12.1422         9.3864       108.5269
          3029.0045       -279.3170       140.5601       -13.7758         9.4242       110.9362
          3032.0125       -277.0669       140.9478       -15.6905         9.1273       110.2049
          3035.0204       -275.5731       137.0535       -15.1595         9.0807       112.9437
          3038.0284       -276.2610       134.6603       -16.5979         9.1675       113.1072
          3041.0363       -277.1020       133.1516       -18.1592         9.2087       113.4593
          3044.0443       -276.3810       131.5126       -15.0160         9.2388       111.4905
          3047.0522       -275.2009       134.4299       -10.5431         9.4326       105.3483
          3050.0602       -279.2164       132.5584       -12.5270         9.5560       104.9604
          3053.0681       -280.3433       131.3616       -15.1140         9.4287       105.2186
          3056.0761       -279.1900       131.8100       -14.7088         9.0318       106.3157
          3059.0840       -277.8087       131.2757       -15.2219         8.7988       106.1948
          3062.0920       -274.9629       133.2257       -17.1516         9.0961       104.3056
          3065.0999       -272.5627       128.5706       -17.8369         9.1066       104.5488
          3068.1079       -271.2403       126.5130       -22.4048         8.9237       101.7151
          3071.1158       -272.0700       129.9300       -22.5671         8.9768       104.3579
          3074.1238       -274.4611       131.5055       -19.8487         9.4382       104.1804
          3077.1317       -270.7183       130.6560       -19.2525         9.3931       101.6925
          3080.1397       -261.6064       130.0483       -18.9243         9.2546       106.7782
          3083.1476       -258.5929       126.0325       -19.8446         9.4270       106.6173
          3086.1556       -260.0986       126.3132       -21.5103         9.6581       101.6141
          3089.1635       -262.2103       129.6798       -22.6641         9.5106       100.8807
          3092.1715       -260.7322       129.1899       -23.8970         9.4479        97.6325
          3095.1794       -260.2825       129.6913       -24.0643         9.2619       101.1668
          3098.1874       -264.2841       134.4888       -21.3690         8.8608       107.1629
          3101.1953       -263.6800       132.5010       -20.4212         9.0094       109.2300
          3104.2033       -258.2013       135.2783       -20.1073         9.0045       112.2362
          3107.2112       -256.9463       137.4024       -18.6038         9.0447       112.8739
          3110.2192       -263.9074       136.2897       -16.0208         9.1220       112.6266
          3113.2271       -270.9063       132.4880       -15.7904         9.1975       112.6323
          3116.2351       -269.3787       132.1348       -16.4962         9.3923       112.7776
          3119.2430       -267.5512       137.7157       -16.1843         9.3063       114.0849
          3122.2510       -265.5132       134.6633       -18.4721         9.0916       110.3490
          3125.2589       -262.4215       128.2861       -20.2807         9.0398       109.7504
          3128.2669       -265.0167       123.5235       -18.5235         9.1014       107.9319
          3131.2748       -271.0304       121.6181       -16.6295         9.0304       105.9060
          3134.2828       -269.1986       121.9922       -20.6039         8.8517       103.8861
          3137.2907       -265.2160       123.0925       -24.0673         8.9772       103.7066
          3140.2987       -263.3425       131.5182       -21.8784         9.3413       106.4380
          3143.3066       -265.5669       133.5493       -19.7711         9.2857       109.7255
          3146.3146       -271.9087       130.1578       -19.1768         9.0258       109.7517
          3149.3225       -272.7768       128.3936       -19.8656         8.8457       109.5109
          3152.3305       -272.9183       127.7054       -20.3025         8.8213       109.5657
          3155.3384       -272.0404       132.0152       -19.5558         8.7891       112.6049
          3158.3464       -270.1864       135.2116       -20.6502         8.8419       113.1456
          3161.3543       -269.4788       129.4057       -19.8779         8.7838       112.3978
          3164.3622       -271.9856       127.2752       -17.3388         9.0195       110.5974
          3167.3702       -274.7343       128.5612       -19.8144         8.9489       108.3905
          3170.3781       -275.5639       131.9970       -22.8668         8.8356       106.1481
          3173.3861       -269.7670       136.8613       -22.0356         8.8059       110.4989
          3176.3940       -270.7561       133.4325       -21.3477         8.6572       113.2268
          3179.4020       -272.2806       128.7132       -19.4610         8.7940       108.8573
          3182.4099       -270.3064       128.2602       -20.5981         8.8930       103.3414
          3185.4179       -266.9048       128.3792       -20.7713         8.7030       103.7650
          3188.4258       -264.2327       125.3447       -20.2853         8.7996       107.2728
          3191.4338       -264.3920       116.3667       -19.8978         9.0241       104.6193
          3194.4417       -267.4824       118.2641       -20.6525         9.0258       106.3100
          3197.4497       -272.7114       131.1810       -19.6280         9.1094       111.1275
          3200.4576       -274.7003       136.4163       -18.3731         9.4039       110.7039
          3203.4656       -273.3182       129.4701       -22.0675         9.2182       106.3975
          3206.4735       -269.3299       122.0591       -24.2297         9.3972       101.2176
          3209.4815       -268.3172       117.1642       -24.9629         9.4588       101.0291
          3212.4894       -270.3537       115.6721       -24.5051         9.2864       103.5583
          3215.4974       -271.3037       114.0608       -24.7246         9.1059       107.1694
          3218.5053       -272.9191       113.8190       -22.3329         9.3000       108.5386
          3221.5133       -275.2295       114.7620       -20.2299         9.4686       108.2678
          3224.5212       -272.1945       114.0774       -21.5795         9.6015       107.3700
          3227.5292       -269.1888       115.8269       -22.9059         9.6529       106.9927
          3230.5371       -272.8265       119.0516       -17.9314         9.5259       110.1539
          3233.5451       -283.4337       119.3230       -16.2257         9.2958       112.7941
          3236.5530       -287.8970       127.1209       -19.9830         9.1021       109.1688
          3239.5610       -278.5926       131.9751       -23.7233         8.9786       101.0716
          3242.5689       -274.8027       127.3998       -22.4145         9.0755       101.5202
          3245.5769       -274.4242       128.3571       -20.9876         9.0307       103.7247
          3248.5848       -275.4142       132.8606       -21.1768         8.8562       106.1224
          3251.5928       -278.5812       133.3801       -21.0209         8.8716       104.9834
          3254.6007       -278.4374       129.9515       -20.3359         8.9020       100.3301
          3257.6087       -273.3612       124.7427       -18.5457         9.0192       101.5316
          3260.6166       -270.5787       121.9503       -19.8512         9.2993       101.2323
          3263.6246       -270.2415       122.7992       -22.6395         9.4696       101.4608
          3266.6325       -270.4646       124.7124       -23.7901         9.2500       104.5971
          3269.6405       -268.1987       123.7388       -22.2030         9.0052       108.2506
          3272.6484       -268.1570       121.4490       -19.8182         8.8104       108.1775
          3275.6564       -269.8217       121.2752       -18.9350         8.8761       104.2408
          3278.6643       -268.4837       123.8457       -16.9067         9.1514       104.6647
          3281.6723       -270.1875       129.6351       -17.6569         9.2504       104.4457
          3284.6802       -277.1889       130.4784       -18.1996         9.1112       106.9356
          3287.6882       -279.7313       131.8243       -17.7638         9.3353       103.2269
          3290.6961       -281.5046       132.8218       -21.0101         9.5658        99.6380
          3293.7041       -278.4742       132.0589       -23.0930         9.4193       101.0299
