Time                         Bx(nT)         By(nT)         Bz(nT)         Btot(km/s)    Vx(km/s)        Vy(km/s)      Vz(km/s)       Vtot(km/s)      Density(cm^-3)Temp(K)
2007-06-08/07:05:33          9.1619        -0.5408        39.3969        40.4518      -117.7040       148.3145         2.0742       189.3560         5.2447        59.2170
2007-06-08/07:05:36          9.7247        -1.9425        39.1638        40.3998      -122.8217       148.5949         3.7707       192.8208         5.1397        60.3763
2007-06-08/07:05:39          8.8365        -0.3395        39.3474        40.3288      -116.4913       137.5188         2.6797       180.2466         5.2426        56.4542
2007-06-08/07:05:42          9.2624        -0.7443        39.2938        40.3776      -127.1686       149.2980         8.7598       196.3122         5.2785        58.3701
2007-06-08/07:05:45          9.2687        -0.9246        39.0413        40.1371      -124.9394       148.1981         8.1660       194.0083         5.0512        60.6531
2007-06-08/07:05:48          9.9664        -0.8646        38.9388        40.2034      -140.1736       152.5445        12.0162       207.5159         5.1686        64.2304
2007-06-08/07:05:51          9.4078        -0.2117        38.9892        40.1088      -146.8370       146.8569        17.6458       208.4213         5.1846        64.0707
2007-06-08/07:05:54          9.5991        -0.8281        39.0089        40.1812      -150.9682       142.4181        20.2344       208.5276         5.6250        61.6162
2007-06-08/07:05:57          9.1658        -1.0945        39.1064        40.1811      -149.2342       153.7486        23.1483       215.5118         5.7525        58.2874
2007-06-08/07:06:00          9.3534        -0.3000        39.0571        40.1626      -156.2717       152.6244        25.3401       219.9026         5.3312        59.9788
2007-06-08/07:06:03         10.4573        -0.3935        39.1134        40.4891      -151.6974       158.8706        27.0710       221.3251         5.5053        53.2683
2007-06-08/07:06:06         10.9871        -1.3719        39.4280        40.9532      -156.6822       168.0223        31.2702       231.8591         4.6512        60.3104
2007-06-08/07:06:09         10.1792        -0.1034        39.6585        40.9441      -135.9049       179.1898        21.7989       225.9521         4.9309        64.7543
2007-06-08/07:06:12         12.9785         0.9762        37.6342        39.8212      -121.5896       167.0617        22.8709       207.8863         4.1331        61.3579
2007-06-08/07:06:15          3.8778         6.9015        36.6653        37.5102      -143.7682       172.8971        28.1308       226.6143         7.7920        93.4748
2007-06-08/07:06:18          6.0289         8.0515        36.9720        38.3159      -108.0895       150.0021        12.6602       185.3220         5.6556       110.0724
2007-06-08/07:06:21          7.2040         2.1201        38.5156        39.2408      -125.3054       169.3575        20.3762       211.6568         7.5161        85.4067
2007-06-08/07:06:24          9.2351        -0.1096        39.3723        40.4410      -113.9943       187.0143        -8.8291       219.1962         6.5916        68.1123
2007-06-08/07:06:27         10.8634        -1.5700        39.7407        41.2287      -107.9225       186.5873        -1.5655       215.5564         4.8108        62.2481
2007-06-08/07:06:30         10.5343        -1.2762        40.1132        41.4930      -113.3450       166.4097         8.8222       201.5369         5.4356        58.3607
2007-06-08/07:06:33         11.0700        -0.6411        40.1324        41.6361      -112.4697       175.2408        10.3975       208.4871         5.0042        52.6809
2007-06-08/07:06:36         10.6249        -1.2169        39.8146        41.2259      -107.9329       173.7631         6.3070       204.6532         5.0254        54.8238
2007-06-08/07:06:39         10.8219        -1.0662        39.8990        41.3543       -95.3356       165.8010         0.1372       191.2560         5.3525        54.1634
2007-06-08/07:06:42         10.2530        -0.5211        40.2719        41.5598       -88.4722       160.2693        -1.5697       183.0739         6.0056        48.6592
2007-06-08/07:06:45         10.2019        -1.3689        39.8794        41.1864      -104.4893       164.6815         4.6331       195.0884         5.0321        54.3831
2007-06-08/07:06:48         10.2801        -0.9513        39.7955        41.1129      -106.3385       161.7628         1.2062       193.5885         5.3233        51.9657
2007-06-08/07:06:51         10.0704         0.2977        39.7474        41.0044       -95.4161       158.9825        -2.6920       185.4371         5.3930        52.6470
2007-06-08/07:06:54         10.4451         0.3682        39.3899        40.7529      -104.9054       170.5239        -1.9940       200.2187         4.9024        61.7270
2007-06-08/07:06:57         10.2319         0.3867        39.6757        40.9757      -105.1531       161.8145        -0.9574       192.9819         4.6540        62.0126
2007-06-08/07:07:00         10.0710         0.2109        39.9407        41.1914      -106.5274       160.4504         0.4596       192.5945         4.7884        57.0796
2007-06-08/07:07:03         10.3737        -0.3089        39.9949        41.3195      -104.3336       156.5402        -1.0620       188.1262         4.5929        56.3466
2007-06-08/07:07:06          9.9552        -1.1190        39.9627        41.1992       -99.8857       152.8397        -0.7499       182.5861         4.7162        53.9386
2007-06-08/07:07:09         10.9596        -1.2906        39.8438        41.3437      -105.8529       150.7418         2.9980       184.2198         4.8223        52.2015
2007-06-08/07:07:12          9.4615         0.1227        40.2633        41.3602      -102.4982       148.5902         1.6100       180.5201         4.9257        52.0699
2007-06-08/07:07:15          9.7375        -0.7297        40.0790        41.2514      -112.0874       145.1410         4.8491       183.4476         4.7449        51.6490
2007-06-08/07:07:18         10.0429        -0.4910        39.9426        41.1887      -110.3439       135.4273         5.2636       174.7685         4.7446        50.4151
2007-06-08/07:07:21          9.8857        -1.0443        39.8091        41.0314      -113.3638       148.7920         3.0439       187.0820         4.8924        51.7313
2007-06-08/07:07:24          9.8026         0.1372        39.7262        40.9179      -111.8898       148.4820         5.3918       185.9981         4.6088        52.9260
2007-06-08/07:07:27         10.7660        -0.7683        39.4723        40.9214      -111.6588       147.0731         2.8700       184.6792         4.6204        50.8292
2007-06-08/07:07:30         10.2440        -0.0508        39.6662        40.9676      -125.1988       159.3951        12.6358       203.0793         4.4000        56.8622
2007-06-08/07:07:33         10.4692        -0.5148        39.6609        41.0227      -115.0393       151.1712         6.6277       190.0808         4.5549        50.5499
2007-06-08/07:07:36         10.5447        -0.2929        39.4305        40.8172      -109.6556       153.9148         3.3633       189.0117         4.7076        50.8871
2007-06-08/07:07:39         11.1063        -0.9386        39.3456        40.8939      -118.1393       163.4511         6.2148       201.7717         4.5860        55.0765
2007-06-08/07:07:42         10.4521        -0.6371        39.4864        40.8512      -127.3853       172.8709        11.0668       215.0206         4.5549        56.3790
2007-06-08/07:07:45         11.2690        -0.4644        39.6135        41.1878      -120.8178       160.1175         8.6683       200.7728         4.3670        50.1543
2007-06-08/07:07:48         10.2490         0.2482        39.5837        40.8898      -117.0608       171.5915         5.3254       207.7865         4.2026        51.3676
2007-06-08/07:07:51         11.3289        -0.7361        39.7036        41.2949      -113.8381       175.6668         2.7175       209.3450         4.5051        51.9830
2007-06-08/07:07:54         10.9547        -0.7156        39.5661        41.0609      -111.4293       174.1437         1.4184       206.7475         4.0146        51.7146
2007-06-08/07:07:57         11.0758        -1.4525        39.5531        41.1003      -114.2951       175.6223         4.5698       209.5887         4.4538        50.2700
2007-06-08/07:08:00         11.4048        -2.3067        39.5183        41.1957      -111.3934       176.9899         4.4558       209.1740         4.3967        51.6241
2007-06-08/07:08:03         11.0524        -1.6776        39.6544        41.2000      -103.5724       177.8516         0.3470       205.8119         4.4760        50.9859
2007-06-08/07:08:06         10.8018        -1.1584        39.7607        41.2181       -98.9598       166.4509        -2.2380       193.6594         4.7219        47.4895
2007-06-08/07:08:09         11.1109        -2.0472        39.6716        41.2490       -96.7943       155.1907        -2.3726       182.9177         4.5638        44.7950
2007-06-08/07:08:12         11.1883        -2.1016        39.7313        41.3300      -102.7242       171.7495        -2.0845       200.1361         4.4743        49.9366
2007-06-08/07:08:15         10.8647        -2.7488        39.7289        41.2793       -94.7981       165.0019        -6.9864       190.4235         4.3376        48.0534
2007-06-08/07:08:18         11.3594        -3.7018        39.3939        41.1658      -101.6944       158.9591         2.2032       188.7183         4.4305        49.6336
2007-06-08/07:08:21         10.7119        -2.9192        39.3199        40.8573       -96.6307       146.2641         1.4790       175.3079         4.5726        48.3040
2007-06-08/07:08:24         10.7151        -3.3837        39.4169        40.9873      -105.1395       136.2427         1.5119       172.1008         4.4230        46.3741
2007-06-08/07:08:27         11.0863        -1.7981        39.6529        41.2127      -100.7276       154.7106         1.4790       184.6174         4.2679        50.6657
2007-06-08/07:08:30         10.1718        -2.0393        39.6171        40.9528       -95.2415       153.2937        -1.6357       180.4788         4.7833        48.8215
2007-06-08/07:08:33         10.2936        -2.5877        39.4840        40.8857       -93.0114       157.2652        -3.5234       182.7454         5.2645        44.6084
2007-06-08/07:08:36          9.5818        -1.9125        39.5956        40.7834       -95.7063       151.0206        -4.7389       178.8558         5.0010        45.6936
2007-06-08/07:08:39         10.1254        -1.5485        39.5435        40.8486       -97.8214       140.8841         0.2300       171.5150         4.9839        45.9907
2007-06-08/07:08:42          9.6421        -1.8086        39.4571        40.6584       -99.3905       139.0263        -2.2485       170.9147         4.5932        45.0298
2007-06-08/07:08:45          9.6907        -2.7657        39.3497        40.6197       -99.7359       153.6889        -3.3601       183.2452         5.0081        45.7885
2007-06-08/07:08:48          9.4560        -2.2221        39.2673        40.4509      -113.8823       130.9280         7.6949       173.6967         5.1773        43.6858
2007-06-08/07:08:51          8.4949        -0.3599        39.8003        40.6984      -123.4781       148.0275        15.4191       193.3824         5.1193        46.2185
2007-06-08/07:08:54          9.5705         1.1942        39.4758        40.6369      -135.1649       146.4707        19.7730       200.2852         4.2444        46.5807
2007-06-08/07:08:57          8.2218         3.1940        36.7371        37.7811      -166.6999       170.5301        38.1596       241.5068         4.6096        86.3666
2007-06-08/07:09:00          6.0108         5.3407        35.0543        35.9647      -136.2184       162.1271         4.3476       211.8007         7.3335       138.3493
2007-06-08/07:09:03          9.2927         7.4702        35.5681        37.5133      -100.1942       165.6734         2.7046       193.6333         6.1548       158.0121
2007-06-08/07:09:06         12.1626        -7.1502        37.9073        40.4477      -112.5231       136.7752        -7.4221       177.2681         6.2627       148.4680
2007-06-08/07:09:09         13.0984        -9.5434        36.2187        39.6792      -103.5010       122.7211        -1.7064       160.5485         4.0118        86.9765
2007-06-08/07:09:12         11.3892        -4.1609        35.4167        37.4349       -77.0798       104.3991         0.3316       129.7713         4.7208        95.9244
2007-06-08/07:09:15          7.3744         0.4943        34.9541        35.7270       -73.9239       128.2082        26.8639       150.4120         5.6202       132.3222
2007-06-08/07:09:18          6.6154         0.7302        33.2922        33.9510       -63.4279       111.3118         2.4999       128.1392         6.5329       154.5055
2007-06-08/07:09:21         10.9126         0.5855        34.1656        35.8708       -81.9026       107.6083       -15.3407       136.0990         6.6351       167.7300
2007-06-08/07:09:24         10.8229         1.3909        34.9609        36.6242       -75.4883       114.7431       -13.0238       137.9641         5.7997       158.2625
2007-06-08/07:09:27         10.3416         1.1336        34.8510        36.3707       -72.5075       121.0138       -12.5881       141.6338         6.0653       155.5012
2007-06-08/07:09:30         10.8827        -0.0232        34.5668        36.2395       -61.9630       114.5632       -18.8991       131.6105         5.4684       164.1636
2007-06-08/07:09:33          9.7160         0.6301        34.7213        36.0606       -65.5588       100.7572       -20.8294       121.9993         5.6473       168.9278
2007-06-08/07:09:36         11.1074         2.2360        33.3800        35.2505       -70.4808        91.5938         0.3271       115.5728         5.5185       173.8991
2007-06-08/07:09:39         12.2722         1.5730        32.6690        34.9335       -83.3877       102.5277        -8.4232       132.4250         6.0681       177.3295
2007-06-08/07:09:42         10.9571         6.7928        32.7455        35.1919       -84.6823        88.2989       -11.3564       122.8689         6.2738       188.8151
2007-06-08/07:09:45         10.0431        -2.2888        35.6521        37.1103       -96.7495       125.6401       -16.0490       159.3847         4.1074       207.3270
2007-06-08/07:09:48          9.5641         0.5413        39.2189        40.3719      -104.5655       132.4984        -0.0934       168.7892         4.1715        99.2704
2007-06-08/07:09:51          9.5406        -2.2664        37.5060        38.7667       -99.1583       153.5734        -3.3794       182.8349         3.4870       110.8759
2007-06-08/07:09:54         11.0461        -1.5284        34.7000        36.4478       -61.4013       113.8437        -5.2699       129.4538         4.8212       131.8290
2007-06-08/07:09:57         10.2163         0.6253        33.4710        35.0010       -28.4101        97.5431       -13.3801       102.4734         5.0722       186.0886
2007-06-08/07:10:00         12.6435        -0.9100        32.2723        34.6725       -42.7461        99.3176       -19.0560       109.7923         5.2916       207.5627
2007-06-08/07:10:03         12.1598        -0.6867        32.9234        35.1038       -52.9846        95.5495        -4.7528       109.3603         4.5006       218.9888
2007-06-08/07:10:06         14.5306        -5.2409        32.2501        35.7586       -72.7479        79.1964         4.3477       107.6254         5.2876       195.9848
2007-06-08/07:10:09         10.8380       -13.8271        32.4806        36.9275       -78.4153       120.8839         5.4444       144.1927         4.9396       178.3923
2007-06-08/07:10:12          9.2258        -2.8836        37.9788        39.1895       -96.5373       135.5346         0.4286       166.4009         4.3037       155.6780
2007-06-08/07:10:15         11.9356        -0.4876        39.5021        41.2688       -76.1630       197.4081        13.1965       212.0022         3.8820        83.3938
2007-06-08/07:10:18         11.6501        -0.1220        39.6453        41.3218       -74.7181       212.8345        -3.1227       225.5905         3.8872        55.6300
2007-06-08/07:10:21         12.4894        -2.1811        39.6937        41.6693       -84.5889       193.4439        -2.9569       211.1506         3.6993        52.2490
2007-06-08/07:10:24         11.5379        -3.1504        39.4776        41.2495       -81.4296       180.4713         0.8617       197.9935         3.7768        45.9417
2007-06-08/07:10:27         11.1391        -2.3178        39.5624        41.1660       -79.9109       162.1011        -3.8875       180.7696         3.9268        43.1511
2007-06-08/07:10:30         10.7906        -2.5371        39.4326        40.9610       -86.1735       155.3761        -2.5611       177.6912         4.0236        44.0361
2007-06-08/07:10:33         10.8621        -2.3217        39.2490        40.7905       -92.4475       150.7285        -1.0357       176.8240         4.3130        39.4416
2007-06-08/07:10:36         10.3613        -2.7959        39.4839        40.9164       -99.6435       145.0262         1.7316       175.9671         4.2137        41.5899
2007-06-08/07:10:39         10.2772        -3.2243        39.3497        40.7973      -104.2520       145.4476         5.7084       179.0421         4.4024        41.6734
2007-06-08/07:10:42         10.3687        -1.8362        39.4139        40.7963      -113.3720       147.5545         8.9094       186.2926         4.1886        42.7821
2007-06-08/07:10:45          9.7850        -1.0339        39.6480        40.8507      -107.8184       143.7877         9.1670       179.9549         4.4508        40.1564
2007-06-08/07:10:48         10.7084        -1.6311        39.3599        40.8232      -112.9959       144.8978         8.3581       183.9383         4.4694        40.8665
2007-06-08/07:10:51         11.4002        -1.8685        39.0621        40.7346      -113.7372       144.2900         8.0118       183.9019         4.3133        41.1804
2007-06-08/07:10:54         11.1376        -1.6551        39.0430        40.6343      -115.9629       148.7309        10.8836       188.9093         4.4202        41.9270
2007-06-08/07:10:57         11.0006        -1.7942        39.0257        40.5862      -118.6438       143.8630        11.8675       186.8522         4.2321        40.8730
2007-06-08/07:11:00         11.4863        -2.4734        39.0643        40.7931      -115.2032       147.6854        11.0234       187.6280         4.2239        41.2774
2007-06-08/07:11:03         10.9679        -2.1292        39.1489        40.7120      -124.2832       154.4407        17.4926       199.0081         4.4815        40.1838
2007-06-08/07:11:06         11.6806        -3.0839        39.0510        40.8770      -120.1704       154.2775         9.8783       195.8061         4.1788        41.9098
2007-06-08/07:11:09         11.7431        -3.4487        39.0218        40.8961      -119.0791       155.5562        12.3149       196.2886         3.9830        44.3860
2007-06-08/07:11:12         11.5679        -3.5593        38.9688        40.8050      -113.8001       144.6861         9.8141       184.3389         4.3016        41.4036
2007-06-08/07:11:15         11.9367        -4.2475        39.1292        41.1293      -103.2090       140.7409         0.2268       174.5283         3.5525        41.5998
2007-06-08/07:11:19         13.8178        -5.2089        37.7422        40.5282      -109.0806       144.8343         9.5017       181.5650         3.9731        54.0317
2007-06-08/07:11:22         12.9396        -5.2033        37.4520        39.9645       -86.3271       127.0983       -14.0429       154.2840         3.3851        86.3397
2007-06-08/07:11:25         11.5845        -2.7752        38.6115        40.4073      -117.9552       114.7015         0.4815       164.5299         3.8397        83.2011
2007-06-08/07:11:28         11.7418        -3.8271        38.6839        40.6074      -114.3929       162.0302        14.9546       198.9049         3.4694        50.3891
2007-06-08/07:11:31         11.6496        -3.2260        38.7525        40.5940      -113.2748       159.8392        13.5861       196.3780         4.1952        42.2958
2007-06-08/07:11:34         11.6655        -2.9127        38.8297        40.6487      -110.2364       158.6563        11.6528       193.5450         4.5356        42.5833
2007-06-08/07:11:37         11.6946        -4.0915        38.7789        40.7100      -111.3439       153.1052        14.3349       189.8530         4.9183        40.6598
2007-06-08/07:11:40         11.4391        -5.4758        38.6177        40.6468      -114.9883       137.8062        16.6347       180.2486         4.9550        40.7019
2007-06-08/07:11:43         11.1763        -3.7605        37.9934        39.7813      -113.8966        89.3530         8.7054       145.0247         3.4385        56.5050
2007-06-08/07:11:46         11.5683        -1.1159        37.2165        38.9890      -106.6827       149.9735        -0.9478       184.0493         3.8535        95.4572
2007-06-08/07:11:49         13.0996        -3.5910        37.6581        40.0329      -114.2345       161.1462       -29.7770       199.7606         4.6594       104.4245
2007-06-08/07:11:52         13.6805        -3.7177        38.3661        40.9016       -91.3140       147.4911         7.2719       173.6225         3.2764        64.6733
2007-06-08/07:11:55         12.4808        -4.0792        37.7370        39.9561       -85.9549       150.8387         8.5202       173.8193         3.7759        46.8150
2007-06-08/07:11:58         12.0631        -6.3046        37.8176        40.1925       -99.0561       119.7789         4.9875       155.5120         3.5239        62.0955
2007-06-08/07:12:01         11.3613        -4.8852        36.2022        38.2563      -100.8912       114.1599         4.2129       152.4115         3.8408        87.8134
2007-06-08/07:12:04          9.4547        -6.8538        34.5142        36.4362      -103.4272       101.7540        -5.9986       145.2137         4.8355       139.8714
2007-06-08/07:12:07         16.7742       -10.2842        29.9445        35.8303       -78.3981       108.5272       -14.9760       134.7171         5.8450       155.5134
2007-06-08/07:12:10         13.6509        -3.8399        33.8021        36.6561       -60.6550        99.0620       -63.7504       132.5007         4.4564       159.6376
2007-06-08/07:12:13         14.6075        -1.4389        34.1263        37.1491       -57.4792       117.6496       -25.4257       133.3858         3.9156       176.4387
2007-06-08/07:12:16         11.6889        -0.2796        34.6666        36.5852       -42.0464       136.7836         4.4777       143.1701         3.3931       212.1930
2007-06-08/07:12:19          7.9564         2.3739        35.4359        36.3956       -54.5211       120.5180       -15.8301       133.2206         3.4305       225.3553
2007-06-08/07:12:22          7.2203        -0.7475        34.3639        35.1222       -56.2271       104.3094       -13.6635       119.2838         4.4581       221.6671
2007-06-08/07:12:25          7.2250         0.0243        34.7271        35.4707       -62.0040       129.6037        -8.7444       143.9378         4.4185       222.1470
2007-06-08/07:12:28          7.9625         1.5698        34.6106        35.5494       -62.9086       121.8576        -7.5830       137.3472         3.7613       228.9800
2007-06-08/07:12:31          8.1018         1.1228        33.2031        34.1957       -59.1909       118.9894        -1.9001       132.9122         4.3255       229.1749
2007-06-08/07:12:34         10.5212        -0.8914        32.5248        34.1958       -53.3085       118.0588         2.3517       129.5578         4.2371       247.4710
2007-06-08/07:12:37         10.2398        -2.3098        32.9609        34.5920       -60.0245       111.3148        -9.3818       126.8146         3.5207       291.0036
2007-06-08/07:12:40         10.3084        -0.9511        33.5844        35.1437       -51.6042        88.7463         6.6329       102.8732         3.9262       244.9760
2007-06-08/07:12:43          8.3944         3.0012        33.3196        34.4915       -49.5300        86.5152        20.9743       101.8725         4.1604       227.0919
2007-06-08/07:12:46          8.2308         3.7300        34.1692        35.3440       -49.7943        62.0516        39.3504        88.7599         4.2330       214.2096
2007-06-08/07:12:49          8.2585         2.6295        33.3572        34.4647       -57.0820        54.2388        28.1433        83.6197         4.9276       201.5567
2007-06-08/07:12:52          9.1510        -0.5944        31.9159        33.2072       -47.7470        37.3972        16.8306        62.9412         4.9031       215.8862
2007-06-08/07:12:55         11.9215        -2.4801        31.2478        33.5365       -63.8922        32.5892        12.3218        72.7743         6.0052       198.9145
2007-06-08/07:12:58         10.8403        -1.4751        32.2964        34.0990       -61.7480        24.7337         5.7291        66.7637         5.7186       211.0638
2007-06-08/07:13:01         11.1154       -10.8093        33.7830        37.1710       -86.1043        91.8422         2.8833       125.9256         4.0125       215.1537
2007-06-08/07:13:04         11.9119         1.8760        37.6557        39.5394       -87.0801       123.2671        -2.0919       150.9375         4.0014       152.5201
2007-06-08/07:13:07         11.7763        -5.0374        39.3530        41.3849       -61.8718       255.4178       -16.7366       263.3372         2.8830        76.1813
2007-06-08/07:13:10         11.2916        -3.5043        39.2281        40.9710       -74.4778       151.4179        -0.6412       168.7446         3.7486        40.1366
2007-06-08/07:13:13         10.4805        -4.5158        39.1047        40.7359       -84.7613       146.0091         1.9440       168.8399         4.6124        37.6057
2007-06-08/07:13:16         10.2283        -3.3360        39.2683        40.7154       -94.1430       131.7310         6.4147       162.0404         4.5261        36.8199
2007-06-08/07:13:19         10.6532        -3.4593        39.2040        40.7727      -108.9877       129.0860        17.4901       169.8453         4.9342        35.2496
2007-06-08/07:13:22         10.4497        -2.9548        39.2383        40.7133      -107.6151       128.1940        16.9121       168.2282         4.8552        36.3134
2007-06-08/07:13:25         10.2366        -2.6570        39.2095        40.6108      -122.2146       119.0163        20.0720       171.7677         4.6575        36.3620
2007-06-08/07:13:28         10.5445        -2.3245        38.8432        40.3160      -136.1626       123.1848        25.1340       185.3280         4.5287        36.2099
2007-06-08/07:13:31         11.5597        -1.1606        38.3876        40.1071      -148.6698       124.5128        28.0495       195.9411         4.1656        40.1443
2007-06-08/07:13:34         11.2606         1.6219        37.5185        39.2055      -170.8910       140.5255        42.2581       225.2486         3.7335        61.4907
2007-06-08/07:13:37         10.1875         2.5012        36.0677        37.5622      -145.3165       156.1270        32.7928       215.7959         2.8464       131.6580
2007-06-08/07:13:40         12.7356        -0.2139        36.7363        38.8819      -143.6496       184.6417        12.2794       234.2617         3.3949       140.1795
2007-06-08/07:13:43         12.7638        -2.5966        38.1513        40.3135      -119.7203       172.0959        26.7128       211.3375         3.2698        65.1608
2007-06-08/07:13:46         12.0000        -2.0360        36.8553        38.8131      -142.3235       158.8981        39.2381       216.8968         4.0026        65.9165
2007-06-08/07:13:49         12.9454        -3.4877        34.3532        36.8767      -108.1587       150.6825        22.6260       186.8568         3.2967       164.2074
2007-06-08/07:13:52         15.0377        -3.8908        33.5261        36.9495       -86.3387       111.0307        18.2947       141.8340         3.1762       180.0793
2007-06-08/07:13:55         11.4133        -5.1308        36.1039        38.2109      -114.5206       183.5504        18.8076       217.1623         2.9119       150.4534
2007-06-08/07:13:58         14.6413        -6.7058        30.3667        34.3725      -118.8069       143.1492         6.2742       186.1347         3.4223       156.5711
2007-06-08/07:14:01         14.0707        -8.2376        30.9827        35.0110      -120.8166       169.7803         6.9310       208.4947         4.4998       185.2555
2007-06-08/07:14:04         15.1408        -1.8464        32.0430        35.4881      -120.2102       124.1402       -13.4176       173.3243         3.5752       188.2907
2007-06-08/07:14:07         14.7071        -6.3934        30.7734        34.7012       -98.3034       141.1188        14.9511       172.6314         3.2825       175.9610
2007-06-08/07:14:10         15.0575        -6.0770        35.7976        39.3081      -124.5032       175.6502         9.1968       215.4962         3.9918       156.3108
2007-06-08/07:14:13         15.3637        -6.6821        36.0128        39.7192      -115.3364       202.2313        36.4839       235.6503         3.0000        95.4254
2007-06-08/07:14:16         14.0609        -5.3014        36.9322        39.8723      -130.3668       198.9836        36.1605       240.6191         3.0759       106.3438
2007-06-08/07:14:19         14.3428        -5.5741        36.9218        40.0001      -119.9810       216.0617        36.0616       249.7570         2.3653       127.9082
2007-06-08/07:14:22         14.2054        -5.8100        36.8204        39.8910      -110.0242       192.5014        28.6506       223.5687         2.9597       103.5784
2007-06-08/07:14:25         13.4811        -5.3455        36.9021        39.6494      -124.6725       199.6385        31.3734       237.4512         2.9040       126.2986
2007-06-08/07:14:28         14.4255        -8.2793        36.1805        39.8205       -99.4368       202.3232        16.6618       226.0530         3.6042       119.7545
2007-06-08/07:14:31         13.3212       -10.5692        35.0056        38.9173       -65.8200       154.1852       -19.9938       168.8345         3.0087       154.6666
2007-06-08/07:14:34         13.7965        -6.8638        37.8600        40.8758       -94.6561       144.6527        -9.6193       173.1379         3.6220       115.7637
2007-06-08/07:14:37         12.8869        -6.5151        38.5867        41.2001       -89.1074       171.4776        11.7834       193.6067         4.3658        44.8153
2007-06-08/07:14:40         11.8030        -6.8516        38.8634        41.1900       -91.4270       156.3506        11.4065       181.4787         4.6021        37.4361
2007-06-08/07:14:43         11.3556        -6.6656        39.1384        41.2940       -94.7410       150.8003        14.3788       178.6710         4.6991        35.5111
2007-06-08/07:14:46         10.3149        -6.7452        39.0772        40.9747       -91.7312       135.0597        11.9098       163.6997         4.9145        33.1630
2007-06-08/07:14:49          9.8876        -6.7136        39.3708        41.1448       -97.3870       132.6451        11.5348       164.9606         4.5566        34.8124
2007-06-08/07:14:52          8.9735        -6.2836        39.8057        41.2856      -107.5177       135.1092        14.2529       173.2562         4.3735        36.4268
2007-06-08/07:14:55          7.6373        -6.0078        40.2944        41.4495      -102.5282       128.8178        13.9690       165.2307         4.6255        37.1243
2007-06-08/07:14:58          8.0914        -5.1364        40.1882        41.3152      -102.7103       118.7801        11.0910       157.4202         3.1332        63.6141
2007-06-08/07:15:01         10.8551        -4.8610        39.4665        41.2197      -121.2202       126.9237         5.9523       175.6115         3.0692        75.5589
2007-06-08/07:15:04         11.8362        -4.3758        36.2823        38.4142      -111.2910       110.8205        -5.5218       157.1539         3.5187       111.4368
2007-06-08/07:15:07         13.2260        -3.8764        36.7869        39.2840      -142.9414       133.3580       -17.0843       196.2358         4.0580       154.5732
2007-06-08/07:15:10         15.8819        -5.3834        36.5692        40.2309      -111.8401       144.2226         2.8423       182.5279         3.6199       104.5849
2007-06-08/07:15:13         16.5597        -5.9985        32.7041        37.1451      -108.2918       131.8416        15.7227       171.3375         3.4473       133.6270
2007-06-08/07:15:16         15.8781        -4.9044        32.2286        36.2609      -119.6305       118.0954        11.9348       168.5242         4.2030       220.4724
2007-06-08/07:15:19         14.5115        -8.9410        32.4307        36.6371       -96.4046       142.5983        10.1954       172.4298         3.4388       203.5591
2007-06-08/07:15:22         10.7672        -7.5665        34.0231        36.4795      -104.6755       157.2759       -14.9918       189.5189         3.7834       193.0901
2007-06-08/07:15:25         13.0066        -4.6635        34.7054        37.3549      -102.8485       139.5509       -25.3184       175.1950         3.0865       173.5494
2007-06-08/07:15:28         17.1695        -3.9584        35.0106        39.1945      -109.0000       122.7826       -13.6509       164.7511         2.8221       167.3578
2007-06-08/07:15:31         18.0378        -3.8168        33.8596        38.5539      -144.1860       137.7286        12.7134       199.8009         2.9208       159.5497
2007-06-08/07:15:34         13.2628        -4.8134        33.4427        36.2972       -85.4940       135.7920        14.3192       161.1016         3.4677       196.9322
2007-06-08/07:15:37          7.1247        -1.0360        33.8784        34.6350       -61.0098       113.5219        -2.8677       128.9094         3.9231       225.9424
2007-06-08/07:15:40          6.9823         1.7675        34.9261        35.6610       -68.8222       120.7386         1.9866       138.9901         3.8025       248.0569
2007-06-08/07:15:43          6.2652         1.9907        34.1218        34.7493       -61.2160       107.3617        21.9745       125.5261         4.1684       221.3032
2007-06-08/07:15:46          6.3771         2.5169        34.2567        34.9360       -65.5696       110.4478        21.3568       130.2083         4.6463       210.2395
2007-06-08/07:15:49          7.5140         1.7617        33.8364        34.7054       -63.6104       113.6588        25.6435       132.7487         4.6999       212.8296
2007-06-08/07:15:52          8.0769         2.9802        32.3231        33.4500       -53.3057        93.4724        26.8981       110.9148         5.4442       199.0505
2007-06-08/07:15:55          8.1116         4.5962        34.4792        35.7175       -69.3830       102.7535         4.8677       124.0805         3.9287       241.6670
2007-06-08/07:15:58          8.0119         4.5351        35.1742        36.3590       -54.3706       106.7842        17.6384       121.1204         2.6093       274.0695
2007-06-08/07:16:01          7.0050         4.9549        33.5622        34.6416       -37.5136       106.2851         8.7172       113.0477         2.7341       295.5143
2007-06-08/07:16:04          8.4638         3.1602        31.6177        32.8831       -50.2490        98.8837         5.7996       111.0701         4.8954       221.5471
2007-06-08/07:16:07          8.7561         3.5709        31.8135        33.1891       -56.1056        89.4411        23.3650       108.1364         5.2154       211.5553
2007-06-08/07:16:10          8.3863         5.0608        31.5450        33.0307       -56.0010        78.5003        20.1674        98.5147         5.1239       215.1507
