Time                         Bx(nT)         By(nT)         Bz(nT)         Btot(km/s)    Vx(km/s)        Vy(km/s)      Vz(km/s)       Vtot(km/s)      Density(cm^-3)Temp(eV)
          156.49307          1.6571        -5.3004        11.4397        12.7164        -3.7153         4.9752         6.9818        10.0735         0.6265      3041.4451
          159.50255          1.4616        -5.4040        11.3920        12.6932        -3.8958        11.8109        10.2540        16.3457         0.6265      2989.7997
          162.51203          1.1679        -5.2312        11.5116        12.6983        -4.2148         9.8956        12.4917        17.1497         0.6265      3018.4239
          165.52152          1.0177        -5.4281        11.4253        12.6900        -8.2102         9.4061        13.3236        18.4801         0.5973      3107.6045
          168.53100          0.7640        -5.5742        11.3557        12.6731        -4.0508         6.7801         9.4653        12.9633         0.5973      3147.1969
          171.54048          0.5813        -5.7083        11.3150        12.6867        -4.1245        -0.0787        12.5239        13.4623         0.5973      3214.8497
          174.54996          0.4836        -5.7599        11.2913        12.6848        -3.3871        -4.4047        12.2596        14.4681         0.5973      3229.6998
          177.55945          0.2845        -5.9025        11.1316        12.6029        -0.3870       -13.8574         2.6639        16.1442         0.5682      3326.3082
          180.56893          0.4271        -5.9570        10.8487        12.3840        -8.2814       -18.2795        -0.2405        22.3017         0.5682      3360.9506
          183.57841          0.4276        -6.0587        10.5501        12.1735       -14.2909        -7.2414         4.4842        16.7094         0.5973      3194.2204
          186.58789          0.2432        -5.6434        10.3587        11.7987       -14.2126       -14.8650        -0.0405        22.3319         0.5682      3388.8299
          189.59738         -0.4148        -4.4119        10.4925        11.3899       -15.3913       -32.3899        -5.6334        36.3039         0.5390      3583.0549
          192.60686         -0.5201        -4.4598        10.2272        11.1694       -17.4808       -44.0640        -8.6632        48.2861         0.5390      3597.2095
          195.61634         -0.0892        -4.7132        10.0384        11.0902       -18.3408       -53.2532       -10.0649        57.2462         0.5682      3383.4183
          198.62582          0.0351        -5.0015         9.9469        11.1336       -20.7483       -58.5899       -10.5394        63.0730         0.5682      3511.5334
          201.63530          0.1082        -4.9775        10.3292        11.4665       -24.8324       -71.7137        -9.9116        76.7243         0.5099      3878.6213
          204.64479          0.0812        -4.9603         9.8684        11.0452       -24.8413       -75.8993        -7.7641        80.4933         0.5390      3689.7182
          207.65426          0.4845        -4.8455         9.4249        10.6086       -18.9346       -74.5292       -14.3257        78.2361         0.5390      3712.5733
          210.66374          0.6764        -5.1625         8.8746        10.2892       -30.1184       -80.0321       -20.0520        88.4401         0.5390      3744.0505
          213.67323          1.8447        -5.1769         8.4179        10.0531       -37.1385       -84.4073       -29.4288        97.3586         0.5099      3975.8281
          216.68271          1.7893        -4.9244         8.4344         9.9293       -24.8797       -95.3694       -41.1735       106.9978         0.5390      3699.7453
          219.69219          1.4810        -4.4810         8.4196         9.6521       -23.7209      -104.0078       -42.9004       115.2861         0.5390      3691.8724
          222.70167          1.2216        -4.3275         8.6951         9.7890       -30.9773      -117.1411       -42.6595       128.5551         0.5390      3641.7873
          225.71116          0.5160        -3.8823         9.1000         9.9070       -27.5405      -119.0105       -42.2857       129.6208         0.5973      3476.5124
          228.72064          1.1146        -2.0528         9.4064         9.6921       -19.6766      -104.8438       -25.5828       109.7030         0.6847      2967.6153
          231.73012          0.8138        -3.1269         9.6147        10.1431       -26.0949       -97.6121       -33.1100       107.3011         0.7139      2803.9113
          234.73960          0.6475        -3.8960        10.5303        11.2466       -28.0047      -104.8438       -46.7390       119.0391         0.7139      2732.0150
          237.74909         -0.4706        -3.9146        11.1607        11.8367       -13.6292      -114.0823       -39.0177       121.4257         0.7430      2599.0103
          240.75857          0.1046        -3.8717        11.4707        12.1070       -12.5569      -117.9803       -35.1753       123.7937         0.7430      2636.1090
          243.76805          0.6565        -4.0280        11.4055        12.1136        -7.8723      -119.9079       -45.5205       128.9230         0.8304      2321.5208
          246.77753          2.0661        -4.8996        11.2131        12.4100        -5.6750      -108.9003       -57.9762       123.5653         0.8304      2316.5489
          249.78701          4.2741        -5.8870         9.7027        12.1271        -2.3038      -105.9309       -56.9027       120.4812         0.8304      2302.3370
          252.79650          5.2023        -5.8644         9.7008        12.4724         9.9778      -104.1814       -42.7079       113.6103         0.8887      2152.9003
          255.80598          4.5113        -4.3674        10.8496        12.5355        18.6359      -101.0168       -32.9537       107.9090         0.8887      2121.0032
          258.81546          3.1295        -3.3400        11.8911        12.7416        18.6545      -104.4247       -41.1055       113.9396         0.8887      2069.3586
