Time                         Bx(nT)         By(nT)         Bz(nT)         Btot(km/s)    Vx(km/s)        Vy(km/s)      Vz(km/s)       Vtot(km/s)      Density(cm^-3)Temp(eV)
          0.0000000         -5.3964        -6.0409         8.6911        11.8806        37.7390        43.7877        -3.7498        57.9903         0.1953      3463.2606
          2.5005848         -5.7507        -6.0526         9.1841        12.4118        36.0569        36.4046        -0.0403        52.3871         0.1974      3404.1081
          5.0011694         -5.9136        -5.6641         9.3088        12.3978        40.3195        37.2374        10.2158        56.8176         0.1984      3287.5283
          7.5017543         -5.8756        -5.0544         9.3708        12.1606        30.9968        53.7189        15.2814        65.0898         0.1974      3366.6147
          10.002339         -5.8597        -4.3480         9.5311        12.0034        22.0295        51.4738        11.5196        58.5474         0.2027      3365.6738
          12.502924         -5.8069        -4.7532         9.5767        12.1666        35.6163        55.3878         3.2012        65.9338         0.2026      3407.7943
          15.003509         -5.7810        -5.0318         9.3570        12.0951        30.9681        39.7720        11.9134        54.1605         0.2105      3297.8744
          17.504094         -5.6664        -5.3687         9.1524        12.0290        33.7580        31.5310        28.3287        54.2769         0.2137      3221.5556
          20.004679         -5.5538        -5.4642         9.1859        12.0451        31.1179        44.7875        37.2617        67.0750         0.2026      3318.1374
          22.505264         -5.9976        -5.1275         9.9975        12.7362        25.8005        50.7810        40.8967        70.6632         0.1991      3367.1089
          25.005849         -6.5738        -4.2509        10.5213        13.1142        34.9792        42.7986        33.3132        64.9310         0.2090      3188.7396
          27.506435         -6.4220        -3.5001        10.6571        12.9254        43.0581        43.8202        42.9675        75.0368         0.2135      3198.9024
          30.007020         -6.5140        -3.3579        10.3845        12.7100        42.7118        47.6156        53.1100        83.5727         0.1979      3417.1948
          32.507605         -6.4922        -4.8319        10.5486        13.2955        37.9811        44.6134        61.3629        84.9107         0.1919      3403.7172
          35.008190         -6.4464        -5.1640        10.5033        13.3620        40.4903        50.8328        64.2342        91.4003         0.1929      3347.1041
          37.508775         -6.7309        -5.6583        10.5591        13.7410        31.2398        41.9431        66.1761        85.6856         0.1898      3421.3447
          40.009361         -6.7249        -6.7792         9.9133        13.7642        24.4806        28.3868        72.5868        82.5426         0.1895      3410.1580
          42.509946         -6.8779        -7.5001         9.2259        13.7359        30.0079        12.8367        63.3323        71.6311         0.1827      3550.0445
          45.010531         -7.3682        -9.3590         9.2191        15.0623        22.8723        -2.7334        48.9156        55.0736         0.1702      3637.5914
          47.511117         -7.6020       -10.7937         9.7280        16.3990        27.6358       -11.5097        30.3662        43.3188         0.1698      3496.1474
          50.011702         -7.6413       -11.8386         9.6597        17.0836        36.1294       -20.6316        22.4341        48.5504         0.1644      3587.6999
          52.512288         -8.2066       -12.0676        10.7887        18.1486        36.1829       -32.7269        15.0652        51.3333         0.1501      3762.6513
          55.012873         -8.5887       -11.2825        11.2494        18.1000        36.0058       -28.5724        15.9389        49.5186         0.1456      3911.5841
          57.513458         -8.1354       -10.7786        11.4265        17.6898        46.3018       -26.0243        24.8759        59.4976         0.1437      4048.9008
          60.014044         -7.6428       -11.0271        11.1576        17.4499        48.3714       -23.1638        11.3489        55.6076         0.1404      4143.8917
          62.514630         -7.7862       -10.1986        11.7667        17.4095        41.9837       -23.4081         9.4144        50.1739         0.1468      3926.8287
          65.015216         -6.8834        -9.3205        11.8666        16.5852        29.6710       -13.0821        13.0081        35.6200         0.1572      3666.1592
          67.515801         -5.8093        -7.9992        11.4028        15.0917        16.6277        -0.0708        -7.3522        30.1342         0.1573      3916.0519
          70.016387         -5.8058        -8.0386        10.3381        14.3249        15.0294        18.1728       -25.2209        34.7900         0.1717      3801.9801
          72.516973         -5.9710        -7.6521         9.8481        13.8273        17.1119         6.8223       -16.7626        26.1129         0.1719      3800.6807
          75.017558         -6.0870        -7.3647         9.9570        13.7997        25.2368         4.0583       -18.2923        32.0464         0.1646      3855.0025
          77.518144         -5.9628        -7.2913         9.9441        13.6968        25.7853         2.8164       -35.8843        45.4345         0.1625      3765.6448
          80.018730         -5.9379        -7.6818        10.1160        14.0215        16.9045        -0.0130       -37.9242        41.9715         0.1644      3590.4749
          82.519315         -5.8008        -7.8667        10.6766        14.4749        14.5995         7.6562       -29.5589        33.8642         0.1692      3453.0825
          85.019902         -6.0441        -7.3648        10.5172        14.1909        19.1639        -3.0365       -23.6201        34.3388         0.1577      3632.5909
          87.520487         -5.5688        -7.2746        10.2094        13.7172        32.8864       -14.2532       -10.3012        39.9550         0.1536      3749.1308
          90.021073         -5.4490        -7.4325        10.3548        13.8620        32.1833         1.8268        -4.4980        35.6655         0.1648      3446.5074
