Time                         Bx(nT)         By(nT)         Bz(nT)         Btot(km/s)    Vx(km/s)        Vy(km/s)      Vz(km/s)       Vtot(km/s)      Density(cm^-3)Temp(K)
2008-04-15/06:31:33          0.9312         1.3152         9.0279         9.1706        39.8972        20.1881        -2.2991        44.7731         1.1801       577.6535
2008-04-15/06:31:36          1.0877         1.2646         9.0844         9.2362        39.7587        19.1988         4.1302        44.3442         1.1801       573.3834
2008-04-15/06:31:39          1.3039         0.8675         9.1103         9.2440        47.3160        19.0627         2.2362        51.0606         1.1509       590.7869
2008-04-15/06:31:42          1.0747         1.0538         9.1207         9.2441        57.1924        14.4997        -1.4374        59.0193         1.1801       567.7859
2008-04-15/06:31:45          1.0154         1.1608         9.1999         9.3283        47.1507        16.1265        -2.7844        49.9099         1.2383       539.9246
2008-04-15/06:31:48          1.0336         1.2017         9.2037         9.3392        46.3952        16.0232         0.7850        49.0905         1.1801       563.0608
2008-04-15/06:31:51          1.2264         1.0261         9.3713         9.5067        44.8789        17.2085         0.1948        48.0654         1.1218       626.7388
2008-04-15/06:31:54          1.0936         0.9759         9.4243         9.5376        40.7049        15.8083        -0.2514        43.6675         1.1801       582.5325
2008-04-15/06:31:57          1.0084         0.8662         9.4730         9.5658        37.8190        22.5793        -4.6259        44.2888         1.1801       582.6712
2008-04-15/06:32:00          0.8203         1.1256         9.3295         9.4329        28.9209        25.8828        -1.9753        38.8618         1.1801       583.8818
2008-04-15/06:32:03          0.5204         1.3890         9.3410         9.4580        30.6605        20.2391        -5.8493        37.2008         1.2092       610.2002
2008-04-15/06:32:06          0.3306         1.1960         9.5438         9.6241        29.8226        20.7198        -2.2860        36.3857         1.2092       583.8174
2008-04-15/06:32:09          0.5709         0.4936         9.5347         9.5645        23.5231        11.1223        -2.3051        26.1219         1.1218       634.8785
2008-04-15/06:32:12          0.8159        -0.0898         9.3561         9.3921        28.7726         6.0697        -2.3488        29.4995         1.2092       589.1173
2008-04-15/06:32:15          0.9381        -0.2543         9.2588         9.3097        30.9745         3.8778        -2.8025        31.3419         1.2092       599.1692
2008-04-15/06:32:18          0.9962        -0.2682         9.2084         9.2661        26.0192        -1.1146         0.7293        26.0533         1.2675       575.1652
2008-04-15/06:32:21          1.2490        -0.6610         9.0894         9.1986        20.7748        -3.1653         5.6088        21.7502         1.2675       581.4463
2008-04-15/06:32:24          1.2295        -0.8041         9.1048         9.2225        18.6513       -11.5841         6.8176        22.9900         1.2092       596.4249
2008-04-15/06:32:27          1.3190        -0.7433         9.1907         9.3146        14.6753       -22.1354         2.9849        26.7255         1.2092       604.3333
2008-04-15/06:32:30          1.0038        -0.7390         9.0861         9.1712        12.1562       -25.1427         3.0270        28.0908         1.2092       626.5860
2008-04-15/06:32:33          0.9235        -0.7511         9.1917         9.2685         9.2699       -24.8742        -3.9897        26.8435         1.1801       614.9230
2008-04-15/06:32:36          0.9694        -0.8757         9.4071         9.4974         8.5027       -22.9227        -2.1006        24.5389         1.1509       614.6606
2008-04-15/06:32:39          1.2575        -0.9642         9.4624         9.5942         9.3720       -27.9081        -1.9027        29.5011         1.0926       643.4462
2008-04-15/06:32:42          1.3624        -0.9933         9.3491         9.4999         8.2704       -32.0553        -4.3274        33.3866         1.0926       634.6016
2008-04-15/06:32:45          1.3867        -0.6662         9.0360         9.1660        15.6786       -35.2630        -8.3220        39.4785         1.0635       666.5119
2008-04-15/06:32:48          0.9382        -0.3420         9.0733         9.1281        15.0791       -42.6257        -0.9815        45.2249         1.1218       609.8971
2008-04-15/06:32:51          0.7753        -0.4143         9.1320         9.1742        14.6244       -46.9679        -9.7578        50.1505         1.0635       661.6755
2008-04-15/06:32:54          0.9476        -0.6675         9.0301         9.1042        10.3979       -53.3464        -4.4554        54.5326         1.0926       635.6212
2008-04-15/06:32:57          0.6987        -0.9685         9.0052         9.0841        21.6113       -56.4234        -5.0085        60.6278         1.1509       597.6482
2008-04-15/06:33:00          0.3878        -0.9887         8.9548         9.0175        26.5544       -64.1006        -8.6779        69.9237         1.0926       638.9685
2008-04-15/06:33:03          0.6967        -1.3398         8.4570         8.5907        33.3075       -65.2651        -8.5609        73.7714         1.0926       648.6329
2008-04-15/06:33:06          1.8004        -0.9922         7.9373         8.1992        18.9133       -68.6457       -20.6296        74.1318         0.9761       741.2503
2008-04-15/06:33:09          2.1451        -0.6446         7.7787         8.0948        17.9505       -56.8045       -21.8437        63.4518         0.9470       754.4505
2008-04-15/06:33:12          2.1934        -0.4590         7.7013         8.0207         5.4172       -55.3021       -24.9115        60.8954         0.9470       751.6831
2008-04-15/06:33:15          2.9546        -0.3787         7.4287         8.0037        26.8035       -58.9247       -27.5614        70.3575         0.9761       720.9161
2008-04-15/06:33:18          3.3572        -0.4635         7.6078         8.3286        44.1201       -52.7954       -29.4294        74.8333         0.9470       747.3160
2008-04-15/06:33:21          4.0762        -0.6748         7.6395         8.6852        56.4350       -54.8913       -33.4600        85.5426         1.0926       655.8465
2008-04-15/06:33:24          3.5403        -1.3127         8.3244         9.1407        67.8532       -56.0007       -23.1302        90.9678         1.2092       576.5607
2008-04-15/06:33:27          3.0228        -0.9632         8.7588         9.3157        85.6791       -53.9655       -22.2731       103.6787         1.2675       558.6962
2008-04-15/06:33:30          2.6695        -1.1617         9.2082         9.6575        78.9257       -47.1226       -20.7665        94.2393         1.2383       564.8587
2008-04-15/06:33:33          2.8222        -1.6308         9.0367         9.6065        81.7386       -41.0281       -20.8644        93.8074         1.2966       524.5668
2008-04-15/06:33:36          2.7959        -1.3648         9.1325         9.6480        71.9352       -34.2993       -16.9604        81.4786         1.3257       501.3756
2008-04-15/06:33:39          2.6127        -0.8439         9.3165         9.7126        77.4520       -27.8021       -13.2672        83.3533         1.3257       503.0631
2008-04-15/06:33:42          2.1264        -0.9740         9.5973         9.8782        74.7951       -21.2985       -14.8220        79.1683         1.2966       489.8120
2008-04-15/06:33:45          2.0158        -0.9061         9.7808        10.0274        75.1053       -13.6840       -18.4127        78.5308         1.3257       499.1005
2008-04-15/06:33:48          1.8416        -1.4467         9.6552         9.9351        75.6831        -9.4675       -17.6046        78.2782         1.2383       541.7267
2008-04-15/06:33:51          2.2880        -1.3255         9.5568         9.9158        75.6514        -0.6750       -13.8159        76.9056         1.2675       518.0001
2008-04-15/06:33:54          2.4207        -1.6923         9.1709         9.6348        70.2869         0.1240       -11.8547        71.2797         1.2383       535.2101
2008-04-15/06:33:57          2.4381        -1.6071         9.1161         9.5724        60.3185         3.2538        -8.4589        60.9956         1.1509       595.0120
2008-04-15/06:34:00          2.3831        -1.5303         8.7092         9.1581        57.2766        12.7239        -6.0070        58.9796         1.0635       611.4336
2008-04-15/06:34:03          2.1579        -1.1189         8.6895         9.0231        45.4445        17.5239        -7.4250        49.2688         1.0926       654.9174
2008-04-15/06:34:06          1.6256        -0.8351         8.6232         8.8147        43.5512        28.0621        -2.9216        51.8915         1.0926       657.2165
2008-04-15/06:34:09          1.4285        -0.8656         8.5854         8.7464        38.7168        30.2444        -1.7168        49.1595         1.0052       717.2139
2008-04-15/06:34:12          1.1505        -0.6438         8.5236         8.6250        30.9513        33.6925        -5.2965        46.0567         0.9761       740.7183
2008-04-15/06:34:15          1.2263        -0.6107         8.2178         8.3312        15.6424        40.5045        -3.2690        43.5430         1.0052       727.8153
2008-04-15/06:34:18          0.6293         0.0360         8.5562         8.5793        14.2883        44.8308        -7.0492        47.5778         0.9761       771.3387
2008-04-15/06:34:21          0.3894        -0.0576         8.6506         8.6596        15.7660        34.0364       -13.2017        39.7659         1.0052       722.3385
2008-04-15/06:34:24          0.6477        -0.3866         8.5343         8.5676        -0.7986        36.0246       -11.1127        37.7081         1.0052       741.9738
2008-04-15/06:34:27          0.8958        -0.4346         8.6111         8.6685         3.2625        31.4716        -6.1789        32.2379         1.0052       724.9480
2008-04-15/06:34:30          0.9280        -1.1792         8.6661         8.7950         2.9999        20.7539        -3.5266        21.2640         1.0052       737.2979
2008-04-15/06:34:33          1.1710        -1.3787         8.7012         8.8873        -7.0393        10.3440        -2.1493        12.6952         1.0052       758.8941
2008-04-15/06:34:36          1.0018        -1.3114         8.6268         8.7832        -4.5011         9.3517        -4.5223        11.3210         1.0344       722.6662
2008-04-15/06:34:39          1.0970        -0.7638         8.6694         8.7718       -13.6491         1.3406        -8.9981        16.4031         1.0344       762.8175
2008-04-15/06:34:42          1.0339        -0.9007         8.6781         8.7857       -17.4553        -0.5510        -4.7122        18.0885         1.0344       736.0214
2008-04-15/06:34:45          1.0489        -0.7365         8.4624         8.5589       -21.0394         1.0316        -7.7290        22.4378         1.0635       728.8813
2008-04-15/06:34:48          0.9706        -0.6151         8.3658         8.4443       -21.9689        -6.8046        -5.6916        23.6924         0.9470       785.9119
2008-04-15/06:34:51          1.1221        -0.5970         8.3095         8.4062       -22.0626       -15.9137       -13.3903        30.3200         1.0052       751.9177
2008-04-15/06:34:54          1.2012        -1.0345         8.3028         8.4527       -17.8709       -17.3344       -15.7671        29.4695         0.9761       772.8563
2008-04-15/06:34:57          1.3176        -1.2503         8.4847         8.6769       -19.6510       -18.2830        -8.0783        28.0301         0.9470       773.5111
2008-04-15/06:35:00          1.5291        -1.6225         8.3791         8.6706         4.0148       -33.9931       -14.3471        37.1145         0.9470       755.0628
2008-04-15/06:35:03          1.7996        -1.8435         8.3238         8.7133        -0.8701       -38.7169       -17.9707        42.6931         0.9761       743.1451
2008-04-15/06:35:06          1.9092        -2.3072         8.2243         8.7525         4.8057       -47.9816       -16.7781        51.0572         0.9470       773.9771
2008-04-15/06:35:09          2.1056        -2.4287         7.9575         8.5822        15.2503       -45.6028       -18.5997        51.5571         1.0052       739.6980
2008-04-15/06:35:12          2.1217        -2.5224         7.9271         8.5851        18.6205       -56.6537       -19.1664        62.6396         1.0052       739.6387
2008-04-15/06:35:15          2.3957        -2.8208         7.9417         8.7617        17.5883       -59.9017       -24.9518        67.2321         1.0052       746.0241
2008-04-15/06:35:18          2.3459        -2.6350         7.8719         8.6263        36.3456       -61.6159       -27.1291        76.5083         0.9761       726.7253
2008-04-15/06:35:21          2.6065        -2.2430         7.8969         8.6131        30.9649       -60.3849       -22.4330        71.4731         1.0344       688.3085
2008-04-15/06:35:24          2.5385        -1.4612         7.6905         8.2294        45.5032       -58.5789       -30.5153        80.2073         0.9761       730.7428
2008-04-15/06:35:27          2.1461        -1.2901         7.5753         7.9784        49.4731       -54.3461       -26.9821        78.2887         0.9761       708.6567
2008-04-15/06:35:30          2.2550        -0.9858         8.0444         8.4125        51.8769       -59.8162       -18.8786        81.3978         1.0052       684.7002
2008-04-15/06:35:34          3.5208        -0.7119         8.4616         9.1924        54.8168       -58.0864       -30.1614        85.3734         1.0344       626.0852
2008-04-15/06:35:37          4.3846        -0.6375         8.4928         9.5791        62.2364       -53.5693       -28.4783        86.9141         1.1509       528.0322
2008-04-15/06:35:40          4.2433         0.2130         9.2927        10.2178        61.4177       -48.8937       -30.0996        84.0756         1.2383       508.4808
2008-04-15/06:35:43          3.1095         0.5446        10.0022        10.4886        77.9690       -44.9161       -26.9224        93.9225         1.2092       483.3049
2008-04-15/06:35:46          2.5391         0.6344         9.9823        10.3197        82.9995       -34.0808       -16.8443        91.2915         1.3840       430.0397
2008-04-15/06:35:49          1.9653         0.6690        10.1605        10.3705        77.1976       -31.6106       -17.3300        85.1999         1.5006       415.2655
2008-04-15/06:35:52          1.8431         0.9654        10.3950        10.6012        72.3652       -19.4013       -18.5070        77.1728         1.4423       423.4115
2008-04-15/06:35:55          1.8628         1.3857        10.6871        10.9363        65.3888        -2.5897       -23.0208        69.3712         1.3840       435.4664
2008-04-15/06:35:58          2.3400         1.4099        10.8832        11.2208        68.0725         4.3879       -29.3321        74.2529         1.3840       434.4546
2008-04-15/06:36:01          2.1916         0.2984        11.0107        11.2307        68.8386        11.6476       -28.3562        75.3558         1.3840       458.5477
2008-04-15/06:36:04          2.8449         0.4375        10.7729        11.1508        69.2834         2.5475       -26.4301        74.1973         1.5297       429.5072
2008-04-15/06:36:07          2.6740         0.6633        10.7173        11.0657        67.5802        13.1572       -11.3623        69.7804         1.6171       409.4854
2008-04-15/06:36:10          2.5188         0.4556        10.6883        10.9905        57.5317        29.4414        -5.6173        64.8710         1.6754       399.3521
2008-04-15/06:36:13          4.3944         0.7246        10.6228        11.5187        46.7209        35.4456        -6.6545        59.0213         1.6463       408.4370
2008-04-15/06:36:16          3.3297         1.3259        11.3431        11.8958        43.3678        47.1748        -7.9658        64.5731         1.3840       461.6006
2008-04-15/06:36:19          2.1009         1.7005        10.8606        11.1918        26.1100        58.6646         1.6968        64.2351         1.1509       553.5814
2008-04-15/06:36:22          1.7475         1.6196         9.6463         9.9362        23.0048        72.1033         0.9547        75.6902         1.2675       555.7014
2008-04-15/06:36:25          0.9003         1.5408         9.4543         9.6212        29.7871        78.7514         5.1586        84.3544         1.2092       625.5808
2008-04-15/06:36:28          1.1682         1.4844         9.6043         9.7883        25.7490        76.8892        -0.9417        81.0916         1.1801       621.3234
2008-04-15/06:36:31          0.8225         1.6065         9.7777         9.9429        20.7360        72.1558        -3.1013        75.1403         1.2092       623.0672
2008-04-15/06:36:34          0.4071         1.3619         9.8574         9.9593        18.6427        64.9818        -4.9885        67.7870         1.2675       616.8820
2008-04-15/06:36:37          0.1362         0.9145         9.9133         9.9563        20.3224        56.3933         0.5745        59.9461         1.2675       598.4365
2008-04-15/06:36:40          0.2059         0.8923         9.7405         9.7834        22.3114        48.4621        -2.1213        53.3936         1.2966       610.5413
2008-04-15/06:36:43         -0.0698         0.7585         9.5315         9.5619        20.5217        37.2239        -3.1107        42.6196         1.2966       582.0972
2008-04-15/06:36:46         -0.1785         0.2614         9.5263         9.5315         9.0108        23.5902        -3.5998        25.5079         1.3257       593.7255
2008-04-15/06:36:49         -0.5015         0.1312         9.7419         9.7557         4.3021        14.3951        -1.7871        15.1302         1.2383       617.6023
2008-04-15/06:36:52         -0.8130        -0.2009         9.7611         9.7970        -1.0076        -3.6608        -6.2284         7.2945         1.2383       628.9989
2008-04-15/06:36:55         -0.5203        -0.5324         9.6941         9.7226        -6.8007        -6.1105        -4.8531        10.3508         1.2675       606.4394
2008-04-15/06:36:58         -0.4500        -1.0158         9.7073         9.7707       -18.7114       -18.0844       -10.0759        27.9050         1.2675       610.6199
2008-04-15/06:37:01         -0.5475        -1.1840         9.7965         9.8830       -17.3934       -26.6714        -8.4181        32.9357         1.2675       589.8629
2008-04-15/06:37:04         -0.3165        -1.5106         9.6711         9.7935       -17.2256       -26.4173        -9.6905        32.9925         1.2383       625.2776
2008-04-15/06:37:07          0.0657        -1.7829         9.7547         9.9165       -15.5769       -36.3833        -6.7143        40.1431         1.2092       629.5423
2008-04-15/06:37:10          0.6226        -1.6805         9.8355         9.9975       -12.8264       -41.9003        -5.8541        44.2089         1.2675       609.6301
2008-04-15/06:37:13          0.0428        -1.1828         9.6325         9.7049        -4.0440       -50.0169        -0.5956        50.1836         1.2092       634.5473
2008-04-15/06:37:16          0.4027        -1.6713         9.8436         9.9926       -13.2422       -61.2543       -11.6742        63.7474         1.1509       645.2223
2008-04-15/06:37:19          0.8862        -2.3037         9.6399         9.9509         2.3319       -61.8901       -15.6226        63.8740         1.0344       693.1346
2008-04-15/06:37:22          1.7368        -2.8675         8.6393         9.2669         2.9386       -74.1853       -22.2991        77.5200         1.0635       706.5495
2008-04-15/06:37:25          2.2882        -2.5873         8.5776         9.2469        14.4845       -85.3186       -32.3258        92.3798         1.0926       691.0091
2008-04-15/06:37:28          3.7847        -3.2006         8.8403        10.1350        14.5489       -78.6879       -32.5213        86.3776         1.0635       680.3466
2008-04-15/06:37:31          3.0508        -3.4478        10.3062        11.2877        26.6612       -82.5536       -24.8338        90.2366         1.1218       625.8298
2008-04-15/06:37:34          2.1480        -2.7488        10.6509        11.2077        54.5229       -89.1685        -1.1320       104.5230         1.3840       525.1997
2008-04-15/06:37:37          2.2179        -2.1632        10.9996        11.4276        62.6552       -97.3729       -25.1806       118.4956         1.4423       494.6160
2008-04-15/06:37:40          2.6708        -1.4174        11.0888        11.4936        77.5592       -93.4294       -27.9938       124.6119         1.4714       471.5567
2008-04-15/06:37:43          2.4165        -1.1904        11.3544        11.6695        86.4033       -88.9036       -28.4838       127.2034         1.2966       514.0455
2008-04-15/06:37:46          1.4088        -0.9348        10.9321        11.0621        92.2588       -79.6744       -15.3370       122.8614         1.3257       491.7166
2008-04-15/06:37:49          1.0708        -0.4204        10.9139        10.9744        88.5577       -73.0183        -9.0996       115.1388         1.2966       474.2997
2008-04-15/06:37:52          1.4916        -0.5152        10.5371        10.6546       101.0395       -50.6068       -19.7817       114.7229         1.1801       491.6000
2008-04-15/06:37:55          2.2433        -0.1895        10.7288        10.9625        99.5669       -39.3273       -23.1276       109.5221         1.0926       519.7459
2008-04-15/06:37:58          0.2223        -0.6118        10.3310        10.3515       116.9978       -33.6323       -16.4329       122.8400         1.1509       495.1125
2008-04-15/06:38:01         -0.0314        -0.9787         9.6625         9.7120       131.1647       -14.3633         5.5629       132.0660         1.2966       457.8372
2008-04-15/06:38:04         -0.2833        -1.2767         9.4439         9.5340       117.9871        -0.4087         4.0155       118.0561         1.4423       435.9531
2008-04-15/06:38:07         -0.2123        -0.7575         8.8327         8.8676       109.4576         7.2457         1.6920       109.7102         1.5588       418.5237
2008-04-15/06:38:10         -0.6813         0.1632         8.6006         8.6291        99.7363        14.6890        -0.3122       100.8127         1.5006       433.1445
2008-04-15/06:38:13         -1.1946         2.0377         7.1361         7.5169        84.4579        18.9270        -7.8828        86.9109         1.6754       408.6603
2008-04-15/06:38:16          0.5559         3.2221         5.2245         6.1633        85.2582        26.9847       -10.9354        90.0928         1.9376       393.5400
2008-04-15/06:38:19          1.1359         2.9570         8.9100         9.4564        72.5873        25.6325        -5.6051        77.1840         1.5297       454.2431
2008-04-15/06:38:22          2.1435         1.3454        10.3617        10.6663        90.9040         8.2867        -9.1645        91.7398         1.4423       453.0629
2008-04-15/06:38:25          2.3037         0.2984        10.5743        10.8264        92.6019         7.1237        -3.2238        92.9315         1.4423       444.3812
2008-04-15/06:38:28          2.4268         0.0221        10.2706        10.5534        97.5631        16.5973         0.3032        98.9652         1.5006       452.6923
2008-04-15/06:38:31          2.0172        -0.4695         9.9908        10.2033        92.0605        12.0677         0.2479        92.8484         1.5588       437.1993
2008-04-15/06:38:34          1.3375        -0.1346         9.8926         9.9835        82.2876        13.1316       -15.7327        84.8009         1.6463       409.2938
2008-04-15/06:38:37          2.3027         0.1658         9.8859        10.1519        70.7585        26.3181       -10.8875        76.2754         1.4423       446.3125
2008-04-15/06:38:40          2.0618         0.3179         9.6715         9.8939        75.6461        38.2548        -1.7576        84.7871         1.4423       473.6260
2008-04-15/06:38:43          1.8641         0.3460         9.6077         9.7930        81.4702        39.4864         0.3702        90.5357         1.4132       502.4288
2008-04-15/06:38:46          1.1944        -0.0332        10.0009        10.0721        73.4235        45.2385         3.5092        86.3125         1.4423       507.1107
2008-04-15/06:38:49          0.4258         0.2641        10.1415        10.1539        65.9538        45.6295        -6.1805        80.4372         1.3840       511.0618
2008-04-15/06:38:52          0.6885         0.0171        10.2984        10.3214        61.1488        47.5698        -9.2686        78.0254         1.2092       570.1902
2008-04-15/06:38:55          1.1983         0.0560        10.0139        10.0855        38.7214        55.3806        -5.9091        67.8326         1.2383       565.1622
2008-04-15/06:38:58          1.3619         0.2082         9.6108         9.7090        26.3869        59.3413        -4.7094        65.1140         1.2675       605.5491
2008-04-15/06:39:01          0.8670         0.3579         9.5985         9.6442        13.7194        58.6100        -7.8739        60.7071         1.3257       592.2912
2008-04-15/06:39:04          0.9731         0.3031         9.7226         9.7759         5.5088        45.5557        -6.0165        46.2803         1.3549       580.2540
2008-04-15/06:39:07          1.1036         0.0358         9.7498         9.8122         8.3436        46.8111        -9.8279        48.5539         1.3257       575.7269
2008-04-15/06:39:10          1.2275        -0.1636         9.7556         9.8339         5.0923        38.6775        -7.8266        39.7887         1.2966       601.5677
2008-04-15/06:39:13          1.8252        -0.5819         9.6395         9.8280         9.7038        32.8109        -9.5364        35.5198         1.1801       620.3340
2008-04-15/06:39:16          2.1695        -0.5335         9.6472         9.9025        -0.6007        21.1092        -6.2792        22.0315         1.1509       642.2986
2008-04-15/06:39:19          2.2810        -0.6804         9.7167        10.0040        -7.4097         5.1888       -12.2713        15.2451         1.0635       675.7102
2008-04-15/06:39:22          2.2287        -1.0262         9.6970        10.0026        -0.4102        -1.0801        -8.2118         8.2927         1.0344       680.7382
2008-04-15/06:39:25          2.0139        -1.0144         9.7059         9.9644        -6.6121       -14.2013        -8.0135        17.5958         1.1218       647.4871
2008-04-15/06:39:28          1.5940        -0.5618        10.0455        10.1867         2.5679       -21.2396       -10.5245        23.8428         1.1218       639.0415
2008-04-15/06:39:31          1.3786        -0.3499        10.0522        10.1523         0.8404       -29.1979       -17.4459        34.0233         1.1509       624.8563
2008-04-15/06:39:34          1.6447        -0.3222         9.9389        10.0792         6.4875       -25.9964       -11.7420        29.2537         1.1801       611.2784
2008-04-15/06:39:37          1.8436        -0.0559         9.8458        10.0171         4.1917       -33.2256        -9.4130        34.7867         1.2092       577.9090
2008-04-15/06:39:40          2.1586         0.2633         9.9505        10.1853         5.6646       -36.4285       -10.1654        38.2421         1.1218       603.7646
2008-04-15/06:39:43          2.0276         0.2675         9.8970        10.1061        10.2271       -33.6506       -13.2786        37.5936         1.2092       618.7037
2008-04-15/06:39:46          2.0711         0.3212         9.6295         9.8549        15.4492       -34.0238        -9.9553        38.6704         1.2092       574.4842
2008-04-15/06:39:49          2.1802         0.5156         9.8123        10.0648        18.6344       -36.8050        -8.5609        42.1324         1.2092       586.1034
2008-04-15/06:39:52          2.4786         0.7307         9.9503        10.2803        24.4679       -39.6477       -12.5155        48.2417         1.2092       575.5991
2008-04-15/06:39:55          2.5960         0.8047         9.8299        10.1988        35.4173       -38.4102       -10.6263        53.3165         1.1801       584.0024
2008-04-15/06:39:58          2.7867         1.0992         9.8547        10.2999        35.2762       -32.3594       -11.3155        49.1893         1.1801       569.4409
2008-04-15/06:40:01          2.7621         1.1414         9.8622        10.3051        33.1105       -26.2879       -11.5746        43.8330         1.1509       572.1749
2008-04-15/06:40:04          2.9687         1.2718         9.6815        10.2060        35.9603       -24.0773       -12.3145        44.9945         1.1218       589.7876
2008-04-15/06:40:07          3.0307         1.1467         9.2411         9.7928        36.5358       -14.2666        -9.5009        40.3568         1.1509       610.6494
2008-04-15/06:40:10          3.1336         1.4445         8.9601         9.6015        35.9649       -13.8977       -11.1084        40.1250         1.1509       590.7647
2008-04-15/06:40:13          3.1753         1.6000         8.8559         9.5430        32.6262        -9.2412       -12.4308        36.1164         1.1509       600.2245
2008-04-15/06:40:16          3.3663         1.8313         8.7607         9.5622        28.1861        -1.3937       -14.2839        31.6295         1.0926       622.9009
2008-04-15/06:40:19          3.2520         1.8081         8.5367         9.3123        23.1231         2.0629       -10.9795        25.6804         1.1509       605.1740
2008-04-15/06:40:22          3.0224         2.2629         8.5610         9.3566        25.7002        13.5466       -12.5941        31.6642         1.1801       602.9945
2008-04-15/06:40:25          2.3933         2.2450         8.5889         9.1944        16.4279        25.5676        -7.6435        31.3369         1.2383       594.5845
2008-04-15/06:40:28          2.2048         2.3613         8.6684         9.2508        13.9329        33.5520       -11.4981        38.1060         1.1509       627.9473
2008-04-15/06:40:31          1.5299         2.3585         8.9160         9.3487         7.5897        40.7248        -7.0071        42.0144         1.1509       650.5829
2008-04-15/06:40:34          1.6459         2.4220         9.0004         9.4648         1.7001        47.2991        -7.5025        47.9206         1.0635       693.6634
2008-04-15/06:40:37          1.1629         2.1916         9.0269         9.3616       -12.0904        47.2013        -3.8383        48.8761         1.0926       690.1922
2008-04-15/06:40:40          0.4500         1.7129         8.9475         9.1211       -12.9776        44.1353        -2.7249        46.0843         1.0635       730.1025
2008-04-15/06:40:43         -0.0544         1.3343         8.9358         9.0350       -23.9853        43.9047        -8.7578        50.7899         1.0052       754.9505
2008-04-15/06:40:47         -0.4824         0.9717         8.9907         9.0559       -27.0464        36.1370        -3.4747        45.2710         0.9761       782.6308
2008-04-15/06:40:50         -0.1806         0.7457         8.9708         9.0036       -18.7267        31.4741        -1.2356        36.6447         1.0344       757.1455
2008-04-15/06:40:53         -0.1051         0.4545         8.9135         8.9257       -20.1868        22.8342        -3.6561        30.6965         1.0635       742.9477
2008-04-15/06:40:56         -0.0885         0.0339         8.8555         8.8560       -25.7799        10.0885       -10.6283        29.6537         1.0344       747.5029
2008-04-15/06:40:59         -0.1323        -0.1796         8.9207         8.9235       -20.2163         5.3609        -4.6642        21.4288         1.0926       722.3646
2008-04-15/06:41:02          0.0626        -0.6250         9.1125         9.1341       -21.0831        -3.8853        -2.1744        21.5481         1.0635       721.3793
2008-04-15/06:41:05         -0.0377        -0.5186         9.2330         9.2477       -17.2012        -5.3669        -8.8827        20.0895         0.9761       812.3115
2008-04-15/06:41:08          0.1005        -0.9044         9.0764         9.1219       -17.5082        -9.0668        -7.9168        21.2466         1.0344       773.9976
2008-04-15/06:41:11          0.4385        -0.8081         9.2890         9.3344       -12.8431       -17.7942        -7.8366        23.3022         1.0926       722.7862
2008-04-15/06:41:14          0.2972        -0.8416         9.2982         9.3409       -15.5246       -18.0133        -9.1857        25.4925         1.0926       732.6255
2008-04-15/06:41:17          0.4540        -0.9232         9.1710         9.2285        -7.3122       -24.3635        -7.3911        26.4892         1.0926       744.0613
2008-04-15/06:41:20          0.4221        -0.4959         9.2589         9.2818         2.2496       -23.1944        -5.9977        24.0627         1.1509       679.2489
2008-04-15/06:41:23          0.4956        -0.3209         9.1871         9.2060         6.0236       -26.1857        -4.6961        27.2768         1.1218       708.7403
2008-04-15/06:41:26          0.7073        -0.5566         9.0393         9.0840        15.2211       -30.8714        -3.0913        34.5584         1.2092       664.9250
2008-04-15/06:41:29          0.8387        -0.5164         9.1907         9.2433        18.5400       -34.6288        -6.7799        39.8604         1.1801       645.5905
2008-04-15/06:41:32          1.0319        -0.5487         9.1349         9.2094        33.4279       -39.4217        -0.6150        51.6902         1.1509       689.6805
2008-04-15/06:41:35          1.1342        -0.3155         9.2306         9.3054        33.1927       -44.5454        -3.7613        55.6794         1.1801       641.4435
2008-04-15/06:41:38          1.0710        -0.4277         9.1593         9.2316        38.7677       -40.9283        -5.9786        56.6905         1.2092       623.9558
2008-04-15/06:41:41          1.2597        -0.5142         9.1452         9.2458        43.5626       -46.5957        -5.6558        64.0378         1.2383       614.1344
2008-04-15/06:41:44          1.3621        -0.6278         9.3220         9.4418        48.5800       -40.9353        -7.3739        63.9538         1.2383       614.9156
2008-04-15/06:41:47          0.9897        -0.2242         9.5436         9.5974        47.1751       -38.2006        -6.1628        61.0144         1.1801       622.8822
2008-04-15/06:41:50          0.8981        -0.0459         9.4991         9.5416        59.9900       -29.4110         1.1382        66.8215         1.1509       606.3865
2008-04-15/06:41:53          0.4704         0.1875         9.4662         9.4797        58.6808       -32.5140        -5.4467        67.3072         1.1801       601.2824
2008-04-15/06:41:56          0.2871         0.8417         9.4574         9.4991        70.2646       -27.0871        -3.6347        75.3925         1.0635       651.6224
2008-04-15/06:41:59          0.4936         0.8992         8.8650         8.9242        75.1464       -17.3233        -2.2861        77.1512         1.1218       644.2607
2008-04-15/06:42:02          0.8214         0.9711         8.6488         8.7418        76.5551       -12.9190        -2.0812        77.6654         1.1801       598.4457
2008-04-15/06:42:05          0.4883         1.4173         8.7423         8.8698        81.3321        -6.3279        -2.4592        81.6149         1.1218       622.4102
2008-04-15/06:42:08          0.2924         1.4992         8.5715         8.7065        79.3109        -0.0403        -2.8715        79.3628         1.0052       688.5831
