Time                         Bx(nT)         By(nT)         Bz(nT)         Btot(km/s)    Vx(km/s)        Vy(km/s)      Vz(km/s)       Vtot(km/s)      Density(cm^-3)Temp(eV)
          0.0000000         -0.0987        -0.2404         7.3807         7.3853      -246.2944       144.1390       -15.9401       285.7627         7.6721       105.8495
          3.0079474         -0.6748         0.2501         7.0766         7.1131      -245.1854       137.2397       -14.4241       281.3650         7.5444       114.5723
          6.0158973         -0.6303        -0.1218         6.0518         6.0857      -243.0719       131.2964       -13.7383       276.6094         7.5385       119.5225
          9.0238447         -0.1603         0.2435         6.2915         6.2983      -241.2050       127.8089       -13.2394       273.2991         7.7172       116.1287
          12.031794          0.9669         1.4636        10.0070        10.1595      -243.2568       125.9657       -12.8290       274.2433         7.6423       109.2381
          15.039742          1.5530         2.1146        11.6567        11.9483      -247.3075       125.8161       -15.3136       277.8973         7.2132       107.2054
          18.047692         -0.3472         0.5891        10.2145        10.2373      -250.9792       133.0130       -16.8308       284.6048         7.3678       112.6195
          21.055639         -0.8805        -0.3061         5.8318         5.9058      -252.5279       140.2647       -15.2672       289.2796         7.9830       117.4613
          24.063589         -0.8691         0.0187         5.1254         5.1986      -251.9860       135.7768       -13.6701       286.5706         8.2117       117.7480
          27.071536         -0.4483        -0.0013         6.2838         6.2998      -250.1444       132.0468       -13.7277       283.1910         8.3467       116.3538
          30.079486         -0.0089         0.6229         9.4612         9.4817      -248.4068       129.3433       -12.9045       280.3664         7.9081       115.5212
          33.087436         -0.2324         1.0693        10.3349        10.3927      -250.6659       128.7647       -12.0891       282.0647         7.6203       113.7768
          36.095383          1.3082        -0.2536         9.9623        10.0511      -253.4267       132.2683       -12.0516       286.1238         7.6770       111.1270
          39.103333         -0.0980        -0.9773         7.0169         7.0853      -253.2895       131.6543       -11.3577       285.7008         7.9910       111.6329
          42.111280         -0.1923        -1.1896         4.6832         4.8358      -251.6767       127.8771       -10.1617       282.4845         8.3114       117.4478
          45.119230         -0.1374        -0.5673         3.2284         3.2807      -249.7677       127.9658       -10.1966       280.8268         7.9529       127.1907
          48.127178          0.4395         0.1562         4.8342         4.8566      -251.9030       128.1543        -8.7072       282.7679         7.8962       124.3687
          51.135125          0.8045         0.3101         5.4563         5.5240      -253.8830       128.3022        -7.9413       284.5756         7.9980       118.0345
          54.143075          1.5378         0.8544         6.0313         6.2827      -253.4592       128.8203        -8.9041       284.4603         7.8319       116.9677
          57.151025          1.4661         1.1013        10.3094        10.4712      -255.0361       127.2181       -10.3518       285.1950         7.3758       117.4975
          60.158972         -0.0671         0.0158         7.1558         7.1561      -256.9821       131.1147       -12.2484       288.7878         7.5780       121.1531
          63.166922          0.3846         0.0032         4.9088         4.9239      -259.4222       136.3572       -12.2387       293.3404         7.6941       127.6141
          66.174875          1.2133         0.3317         7.5135         7.6181      -261.5728       134.1787       -11.2468       294.1978         7.0198       128.9836
          69.182823          0.2315         0.6416        10.7151        10.7368      -264.3520       137.7096       -13.3930       298.3925         6.7316       122.7821
          72.190770         -0.9519         0.1135         7.8775         7.9356      -265.5350       143.9145       -14.7513       302.3883         7.2908       117.5505
          75.198717         -0.8790         0.3190         5.8973         5.9710      -262.5626       142.0954       -13.1045       298.8443         7.9525       115.1092
          78.206664          0.1695         0.8474         7.4667         7.5166      -261.9602       135.9572       -12.5566       295.4423         8.0032       114.1225
          81.214612          0.8767         2.1429         7.7733         8.1108      -258.2493       128.6259       -18.3952       289.1235         7.8267       113.2947
          84.222577          0.4101         2.8351         9.7555        10.1673      -255.9964       126.9123       -23.7356       286.7144         7.3405       113.7701
          87.230506          0.2343         1.9433         9.3433         9.5461      -255.8055       127.2106       -24.8960       286.7774         7.3793       111.9961
          90.238472         -0.3641         1.7124         8.4069         8.5873      -252.8134       124.6002       -24.2891       282.9198         7.5906       110.2963
          93.246400         -0.3674         1.0660         6.9323         7.0234      -250.5202       119.4368       -22.4355       278.4416         7.5689       113.1247
          96.254366         -0.3896         2.2930         7.0034         7.3795      -253.5367       118.3347       -21.7041       280.6663         7.8140       110.3881
          99.262313         -1.0525         2.1486         7.1652         7.5541      -255.0493       116.1559       -22.1665       281.1541         7.7801       108.4010
          102.27026         -0.4359         1.6089         7.1763         7.3673      -256.5616       117.4400       -26.1761       283.4084         7.5591       110.7602
          105.27821         -0.0784         2.2524         9.7282         9.9859      -263.1430       117.9466       -30.2955       289.9805         7.6105       106.9938
          108.28615          0.4250         1.9594        10.0146        10.2133      -263.3680       123.6172       -31.7162       292.6657         7.6864       102.7521
          111.29410          0.6653         1.8073        11.1733        11.3381      -263.6880       124.6501       -29.6276       293.1678         7.6322       103.8841
          114.30205          0.2432         1.1500         8.2199         8.3035      -263.4729       121.7571       -25.4969       291.4034         7.4615       110.8734
          117.31000          0.2183         1.1571         6.7217         6.8241      -261.9667       121.0754       -21.5829       289.4232         7.8896       114.9319
          120.31796          0.2224         1.0376         7.9397         8.0103      -260.4202       125.2159       -26.5069       290.1899         8.0966       112.3492
          123.32589          0.0098         1.1371         8.6019         8.6767      -263.6022       128.7669       -30.7011       294.9781         7.8606       110.3465
          126.33386         -0.1461         0.4424         8.3120         8.3250      -263.0968       132.3413       -30.9566       296.1350         7.9368       109.6258
          129.34178         -0.3254         0.7632         7.6702         7.7150      -260.3096       130.8919       -31.8783       293.1200         8.1711       107.0582
          132.34975         -0.5454         1.0182         7.4513         7.5403      -255.8508       123.6994       -32.3328       286.0210         8.2851       103.6348
          135.35770         -0.2417         1.1228         7.3348         7.4242      -251.1427       118.6756       -31.5468       279.5594         8.1921       102.8273
          138.36565         -0.1231         2.1043         7.8603         8.1380      -246.8142       113.3728       -30.1246       273.2802         8.3148        98.9361
          141.37359         -0.4849         2.1336         8.0063         8.2999      -244.7128       110.1115       -28.8888       269.8957         8.1785        99.4348
          144.38154         -0.0914         1.5221         7.7055         7.8549      -247.1051       112.9572       -29.2593       273.2779         7.8913       105.7163
          147.38949         -0.5195         1.2658         7.1975         7.3264      -251.5134       118.9060       -28.9574       279.7107         7.7745       110.9635
          150.39743         -0.1152         0.7729         6.6882         6.7337      -253.2214       121.7179       -29.9564       282.5503         7.7018       112.6861
          153.40538          0.1029         1.3056         7.5321         7.6451      -254.4657       120.7448       -31.8280       283.4597         7.7133       109.7990
          156.41335         -0.2395         1.1745         7.1858         7.2851      -256.2685       119.0413       -31.2953       284.3014         7.6962       108.8998
          159.42128         -0.0761         1.1972         8.7413         8.8232      -254.1215       120.1010       -29.3811       282.6136         7.8864       105.5626
          162.42924         -1.1544         1.6744         9.7420         9.9520      -251.0123       122.9190       -31.1571       281.2313         7.6423       106.9076
          165.43719         -0.8613         1.4149         8.8361         8.9900      -249.8544       125.1834       -31.7791       281.2655         7.5073       108.4103
          168.44514         -0.4048         1.0743         7.6398         7.7255      -249.6880       125.0341       -28.3371       280.6919         7.6822       108.4073
          171.45308         -0.2492         1.6434         8.1067         8.2753      -249.8882       120.5120       -26.0943       278.6723         7.5902       108.7117
          174.46103         -0.0149         1.8441         8.6005         8.7959      -251.8530       117.2730       -30.3591       279.4956         7.5643       107.0746
          177.46898         -0.3480         1.9968         8.2595         8.5046      -252.6260       118.5495       -34.3850       281.1727         7.8182       105.7213
          180.47692          0.4038         0.9283         7.6173         7.6842      -252.7371       121.4071       -30.7364       282.0897         8.2075       104.9542
          183.48487          0.7315         0.1104         7.5929         7.6288      -255.4479       124.4198       -27.4522       285.4615         8.2337       106.1784
          186.49282          1.1408         1.0088         8.4822         8.6179      -257.2664       124.1282       -27.8931       287.0078         8.0655       107.4626
          189.50077          0.0409         1.8310         7.9375         8.1461      -252.4824       121.8237       -27.2678       281.6654         8.1095       105.6159
          192.50873         -0.6668         1.2756         8.8721         8.9881      -248.8109       123.3615       -28.6120       279.1877         8.3054       102.1586
          195.51666         -0.0596         1.0337        10.2401        10.2923      -248.6667       125.5015       -31.0846       280.2844         8.0099       104.0554
          198.52463         -0.6335         0.7342         8.3520         8.4081      -248.1224       125.9574       -32.9975       280.2178         7.9207       103.6282
          201.53257         -0.5145         1.8807         9.5024         9.7004      -247.3935       124.9610       -30.8940       278.8824         8.1924        99.9355
          204.54052         -1.0785         2.8166         9.2813         9.7590      -246.2238       119.2743       -29.7471       275.2284         8.2890        96.0779
          207.54847         -0.6034         2.4628         9.1811         9.5248      -247.0620       116.1049       -29.7986       274.6149         8.3715        97.2693
          210.55641         -0.1590         1.9482         8.3530         8.5786      -251.3361       120.6989       -31.7916       280.6266         8.3607       102.5324
          213.56436         -1.0768         1.1006         8.2954         8.4371      -252.6418       123.8646       -29.3643       282.9072         8.3768       103.7268
          216.57231         -0.2524         1.7342         6.8320         7.0532      -252.6723       120.7787       -26.5447       281.3689         8.3351       105.2434
