Time                         Bx(nT)         By(nT)         Bz(nT)         Btot(km/s)    Vx(km/s)        Vy(km/s)      Vz(km/s)       Vtot(km/s)      Density(cm^-3)Temp(eV)
          159.41624          6.3463        -2.6640         9.9848        12.1271      -391.9806        41.9835        97.8102       406.2478         4.5295       158.0932
          162.42409          8.8625        -3.5380        10.5771        14.2456      -368.9014        53.0018        97.3191       385.2517         3.8373       164.9342
          165.43194          7.8449        -4.1994        11.5918        14.6132      -363.6390        55.8459        97.9691       380.7718         3.6188       164.8742
          168.43980          7.3693        -5.1870        10.7321        14.0139      -371.2945        51.2798        96.3181       387.0125         3.4890       171.2894
          171.44765          6.5356        -6.2080        10.5826        13.9013      -375.9616        46.3057       101.8401       392.2814         3.5268       173.9131
          174.45550          8.3954        -6.6602         9.9655        14.6339      -381.1101        39.5924       105.3952       397.4036         3.2400       178.8565
          177.46336          6.8201        -6.5722        10.6518        14.2538      -391.5526        34.0846       115.3181       409.6561         3.0872       179.9240
          180.47121          6.4240        -5.0958        10.0361        12.9599      -406.2828        39.2118       129.2373       428.3338         3.0805       181.3845
          183.47906          8.7918        -5.5298         8.2627        13.2720      -402.7852        58.6272       132.5131       428.0935         3.2502       177.9646
          186.48692          7.2569        -4.2935         8.7016        12.1167      -418.0057        63.1121       137.2467       444.5024         3.4474       175.0083
          189.49477          7.1482        -4.5252         7.0173        10.9917      -422.7503        54.0757       142.2147       449.3128         3.7863       164.4934
          192.50262          6.5495        -6.1234         8.1017        12.0842      -423.8811        54.7818       150.5710       453.2865         3.5170       167.6571
          195.51048          9.2631        -6.1342         7.2351        13.2582      -403.3052        61.2252       158.5834       437.6900         3.4523       165.5457
          198.51832         11.1638        -6.7056         5.5176        14.1436      -391.6783        60.6526       156.1309       426.0103         3.5433       160.8662
          201.52618         11.8048        -3.8985         3.5167        12.9197      -381.5334        57.7216       155.5138       416.1635         3.3043       163.1695
          204.53403         11.5261        -6.0069         2.0301        13.1550      -369.9233        53.6553       161.5025       407.2086         3.6586       159.7418
          207.54189         11.1339        -6.7809         4.4983        13.7905      -380.9593        53.7305       154.2568       414.5868         3.5415       160.0402
          210.54975          8.4149        -6.5787         8.6565        13.7487      -405.7148        66.2299       140.6929       434.8232         3.2005       167.1882
          213.55759          5.0535        -5.2893        12.2329        14.2534      -432.8829        84.5106       130.6378       460.0047         3.0494       174.2299
          216.56545          2.5802        -3.0150         6.1286         7.3011      -446.9333        94.0340       121.8114       472.8798         3.6715       188.2468
          219.57330          2.8915        -2.3162        10.0534        10.7143      -459.3857        96.2323       113.3466       482.9410         3.7632       198.1183
          222.58115          4.2160        -3.4270        12.5490        13.6747      -458.8133        87.9359       121.7582       482.7811         3.2596       177.5605
          225.58901          3.7088        -2.6309        11.9280        12.7653      -448.1418        88.3277       122.2173       472.8319         3.4435       169.5833
          228.59686          5.5267        -5.0462        10.7556        13.1031      -443.4529        91.5517       111.5218       466.4935         3.6170       169.8546
          231.60471          3.3819        -2.6119        10.3653        11.2116      -450.1296        99.4759       105.4065       472.9463         3.7097       174.6517
          234.61257          3.4560        -4.1303        10.7107        11.9884      -458.9089       102.9152       119.2774       485.2046         3.8055       166.6683
          237.62042          2.3973        -2.1553        11.7641        12.1978      -467.3607       108.0791       122.9033       495.2064         4.0615       155.0170
          240.62827          1.1226        -0.9288         8.2987         8.4257      -476.1922       118.0568       116.4350       504.3047         4.1535       169.4496
          243.63613          0.3444        -1.0760         5.6838         5.7950      -480.2779       122.6446       105.8592       506.8877         4.1794       189.2226
          246.64398          1.7463        -3.7291         8.6967         9.6222      -473.1092       108.8900       110.0385       498.0764         4.0877       178.8194
          249.65183          2.3665        -4.2515        13.2754        14.1390      -465.5453       100.6198       125.8528       492.7065         3.9447       149.0737
