Time                         Bx(nT)         By(nT)         Bz(nT)         Btot(km/s)    Vx(km/s)        Vy(km/s)      Vz(km/s)       Vtot(km/s)      Density(cm^-3)Temp(eV)
          0.0000000         -2.4250         3.9185        13.3318        14.1057      -213.9049       116.9621       -31.0125       245.8858         2.5679       146.6952
          3.0011752         -1.2399         3.4176        15.0290        15.4625      -226.0701       127.0832       -34.0617       261.8171         2.1895       158.9585
          6.0023429          0.2869         4.2898        15.3663        15.9564      -229.3562       122.0168       -51.7840       264.9778         1.9085       164.9970
          9.0035181          0.3587         4.8908        14.6009        15.4025      -218.6032       110.9976       -54.0397       251.0783         1.8275       179.4755
          12.004693         -0.5656         3.5383        14.1755        14.6214      -221.6689       113.7012       -61.1685       256.8174         1.7393       202.9096
          15.005868          0.4927         3.3172        14.1463        14.5384      -220.5045       116.5579       -72.6168       259.8150         1.7225       231.2119
          18.007043         -0.2151         3.2350        14.2869        14.6502      -220.5454       108.6357       -65.7748       254.5240         1.6750       232.0377
          21.008219          2.4959         3.3328        10.9453        11.7106      -213.0444       120.2973       -53.0894       251.6640         2.1332       205.4957
          24.009394          4.0347         2.0902        11.2287        12.1133      -186.5852       137.5371       -17.9811       233.4923         2.3596       175.3493
          27.010569          3.5263         0.9852        12.6998        13.2171      -172.1704       122.6663        12.0259       211.9104         1.5724       204.4574
          30.011744          5.0280         0.5064        13.6359        14.5422      -159.4499       107.9789        20.1818       193.7572         0.9426       316.9236
          33.012919          5.4077        -0.5257        13.8243        14.8536      -138.4490       107.1392        24.6663       176.9352         0.6149       431.0898
          36.014087          5.6157        -2.3554        13.4961        14.8064      -117.2934        98.3071        18.4132       154.2608         0.5510       488.4207
          39.015262          5.8257        -3.2493        13.1945        14.7849      -115.0219        98.4458         8.0756       151.8142         0.4692       566.3346
          42.016437          5.9275        -3.2520        13.0142        14.6656      -109.7852       101.4608        -0.8616       149.5856         0.4632       591.9720
          45.017612          6.2537        -3.5526        12.7763        14.6616      -103.8345        88.3539        -7.2212       136.5738         0.4576       613.4236
          48.018787          5.9018        -3.8496        12.8211        14.6298      -101.3267        77.0271        -6.1913       127.5151         0.4456       626.9257
          51.019962          5.2669        -4.1080        12.7064        14.3550       -95.7289        67.0423        -9.1012       117.4845         0.4692       611.9206
          54.021137          4.4412        -3.4436        13.0876        14.2431       -91.8048        63.8066       -18.5524       113.3342         0.4632       650.3191
          57.022313          4.3774        -3.7203        13.1486        14.3488       -85.5433        61.0379       -18.0490       106.6705         0.4808       628.8467
          60.023488          4.5014        -4.1250        13.0555        14.4126       -78.9003        58.9361       -17.9578       100.1321         0.4808       614.2387
          63.024663          4.6277        -4.0666        12.9800        14.3678       -74.1023        52.7992       -17.7316        92.7009         0.5039       597.8789
          66.025831          4.1053        -4.0460        12.9363        14.1623       -67.0476        49.3421       -14.2680        84.4888         0.5738       546.5503
          69.027006          3.8869        -3.6823        12.9442        14.0078       -64.5583        50.8025       -17.2690        84.2762         0.5686       548.5888
          72.028181          3.8147        -3.8086        12.8360        13.9220       -53.3032        47.0312       -27.7257        76.4745         0.4692       618.1780
          75.029356          3.3718        -3.6885        12.7074        13.6547       -56.4389        47.4019       -30.2410        80.0266         0.4632       631.7651
          78.030531          3.1275        -3.2289        12.9505        13.7084       -62.6853        47.5197       -28.0291        83.6405         0.4692       634.7572
          81.031699          3.2619        -2.5331        12.8376        13.4856       -61.3647        50.5657       -28.9512        84.7552         0.4748       664.4647
          84.032874          3.7842        -2.9293        12.3433        13.2385       -60.2513        53.6716       -27.0917        85.4020         0.4868       691.5230
          87.034049          3.6512        -3.3786        12.1596        13.1378       -47.5687        59.5722       -27.8810        81.6155         0.4516       751.4818
          90.035224          2.7032        -2.6650        12.5974        13.1569       -33.6537        65.8769       -24.0563        78.2713         0.4401       761.5824
          93.036399          2.1583        -3.4332        12.3570        13.0054       -37.6979        61.6195       -28.8435        79.9289         0.4109       812.0065
