Time                         Bx(nT)         By(nT)         Bz(nT)         Btot(km/s)    Vx(km/s)        Vy(km/s)      Vz(km/s)       Vtot(km/s)      Density(cm^-3)Temp(eV)
          0.0000000          3.1064        -3.2520         5.5998         7.1822      -113.0277        47.5449        13.9981       123.5161         0.5934       237.4942
          2.9689546          2.9799        -3.3967         5.3391         6.9945      -113.9860        39.9227        16.6790       121.9724         0.5912       233.5694
          5.9379144          3.5113        -3.6939         4.9047         7.0732      -119.2594        35.1118        14.1654       125.1673         0.5989       239.9587
          8.9068716          2.8136        -4.2000         4.4884         6.7603      -119.0467        31.5604        13.9287       123.9646         0.6465       237.4392
          11.875829          3.0999        -4.0393         4.4871         6.7867      -122.9950        30.5422        17.6083       127.9761         0.7035       216.1987
          14.844786          3.1831        -4.2564         4.7025         7.0967      -131.5343        27.0835        17.4904       135.4685         0.6915       214.1435
          17.813743          3.2416        -4.1750         4.5521         6.9757      -132.0479        21.7863        13.8611       134.5841         0.7076       218.1416
          20.782700          3.6433        -3.9573         4.4508         6.9817      -130.2838        20.4067        15.5091       132.8749         0.7458       214.2200
          23.751657          2.8146        -4.8706         4.4343         7.1629      -136.0274        17.2023        21.8907       139.1680         0.6974       214.9840
          26.720614          3.0786        -4.8605         4.3385         7.2058      -137.5507        11.0164        24.3491       140.2818         0.6753       225.5418
          29.689571          3.0630        -4.5815         4.7924         7.3034      -136.7677        20.0369        20.6978       139.9461         0.6929       227.8222
          32.658529          3.3695        -5.2576         4.7396         7.8396      -132.5636        18.9934         6.6950       134.2841         0.6169       238.6558
          35.627486          3.2383        -5.0241         4.5778         7.5288      -122.7066        14.2064        -3.9785       123.6070         0.6035       243.8032
          38.596443          2.7335        -4.5020         5.2831         7.4600      -120.8865         6.1217        -4.5651       121.5193         0.6659       244.2994
          41.565403          1.7835        -5.4841         4.9248         7.5836      -127.6524         1.9001        -9.3255       128.5787         0.5823       270.7354
          44.534357         -0.5744        -5.9326         5.7679         8.2942      -157.3484        15.2446       -25.8563       160.2467         0.5504       281.0761
          47.503317          2.3138        -5.6016         4.6712         7.6519      -163.9312        21.9535       -32.1577       168.5997         0.5449       287.1129
          50.472274          3.2307        -4.9596         5.2408         7.9057      -156.9855        27.5893       -31.8081       162.5434         0.5157       305.3371
          53.441231          3.3562        -5.4013         5.3436         8.3062      -156.3979        30.4204       -31.4797       162.5099         0.4572       324.3288
          56.410188          3.6455        -5.4619         5.1800         8.3638      -152.4707        38.9806       -26.8317       159.6937         0.4783       315.9779
          59.379145          4.0386        -5.3660         5.3531         8.5883      -142.3496        40.6790       -19.3677       149.4041         0.4847       298.2657
          62.348103          4.5530        -5.6307         4.9791         8.7878      -133.5309        40.9064       -13.1883       140.3327         0.4335       305.5521
          65.317060          4.6924        -5.8087         4.8440         8.9008      -139.3284        43.7256       -16.1936       146.9814         0.3868       327.7895
          68.286017          5.0937        -5.7290         4.5174         8.8979      -155.1604        43.4512       -14.7001       161.8460         0.3552       345.6466
          71.254974          5.2287        -5.6063         4.3566         8.8176      -158.4087        40.2005       -13.9145       164.1931         0.3761       334.1553
          74.223934          5.4514        -5.5948         4.3192         8.9261      -152.2289        31.3572       -20.8581       156.8320         0.3752       340.3945
          77.192888          5.8049        -5.8733         3.8953         9.1305      -145.9246        32.1809       -22.1304       151.0813         0.3725       356.7202
          80.161848          5.8583        -5.6617         3.7622         8.9738      -139.9375        25.1558       -23.2718       144.4447         0.4033       347.9373
          83.130802          5.3801        -5.8966         3.9418         8.9024      -160.8996        14.5577       -23.6132       163.4777         0.4471       318.8793
          86.099762          6.2452        -6.5946         3.3455         9.6790      -185.2947        24.3120       -10.0262       187.5811         0.4556       322.6076
          89.068719          6.5404        -5.5441         3.2585         9.1724      -224.0670        41.4288        -2.1798       227.8946         0.6029       270.2410
          92.037677          5.8751        -5.1337         3.2741         8.4612      -245.2252        47.9679        -6.5685       250.1608         0.9042       200.4160
          95.006634          6.0808        -3.7676         1.3782         7.2849      -249.2034        58.7984       -22.5936       257.1964         1.1530       170.1732
          97.975591          5.2305        -3.4594         1.7330         6.5060      -254.2455        59.3543       -29.3885       262.8078         1.3591       163.4909
          100.94455          2.7667        -2.8950         3.8462         5.5524      -273.1259        58.9378       -16.4829       280.0456         1.4170       167.5588
          103.91351          1.5277        -2.9574         5.8110         6.6968      -286.6977        57.2938        -4.1336       292.4229         1.2535       174.6616
          106.88246          0.4993        -2.5734         7.4186         7.8681      -286.1624        58.7607        -0.2127       292.2130         1.1047       179.4847
          109.85142         -0.1410        -2.1492         7.4124         7.7190      -276.5241        65.9224        -1.2615       284.2952         1.1147       177.3500
          112.82038         -0.8531        -2.1184         6.1071         6.5201      -274.6810        68.7975        -4.6944       283.2137         1.1803       175.8838
          115.78934         -0.2484        -2.7450         5.5014         6.1532      -289.4104        69.9678        -9.3238       298.0274         1.2938       168.9860
          118.75829         -0.5476        -2.0729         4.5432         5.0237      -282.7106        66.3008       -19.5139       291.1504         1.2866       173.8698
          121.72725         -0.6802        -1.0639         6.4936         6.6153      -269.9797        74.8479       -14.6663       280.7644         1.2868       178.9834
          124.69621         -0.3956         0.1165         6.0693         6.0833      -279.9414        78.3415       -13.1685       291.3406         1.2364       169.7683
          127.66517         -0.7172        -3.8309         4.7112         6.1144      -284.9634        79.5176       -36.7854       298.2608         1.2886       168.7865
          130.63412         -0.3693        -2.9202         5.8094         6.5125      -287.8487        76.3543       -37.6924       300.6046         1.2003       192.7927
          133.60308          1.4303        -1.6065         6.2162         6.5778      -286.8164        64.8363       -37.9591       297.0258         1.0922       203.3904
          136.57204          1.1035        -3.2317         7.1357         7.9108      -265.8800        57.0135       -33.5227       275.7075         0.9393       215.4559
          139.54100          1.9708        -4.2489         7.5634         8.8962      -241.3490        40.1207        20.1322       246.2660         0.5485       244.5329
          142.50995          1.5394        -4.5509         6.1236         7.7833      -245.5335        40.3831        37.7662       251.8622         0.6208       226.7860
          145.47891          3.7568        -3.7714         5.0092         7.3095      -247.3098        33.8487        29.7344       251.4195         0.8481       183.4094
          148.44787          4.4050        -4.1274         4.5622         7.5666      -224.7786        29.7191        28.5397       228.5667         0.8309       176.1408
          151.41682          4.7193        -4.1244         5.0714         8.0623      -207.2643        32.0361        20.6892       210.7677         0.7811       182.0004
          154.38578          4.4422        -3.6635         5.3302         7.8464      -194.2311        32.9691        20.4178       198.1671         0.7660       184.0949
          157.35474          4.2736        -3.6915         4.9737         7.5252      -195.4221        37.4449        22.4597       200.3551         0.8872       166.5579
          160.32370          3.4848        -4.0941         5.2210         7.4943      -204.7284        38.3976        10.6379       208.6541         0.9250       165.5907
          163.29265          3.5882        -3.6090         5.3829         7.4079      -220.9193        39.4346         1.6480       224.4603         0.9618       171.4142
          166.26161          6.0771        -2.2438         4.7042         8.0060      -228.0918        46.6033        -3.0377       232.8568         0.8265       199.7973
          169.23057          6.0990        -2.6614         4.6242         8.1033      -225.0425        49.7383        -1.8309       230.4895         0.6877       217.7228
          172.19953          4.9526        -3.0612         4.5459         7.3868      -215.5218        42.8306        -0.5764       219.7741         0.7798       205.6755
          175.16848          4.1843        -3.5616         3.7448         6.6496      -215.0357        39.4735        -8.2492       218.9324         0.9231       197.9424
          178.13744          3.8809        -2.0790         4.0052         5.9519      -232.6762        48.2958       -17.3611       238.2982         1.1517       178.6552
          181.10640          3.9876        -2.2734         3.6189         5.8451      -242.7028        54.8500       -19.4300       249.6105         1.1936       182.0500
          184.07535          3.5997        -1.7578         3.9972         5.6591      -259.7615        60.5538       -25.5295       267.9538         1.2483       184.1098
          187.04431          3.2629        -1.8839         3.8311         5.3733      -264.1870        63.0370       -28.2554       273.0895         1.2735       177.4270
          190.01327          2.9899        -1.6210         3.1103         4.6088      -269.8159        62.3366       -33.0473       278.8890         1.3780       169.0503
          192.98223          3.0889        -1.5717         2.7895         4.4489      -273.8357        62.5843       -35.0276       283.0740         1.4084       165.4841
          195.95118          3.2968        -1.4163         2.6547         4.4634      -269.0494        61.7534       -33.3165       278.0645         1.3066       170.2623
          198.92014          4.0993        -2.0033         3.0775         5.5035      -249.8129        58.8347       -25.9816       257.9705         1.1276       181.5822
          201.88910          4.2981        -2.4048         4.1637         6.4493      -229.3597        55.4716       -16.6524       236.6346         0.9506       198.2070
          204.85805          3.4637        -2.3362         5.6650         7.0390      -210.5005        54.4122        -4.6527       217.5383         0.8229       205.4395
          207.82701          3.8039        -2.6996         6.0129         7.6100      -200.5927        46.6216        12.8248       206.8933         0.6569       224.9592
          210.79597          4.1229        -3.5831         6.3509         8.3768      -190.7226        38.9846        25.2290       196.3803         0.5020       257.7238
          213.76493          3.9612        -3.2879         6.2382         8.0881      -172.6327        35.0893        21.8289       177.7075         0.4469       269.1614
          216.73388          3.5874        -4.0718         6.4102         8.3988      -186.6040        28.4599        21.8869       190.0983         0.4349       270.3409
