Time                         Bx(nT)         By(nT)         Bz(nT)         Btot(km/s)    Vx(km/s)        Vy(km/s)      Vz(km/s)       Vtot(km/s)      Density(cm^-3)Temp(eV)
          0.0000000          8.7086        -2.9417         9.5802        13.2768        76.7645       -37.9790       -28.6213        88.7357         0.4516      1189.7444
          3.0096452          8.1405        -2.8116         9.7936        13.0417        85.0906       -34.9134       -13.3754        93.3153         0.4516      1238.2414
          6.0192902          7.8288        -2.5688         9.8765        12.8621        85.9050       -26.9765        -2.2435        90.2787         0.4632      1244.5548
          9.0289354          7.4074        -2.9129         9.8368        12.6538        81.7496       -19.1611         4.3105        84.1898         0.4808      1191.2941
          12.038580          7.0470        -2.8295        10.1769        12.6979        84.4374       -17.7370        19.7759        89.4707         0.4692      1196.1259
          15.048226          6.7250        -3.0125        10.4679        12.8015        74.7623       -11.8786        31.4127        81.9678         0.4632      1237.0964
          18.057871          6.4919        -2.8834        10.6687        12.8172        62.7942        -8.0282        28.2333        69.4671         0.4923      1220.3803
          21.067516          6.5886        -3.3484        10.3821        12.7440        61.4303        -1.7017        33.2643        69.9994         0.5215      1194.3474
          24.077157          5.6371        -3.4806        10.3759        12.3106        61.3616         3.2375        39.3416        73.0266         0.5390      1182.5132
          27.086806          5.2027        -3.9199        10.5487        12.3979        67.5187         8.1169        45.1370        81.6343         0.5390      1199.8426
          30.096447          5.1429        -4.4442        10.5266        12.5304        68.2980        13.0385        44.8469        82.8992         0.5275      1187.3722
          33.106092          5.6476        -4.8112        10.4709        12.8329        73.3361        21.2489        40.0926        86.3929         0.4983      1202.8197
          36.115737          5.3805        -5.0368        10.7415        13.0269        66.4327        31.4425        40.8470        85.5531         0.4808      1207.4538
          39.125382          4.1474        -5.7230        11.3444        13.3660        53.4206        41.4581        39.9021        79.2437         0.4692      1212.2306
          42.135027          3.6101        -6.5715        11.9221        14.0838        42.5023        42.7226        34.7679        72.3632         0.4401      1241.7665
          45.144672          3.7126        -6.8275        11.9199        14.2296        17.0046        45.0930        53.5108        72.4355         0.4341      1285.2926
          48.154318          2.2214        -7.5848        11.1480        13.6654        12.5509        43.5122        60.4201        75.5864         0.4516      1309.4308
          51.163963          1.7351        -7.3344        10.6745        13.0670        22.5418        47.2020        57.6713        78.3581         0.4516      1349.6501
          54.173608          1.6620        -7.0486         9.9724        12.3245        41.2736        64.8481        52.7806        94.1888         0.4285      1429.3049
          57.183253          1.6986        -6.3530         9.5594        11.6030        51.6200        67.4976        44.1294        95.8788         0.4165      1424.5591
          60.192898          1.9865        -6.4074         9.5415        11.6636        41.7372        65.0416        41.6223        88.6804         0.4285      1374.1473
          63.202543          2.2447        -6.1507         9.7517        11.7459        32.4019        73.5268        38.2618        89.0333         0.3818      1475.5404
          66.212188          2.5110        -6.3993         9.7420        11.9232        29.4582        66.4136        34.1227        80.3781         0.3642      1519.4029
          69.221833          2.7075        -5.8893         9.5063        11.5058        27.4869        64.5431        29.5547        76.1696         0.3642      1508.9956
          72.231479          2.3137        -5.8000         9.4251        11.3060        27.7040        60.8750        28.3363        72.6748         0.3526      1575.7842
          75.241119          1.9727        -5.6671         9.1795        10.9668        19.4844        61.6886        28.3096        71.2071         0.3467      1617.4849
          78.250769          2.0751        -5.6146         8.7076        10.5665        17.5429        68.7663        29.4387        77.5786         0.3411      1652.1342
          81.260410          2.3629        -5.3433         8.8375        10.5941        22.4683        76.4491        24.6767        83.9290         0.3175      1807.3688
          84.270055          2.6681        -5.3688         8.7801        10.6317         5.6783        61.1418        17.8683        63.9855         0.3235      1852.7966
          87.279700          2.6781        -4.8174         8.7368        10.3301         3.0694        54.9101         9.2628        56.2355         0.3059      1912.9693
          90.289345          2.6507        -4.7128         8.6967        10.2406         3.9428        60.7847        -0.3938        60.9147         0.3059      1873.7956
          93.298990          2.7737        -4.5510         8.6568        10.1659         7.8889        61.6333        -2.5792        62.5607         0.3059      1890.5074
          96.308635          2.8628        -4.4900         8.5759        10.0946        11.4354        46.3269        -7.3757        48.3440         0.3059      1932.8418
